,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGKane, ,OMGFive, ,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
253,84,81,27,37,17,17,33,47,33,41,52,56,35,38,25,11,45,40,39,42,0,2,0,1,[]
254,83,81,24,45,21,29,32,55,37,49,57,57,41,33,20,11,41,29,41,33,0,2,0,1,[]
255,82,81,23,44,23,39,38,58,39,55,67,56,47,24,30,12,48,23,41,32,0,2,0,1,[]
256,3,94,22,51,17,49,39,60,38,55,75,59,43,23,37,15,55,31,41,32,0,2,0,1,[]
257,6,72,21,50,10,40,39,53,2,96,85,52,43,23,39,14,56,41,91,7,0,2,0,1,[]
258,8,57,15,39,11,26,41,55,4,95,91,60,80,12,31,17,52,50,77,16,0,2,0,1,[]
259,10,39,23,50,16,17,40,56,20,83,88,72,67,19,22,8,51,49,63,22,0,2,0,1,[]
260,9,27,33,43,17,17,43,55,30,70,88,77,55,22,18,10,61,40,51,21,0,2,0,1,[]
261,21,13,32,38,17,13,38,49,31,56,88,77,42,24,23,10,71,40,38,23,0,2,0,1,[]
262,19,23,43,43,7,18,44,50,35,42,80,84,35,24,26,12,71,40,36,22,0,2,0,1,[]
263,30,32,43,43,7,18,47,47,49,47,71,92,46,32,30,18,63,40,41,30,0,2,0,1,[]
264,31,36,43,42,2,96,48,42,55,43,70,92,41,32,34,22,61,39,40,28,0,2,0,1,[]
265,37,40,41,31,7,89,42,35,46,35,72,90,49,21,29,19,60,37,45,23,0,2,0,2,[]
266,26,31,35,29,24,93,39,28,41,27,66,91,48,22,30,20,60,34,52,29,0,2,0,2,[]
267,18,16,39,36,38,93,44,37,41,30,55,94,53,21,29,21,60,35,52,31,0,2,0,2,[]
268,22,13,47,35,45,91,45,36,33,23,52,94,41,16,23,12,60,38,52,28,0,2,0,2,[]
269,23,10,43,23,44,92,42,26,26,16,52,94,24,12,25,10,54,30,44,23,0,2,0,2,[]
270,22,10,42,25,54,91,41,25,31,20,52,94,27,14,32,9,48,27,43,19,0,2,0,2,[]
271,22,10,40,33,67,89,32,29,38,29,36,29,34,23,33,18,41,26,43,19,0,2,0,2,[]
272,22,10,41,41,29,34,28,32,39,40,31,35,40,37,24,26,41,36,43,19,0,2,0,2,[]
273,22,10,41,31,32,46,28,32,40,32,26,46,40,34,30,36,41,30,43,19,0,2,0,2,[]
274,22,10,41,31,38,50,28,32,44,24,23,35,41,26,42,37,41,30,43,19,0,2,0,2,[]
275,22,10,41,31,50,48,28,32,50,24,20,27,48,24,51,26,41,30,43,19,0,2,0,2,[]
276,22,10,41,31,52,50,28,32,50,24,16,21,52,32,57,33,41,30,95,4,0,2,0,2,[]
277,22,10,41,31,48,59,28,32,50,24,12,18,52,36,55,43,41,30,80,14,0,2,0,2,[]
278,3,90,41,31,44,68,28,32,50,24,11,14,52,36,56,56,41,30,69,27,0,2,0,2,[]
279,7,68,41,31,32,61,28,32,50,24,11,14,93,4,48,66,41,30,62,36,0,2,0,2,[]
280,7,54,41,31,28,60,13,88,50,24,89,7,77,12,55,61,41,30,60,35,0,2,0,2,[]
281,6,49,9,92,35,59,21,76,50,24,73,17,64,21,67,59,41,30,60,38,0,2,0,2,[]
282,11,35,22,79,35,59,33,66,50,24,68,26,49,20,74,52,86,10,59,39,0,2,0,2,[]
283,13,21,32,67,2,96,43,57,14,81,78,37,44,16,75,56,77,24,53,43,0,2,0,2,[]
284,13,20,39,55,17,85,48,53,27,70,83,50,42,16,68,62,67,34,42,32,0,2,0,2,[]
285,14,17,35,49,26,73,44,54,38,59,87,63,37,13,77,62,56,43,41,29,0,2,0,2,[]
286,24,27,34,40,33,62,48,48,50,49,87,76,25,10,79,73,57,40,43,24,0,2,0,2,[]
287,34,28,41,35,44,50,53,44,55,42,87,80,23,11,78,73,62,36,46,23,0,2,0,2,[]
288,31,31,38,36,35,39,41,39,44,37,80,85,30,12,78,73,61,39,51,22,0,2,0,2,[]
289,32,32,32,31,29,32,32,34,31,30,81,85,42,16,91,4,61,39,50,23,0,2,0,2,[]
290,33,28,31,31,29,32,30,33,34,29,74,73,38,25,94,4,51,32,41,27,0,2,0,2,[]
291,31,28,32,31,29,32,30,33,32,33,63,62,38,28,94,4,41,37,40,35,0,2,0,2,[]
292,33,29,34,29,28,31,31,28,30,33,52,53,32,30,33,38,36,36,32,38,0,2,0,2,[]
293,39,43,36,36,33,39,33,35,36,38,41,45,32,30,39,43,41,41,42,45,0,2,0,2,[]
294,30,49,33,37,32,45,31,38,40,43,41,45,32,30,40,41,41,39,41,41,0,2,0,2,[]
295,23,50,22,43,31,58,23,45,40,43,46,52,32,30,43,46,49,48,45,44,0,2,0,2,[]
296,2,96,21,48,37,56,25,56,40,43,44,57,32,30,40,51,45,53,48,52,0,2,0,2,[]
297,38,59,31,56,34,63,33,61,40,43,38,63,32,30,37,58,41,58,40,58,0,2,0,3,[]
298,38,59,37,65,39,62,35,64,40,43,47,56,32,30,42,56,45,54,46,55,0,2,0,3,[]
299,38,59,43,68,41,67,46,72,40,43,56,56,32,30,52,56,46,53,57,63,0,2,0,3,[]
300,38,59,43,67,40,57,48,77,40,43,56,56,32,30,64,63,52,55,57,67,0,2,0,3,[]
301,38,59,4,96,36,57,53,85,40,43,95,5,92,12,68,67,64,64,57,66,0,2,0,3,[]
302,38,59,4,95,31,58,54,88,22,88,93,10,82,30,70,67,66,66,63,62,0,2,0,3,[]
303,38,59,11,91,22,47,58,92,39,89,78,21,78,40,73,63,70,65,64,57,0,2,0,3,[]
304,38,59,24,78,16,49,58,93,54,91,66,25,77,48,83,56,72,53,64,57,0,2,0,3,[]
305,38,59,31,64,14,48,56,93,48,79,54,31,72,49,84,63,67,42,93,7,0,2,0,3,[]
306,38,59,33,49,5,85,2,96,51,65,47,39,71,49,87,70,55,45,83,15,0,2,0,3,[]
307,18,84,40,51,7,58,13,83,49,58,50,35,95,4,82,83,54,44,73,28,0,2,0,3,[]
308,33,89,42,42,9,39,47,50,52,49,52,34,75,15,85,79,61,36,64,37,0,2,0,3,[]
309,51,91,38,40,10,29,56,44,60,43,54,31,67,29,89,66,64,35,64,35,0,2,0,3,[]
310,56,92,41,30,15,19,55,42,54,41,54,32,63,34,93,65,63,36,61,36,0,2,0,3,[]
311,60,92,42,32,30,15,50,46,55,44,54,32,54,31,93,65,67,31,57,34,0,2,0,3,[]
312,65,83,46,39,23,12,50,44,53,43,55,32,45,23,95,4,62,34,55,30,0,2,0,3,[]
313,77,86,41,31,23,13,43,35,44,34,55,31,54,32,75,5,65,33,55,32,0,2,0,3,[]
314,80,87,42,23,27,10,42,25,44,23,53,32,48,32,60,8,58,34,49,32,0,2,0,3,[]
315,81,82,35,24,28,17,35,22,37,23,42,24,39,26,51,17,48,25,39,27,0,3,0,3,[]
316,87,69,33,23,31,22,30,22,33,23,37,26,38,25,36,18,39,24,38,27,0,3,0,3,[]
317,89,59,32,23,26,24,23,27,33,23,39,25,32,21,33,23,36,24,39,24,0,3,0,3,['26:23 OMGWorld6(德邦总管) 击杀了 SNWeiwei(德玛西亚皇子)']
318,89,57,32,23,25,26,32,29,33,23,36,24,32,21,35,23,42,23,33,22,0,3,0,3,[]
319,88,46,32,23,25,32,30,33,33,23,46,24,32,21,47,23,49,24,43,23,0,3,0,3,[]
320,88,46,32,23,21,44,33,41,33,23,61,25,32,21,46,13,55,31,53,18,0,3,0,3,[]
321,88,47,32,23,21,55,40,45,33,23,74,28,32,21,43,8,65,33,53,18,0,3,0,3,[]
322,76,57,32,23,31,59,49,50,33,23,86,37,32,21,44,6,65,33,95,4,0,4,0,3,[]
323,65,62,32,23,42,66,52,49,33,23,91,46,32,21,45,10,94,6,89,14,0,4,0,3,[]
324,63,62,32,23,48,65,53,49,33,23,91,47,32,21,43,16,85,19,77,26,0,4,0,3,[]
325,3,96,32,23,3,96,41,58,19,85,92,53,32,21,44,13,72,29,64,34,0,4,0,3,[]
326,11,78,18,86,20,83,41,58,30,72,93,54,85,8,49,6,64,33,65,35,0,4,0,3,[]
327,17,60,28,72,30,72,41,57,39,60,93,53,73,22,49,6,61,37,66,31,0,4,0,3,[]
328,21,46,39,62,39,61,47,52,53,56,91,60,66,35,95,4,67,44,66,38,0,4,0,3,[]
329,19,33,50,52,49,52,51,50,53,50,92,61,58,35,94,5,59,40,63,39,0,4,0,3,[]
330,11,26,56,40,60,44,59,42,58,44,93,54,45,33,84,18,64,37,67,36,0,4,0,3,[]
331,14,22,59,37,62,36,62,37,63,37,87,52,58,30,70,26,66,30,68,33,0,4,0,3,[]
332,13,18,57,42,57,42,56,41,59,47,81,47,59,29,66,34,66,33,67,33,0,4,0,3,[]
333,19,24,62,50,63,50,57,44,67,54,81,47,64,33,60,33,66,37,64,37,0,4,0,3,[]
334,34,35,62,50,60,45,55,46,68,44,82,5,55,33,52,33,60,39,60,37,0,4,0,3,[]
335,42,32,56,43,60,44,57,43,59,39,64,6,60,33,54,31,66,32,65,34,0,4,0,3,[]
336,45,32,58,38,61,39,61,40,61,38,57,17,69,33,55,30,66,32,67,31,0,4,0,3,[]
337,54,32,59,35,62,37,63,37,59,35,58,28,68,32,58,27,66,30,64,31,0,4,0,3,[]
338,58,31,66,29,68,31,64,31,65,30,65,20,69,23,63,23,72,23,65,20,0,5,0,3,[]
339,53,33,66,30,71,31,69,32,69,31,68,20,74,24,68,20,74,24,77,16,0,5,0,3,[]
340,51,27,59,33,67,30,67,32,68,31,73,22,77,25,63,23,72,24,90,6,0,5,0,3,[]
341,44,12,56,30,54,30,61,33,61,33,79,32,75,25,62,22,71,28,83,11,0,5,0,3,[]
342,40,8,53,21,51,20,52,25,58,27,72,41,64,22,57,14,66,26,70,21,0,5,0,3,[]
343,47,6,53,17,45,8,47,14,57,15,67,39,62,21,56,8,68,30,64,24,0,5,0,3,[]
344,51,10,46,14,50,7,46,10,50,11,56,33,62,18,56,9,66,27,58,23,0,5,0,3,[]
345,46,11,45,10,42,8,43,10,45,10,50,23,58,15,58,8,59,24,48,22,0,6,0,3,[]
346,32,9,32,10,27,8,31,9,33,10,56,31,55,19,55,8,58,34,56,31,0,6,0,3,[]
347,24,7,32,10,27,8,31,9,33,10,59,39,50,26,57,12,55,43,59,40,0,6,0,3,[]
348,24,7,3,96,10,95,10,91,6,94,60,51,55,32,49,19,50,50,52,52,0,6,0,3,[]
349,17,86,20,84,31,94,20,82,23,81,53,47,47,34,57,29,48,48,50,49,0,6,0,3,[]
350,18,67,34,78,45,92,29,71,31,69,47,41,34,39,60,39,44,39,40,43,0,6,0,3,[]
351,17,52,49,82,57,93,36,63,37,63,39,31,29,35,62,50,34,38,41,35,0,6,0,3,[]
352,17,45,57,83,56,91,43,57,40,54,31,20,40,36,75,52,43,35,41,32,0,6,0,3,[]
353,15,44,49,80,55,91,45,55,35,47,25,10,41,31,80,55,57,33,95,4,0,6,0,3,[]
354,22,55,42,68,5,95,48,53,32,44,25,9,41,31,82,56,71,40,78,15,0,6,0,3,[]
355,21,49,45,66,22,81,46,49,35,36,95,4,94,5,75,62,65,38,68,29,0,6,0,3,[]
356,20,33,40,60,30,68,40,40,46,38,82,20,76,19,78,74,61,37,65,36,0,6,0,3,[]
357,16,19,43,46,39,58,48,46,41,42,71,27,66,32,79,80,66,32,64,37,0,6,0,3,[]
358,18,15,42,43,49,48,51,47,41,42,58,33,66,43,84,82,71,27,62,40,0,6,0,3,[]
359,31,10,35,40,48,42,50,46,14,83,48,32,60,39,81,81,71,27,60,40,0,6,0,3,[]
360,33,10,43,35,46,36,49,46,26,71,53,32,57,35,75,89,95,4,58,40,0,6,0,3,[]
361,36,13,41,35,41,36,38,42,31,57,55,22,59,45,74,87,58,42,58,42,0,6,0,3,[]
362,40,17,40,28,40,37,36,38,34,43,54,10,58,40,73,75,57,45,56,47,0,6,0,3,[]
363,40,17,40,29,45,39,37,38,44,44,50,9,49,51,65,64,52,51,53,48,0,6,0,3,[]
364,36,23,42,37,47,41,44,46,46,43,51,9,52,50,63,62,51,53,54,46,0,6,0,3,[]
365,35,29,38,36,38,31,43,45,38,43,51,8,51,51,67,65,48,54,54,53,0,6,0,3,[]
366,35,29,32,34,34,31,40,44,41,44,58,14,44,51,59,59,47,53,50,51,0,6,0,3,[]
367,36,29,32,31,32,33,33,39,33,36,46,22,41,38,51,53,42,44,42,43,0,6,0,3,[]
368,30,29,33,32,29,32,27,34,33,32,33,23,35,36,40,43,35,39,33,40,0,6,0,3,[]
369,37,37,34,32,29,35,30,30,32,34,28,33,38,38,31,37,31,37,31,37,0,6,0,3,[]
370,44,44,43,24,28,36,28,31,30,36,32,36,38,37,34,31,35,40,34,36,0,6,0,3,['30:47 SNAngel(离群之刺) 击杀了 OMGKane(探险家)']
371,53,48,46,24,28,36,28,31,30,36,34,41,38,37,42,25,46,45,44,45,0,6,0,3,[]
372,63,51,10,91,28,36,28,31,30,36,38,62,38,37,41,33,56,49,57,49,0,6,0,3,[]
373,71,53,25,82,28,36,28,31,30,36,37,62,38,37,43,46,47,57,50,54,0,6,0,3,[]
374,8,94,29,68,28,36,28,31,30,36,36,63,38,37,48,58,60,63,64,63,0,6,0,3,[]
375,22,81,34,64,28,36,28,31,30,36,47,67,38,37,54,67,66,67,67,70,0,6,0,3,[]
376,32,73,32,62,28,36,28,31,30,36,48,73,38,37,54,76,62,71,66,68,0,6,0,3,[]
377,39,62,32,50,28,36,28,31,30,36,55,76,38,37,56,75,57,74,65,65,0,6,0,3,[]
378,36,49,34,42,28,36,28,31,8,94,60,72,38,37,62,85,57,69,62,63,0,6,0,3,[]
379,43,51,34,39,28,36,28,31,25,81,60,72,94,4,62,85,57,69,95,4,0,6,0,3,[]
380,49,47,33,33,4,91,28,31,37,75,81,6,73,14,95,3,83,6,79,14,0,6,0,3,[]
381,40,37,38,36,17,69,19,84,49,66,63,7,60,25,80,14,70,18,63,22,0,6,0,3,[]
382,44,24,41,27,21,47,29,71,46,58,49,10,52,28,71,18,58,23,49,22,0,6,0,3,[]
383,31,35,43,37,19,44,35,62,39,58,36,12,51,27,66,28,49,24,45,23,0,6,0,3,[]
384,24,32,46,40,23,40,45,53,52,50,36,8,54,32,58,39,56,32,56,32,0,6,0,3,[]
385,36,36,57,40,38,37,56,43,60,37,50,8,55,32,64,31,66,33,68,31,0,6,0,3,[]
386,49,34,62,37,53,41,61,39,62,37,62,14,65,23,69,29,71,28,79,34,0,6,0,3,[]
387,51,24,64,31,67,31,63,32,60,25,68,20,80,12,73,27,74,28,77,28,0,6,0,3,[]
388,41,23,65,34,66,33,64,31,65,26,67,19,95,5,79,31,73,22,79,30,0,6,0,3,[]
389,27,13,66,32,65,23,67,30,66,29,71,18,76,19,75,34,76,28,78,34,0,6,0,3,[]
390,26,10,59,39,65,23,62,32,65,31,71,18,73,22,72,30,73,22,73,32,0,6,0,3,[]
391,28,10,67,30,69,30,69,30,71,33,71,21,75,23,72,23,76,25,75,25,0,6,0,3,[]
392,44,11,68,31,73,32,69,31,69,32,70,24,76,25,73,31,72,23,76,25,0,6,0,3,[]
393,58,10,67,33,74,32,69,34,70,33,73,26,74,28,73,27,68,26,72,27,0,6,0,3,[]
394,61,8,68,30,71,31,70,33,70,31,73,19,79,22,79,22,79,23,71,22,0,6,0,3,[]
395,63,14,65,20,63,19,68,28,65,22,65,10,87,7,89,14,69,12,67,11,0,6,0,3,[]
396,69,10,68,10,65,8,65,16,65,10,71,5,82,5,95,3,71,5,72,7,0,6,0,3,[]
397,69,11,70,9,67,10,68,11,67,10,72,14,72,6,82,8,76,8,71,9,0,7,0,3,[]
398,67,12,67,11,62,10,63,11,63,8,68,9,67,11,66,8,70,11,71,9,0,7,0,3,[]
399,67,10,65,11,59,12,62,12,63,8,67,9,63,11,66,10,64,11,71,9,0,7,0,3,['33:13 SNSmlz(圣枪游侠) 击杀了 OMGWorld6(德邦总管)']
400,67,10,65,11,52,19,62,12,63,8,57,8,59,11,69,20,60,11,71,9,0,7,0,3,[]
401,67,10,65,11,41,27,62,12,63,8,46,8,53,20,76,27,54,19,71,9,0,7,0,3,[]
402,67,10,65,11,48,38,62,12,63,8,32,10,41,28,76,27,42,25,71,9,0,7,0,3,[]
403,67,10,65,11,55,41,62,12,63,8,21,12,47,39,95,4,47,37,71,9,0,7,0,3,[]
404,67,10,65,11,63,52,62,12,63,8,18,15,61,51,60,42,59,47,71,9,0,7,0,3,[]
405,67,10,65,11,57,65,62,12,63,8,11,27,65,53,58,41,58,46,71,9,0,7,0,3,[]
406,67,10,65,11,55,81,62,12,63,8,15,39,53,49,59,39,47,49,71,9,0,7,0,3,[]
407,67,10,65,11,56,90,62,12,63,8,9,41,43,57,48,48,43,54,91,8,0,7,0,3,[]
408,67,10,65,11,52,94,62,12,14,89,7,40,32,66,38,59,34,64,77,20,0,7,0,3,[]
409,67,10,3,96,52,94,62,12,28,80,11,38,36,60,32,60,43,67,66,32,0,7,0,4,[]
410,67,10,3,96,4,92,4,91,25,76,11,38,39,58,24,56,47,62,58,45,0,7,0,4,[]
411,18,92,10,82,15,76,6,88,26,75,95,4,39,58,29,45,51,50,53,51,0,7,0,4,[]
412,35,93,18,68,26,71,7,55,28,72,91,12,90,5,24,38,42,39,43,39,0,7,0,4,[]
413,49,94,20,60,36,62,6,53,33,65,82,30,72,20,21,35,30,33,32,37,0,7,0,4,[]
414,67,92,31,52,39,63,14,50,38,64,80,44,61,23,15,34,29,34,21,37,0,7,0,4,[]
415,64,88,32,44,42,53,19,46,43,54,75,53,57,25,16,34,30,33,27,35,0,7,0,4,[]
416,52,84,25,50,33,49,15,39,50,48,76,51,58,33,15,34,21,31,23,36,0,7,0,4,[]
417,46,71,18,53,20,50,14,38,38,43,72,49,57,41,14,35,12,34,16,34,0,7,0,4,[]
418,44,55,17,61,6,46,14,38,31,46,58,47,47,40,14,36,10,35,14,36,0,7,0,4,[]
419,31,59,17,61,5,50,14,38,22,53,51,48,34,36,16,44,9,40,7,42,0,7,0,4,[]
420,15,63,5,83,7,54,14,38,16,62,48,49,22,44,20,51,9,47,6,47,0,7,0,4,[]
421,8,58,9,65,6,60,14,38,8,59,38,60,10,54,11,51,10,49,6,51,0,7,0,4,[]
422,7,68,11,69,11,69,14,38,9,67,29,70,11,59,9,57,9,55,8,57,0,7,0,5,[]
423,21,71,14,70,23,72,14,38,15,69,29,69,15,64,17,63,9,62,10,62,0,7,0,5,[]
424,28,69,9,72,10,74,14,38,11,71,28,67,12,64,8,63,6,65,7,65,0,7,0,5,[]
425,22,71,13,77,8,79,14,38,10,77,33,63,9,70,6,71,5,70,6,70,0,7,0,5,[]
426,21,72,15,81,14,83,14,38,14,79,30,65,9,73,6,78,5,72,6,73,0,7,0,6,[]
427,29,70,24,72,15,76,14,38,13,75,38,58,14,64,9,65,9,61,7,63,0,7,0,6,[]
428,33,73,30,70,13,90,10,86,18,74,41,53,20,49,18,55,5,45,5,47,0,7,0,6,[]
429,48,80,27,74,3,95,22,79,18,74,54,51,22,47,21,48,5,44,5,46,0,7,0,6,[]
430,65,88,24,71,20,85,28,72,5,95,55,50,24,42,21,38,95,4,95,4,0,7,0,6,[]
431,74,88,13,63,19,70,27,73,17,81,94,6,28,37,19,32,90,13,89,15,0,7,0,6,[]
432,85,81,8,54,10,60,3,96,26,69,82,24,95,4,19,32,81,30,73,28,0,7,0,6,[]
433,86,83,15,63,13,63,21,82,31,58,81,40,90,15,89,14,75,42,66,38,0,7,0,6,[]
434,81,77,28,65,30,66,30,70,39,65,87,54,81,33,81,31,63,38,64,40,0,7,0,6,[]
435,78,73,43,67,45,67,42,66,52,65,91,65,79,49,80,45,55,33,60,39,0,7,0,6,[]
436,78,73,57,63,59,63,54,65,63,61,90,67,74,62,76,58,58,43,60,49,0,7,0,6,[]
437,78,72,62,59,62,62,63,61,66,58,80,67,77,66,79,69,66,50,69,49,0,7,0,6,[]
438,79,77,73,69,73,71,71,70,73,71,78,75,79,76,79,78,76,58,76,57,0,7,0,6,[]
439,71,78,75,77,69,80,69,80,72,76,70,76,77,78,80,78,74,71,73,73,0,7,0,6,[]
440,67,82,75,78,63,83,71,87,65,83,74,76,68,82,72,77,70,79,71,78,0,7,0,6,[]
441,56,83,75,78,59,89,65,88,62,83,62,74,71,77,63,77,73,73,72,75,0,7,0,6,[]
442,50,88,75,78,58,89,54,86,61,85,58,66,70,65,59,70,68,66,67,69,0,7,0,6,[]
443,50,88,75,78,4,91,51,89,61,85,46,67,66,67,47,69,68,68,65,69,0,7,0,6,[]
444,2,96,75,78,11,74,51,89,58,91,44,67,64,69,47,72,68,65,66,67,0,7,0,6,[]
445,11,77,75,78,21,73,8,93,58,91,39,61,66,66,51,62,64,63,61,62,0,7,0,6,[]
446,10,63,75,78,29,69,22,80,11,83,37,50,54,55,44,51,51,52,50,53,0,7,0,6,[]
447,8,51,75,78,28,72,24,68,23,71,25,47,42,44,34,43,39,42,38,42,0,7,0,6,[]
448,7,51,75,78,28,72,19,59,18,58,23,42,33,31,31,29,32,33,32,32,0,7,0,6,[]
449,8,49,75,78,2,96,20,54,22,47,32,31,32,32,31,29,31,32,34,36,0,7,0,6,[]
450,18,44,5,91,4,92,21,44,26,36,35,29,33,30,34,30,35,29,41,32,0,7,0,6,[]
451,23,42,15,72,27,35,29,36,33,32,95,4,43,24,40,25,43,25,94,4,0,7,0,6,[]
452,11,31,30,68,32,41,21,47,31,40,95,4,48,18,43,17,46,24,84,19,0,7,0,6,[]
453,10,27,44,69,43,51,26,58,39,53,83,16,93,9,47,15,92,9,71,31,0,7,0,6,[]
454,10,25,50,77,39,62,35,62,36,65,89,33,76,26,90,6,77,26,65,37,0,7,0,6,[]
455,11,35,47,79,45,56,35,62,34,68,90,50,64,36,91,5,65,38,59,42,0,7,0,6,[]
456,11,35,35,79,39,60,2,96,34,68,89,64,55,47,82,11,53,48,52,48,0,7,0,6,[]
457,14,89,32,81,30,70,17,86,11,92,87,74,56,63,71,27,53,54,54,52,0,7,0,6,[]
458,26,76,2,96,28,75,27,73,28,82,88,77,53,76,62,39,48,56,56,65,0,7,0,6,[]
459,30,66,20,85,28,78,30,72,39,76,79,86,44,67,53,51,46,58,44,58,0,7,0,6,[]
460,33,73,30,74,38,76,31,73,43,78,65,88,44,70,50,60,37,60,44,58,0,7,0,6,[]
461,35,83,35,82,35,76,29,73,39,76,57,91,44,68,43,69,39,64,38,58,0,7,0,6,[]
462,33,80,34,83,30,72,31,73,35,77,49,92,46,79,41,68,35,64,36,63,0,7,0,6,[]
463,24,76,28,77,23,76,22,74,35,80,45,90,40,76,31,70,28,67,31,64,0,7,0,6,[]
464,25,76,24,79,20,74,21,76,26,78,35,92,30,73,27,68,31,69,29,67,0,7,0,7,[]
465,32,91,29,79,23,77,24,78,26,78,35,92,29,72,26,68,28,69,32,72,0,7,0,7,[]
466,30,92,26,79,21,74,20,77,24,78,35,92,28,69,32,73,30,69,29,69,0,7,0,7,[]
467,28,92,26,81,18,75,21,76,25,78,35,92,36,62,35,74,36,66,35,67,0,7,0,7,[]
468,30,93,30,91,9,67,24,81,31,90,37,92,37,60,36,77,38,74,40,67,0,7,0,7,[]
469,31,91,25,87,12,75,19,77,24,81,35,91,25,71,34,87,28,71,27,71,0,7,0,7,[]
470,23,93,20,86,13,80,15,81,18,84,35,92,22,75,29,83,25,79,24,77,0,7,0,8,[]
471,25,92,23,88,22,87,20,85,28,88,34,90,29,82,27,83,30,83,31,76,0,7,0,8,[]
472,21,95,16,92,11,92,22,93,19,91,33,89,24,87,24,86,29,88,32,89,0,7,0,9,[]
473,8,91,3,96,5,95,9,95,6,94,24,89,22,88,21,92,22,86,23,89,0,7,0,9,[]
474,8,94,8,90,11,94,8,91,12,91,18,89,16,87,19,94,16,85,18,87,0,7,0,9,[]
475,16,90,13,82,13,91,12,88,14,90,21,88,20,85,21,93,21,88,22,85,0,7,0,10,[]
476,13,91,13,88,13,91,9,86,13,90,16,82,12,79,24,92,20,89,21,88,0,7,0,10,[]
477,9,81,13,87,15,89,11,86,13,87,17,81,13,78,22,87,20,83,22,86,0,7,0,10,[]
478,7,83,12,86,17,89,8,86,10,84,10,78,15,80,18,83,12,78,12,79,0,7,0,10,[]
479,7,85,13,88,14,88,8,87,9,83,10,80,15,82,17,85,10,80,11,83,0,7,0,10,[]
480,12,86,7,86,8,90,6,91,9,83,3,86,10,86,13,88,11,85,12,84,0,7,0,11,['39:57 SNSmlz(圣枪游侠) 击杀了 OMGFive(弗雷尔卓德之心)']
481,12,87,7,86,5,93,2,93,9,83,6,90,13,90,13,90,12,90,12,90,0,7,0,11,[]
482,12,87,7,86,5,93,2,94,9,83,6,90,,0,,0,12,90,12,90,0,7,0,11,[]
483,12,87,7,86,5,93,2,94,9,83,6,90,,0,,0,12,90,12,90,0,7,0,11,[]
