,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGKane, ,OMGFive, ,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,22,13,66,82,39,55,82,85,82,84,35,7,42,15,51,49,95,7,64,58,0,0,0,0,[]
59,21,14,55,83,37,57,82,88,87,85,94,4,41,15,50,54,89,73,64,58,0,0,0,0,[]
60,24,22,56,83,37,57,82,89,87,85,29,8,41,15,49,50,90,81,92,12,0,0,0,0,[]
61,24,22,58,84,2,96,2,96,85,88,22,10,93,11,47,52,89,75,91,26,0,0,0,0,[]
62,3,95,59,85,44,55,2,96,88,86,15,14,85,25,54,50,87,76,90,36,0,0,0,0,[]
63,4,91,63,87,46,55,84,82,88,85,14,15,80,39,66,54,89,77,89,52,0,0,0,0,[]
64,4,91,76,90,45,56,86,80,88,84,21,13,80,51,59,57,88,74,87,62,0,0,0,0,[]
65,8,28,81,91,44,54,86,80,89,83,29,21,75,62,54,53,89,75,81,69,0,0,0,0,[]
66,14,21,81,82,45,52,88,73,89,71,26,14,79,73,51,49,91,68,79,74,0,0,0,0,[]
67,12,21,80,78,46,53,84,79,86,78,18,14,77,70,47,49,91,67,78,73,0,0,0,0,[]
68,11,23,78,73,47,55,88,78,85,78,12,18,78,64,48,48,91,67,75,63,0,0,0,0,[]
69,10,25,72,76,44,54,87,77,85,77,13,19,88,68,52,49,94,11,83,66,0,0,0,0,[]
70,10,23,62,75,40,57,89,77,84,84,14,20,92,70,60,57,94,22,89,70,0,0,0,0,[]
71,13,23,50,75,48,52,80,85,84,84,14,17,84,62,66,61,93,33,90,70,0,0,0,0,[]
72,14,20,44,67,46,52,80,85,3,96,17,15,83,56,66,57,92,44,91,71,0,0,0,0,[]
73,12,22,43,68,48,51,5,96,9,95,16,17,83,57,59,50,91,55,90,69,0,0,0,0,[]
74,16,16,44,67,45,51,3,94,9,95,17,12,78,51,52,49,90,68,92,73,0,0,0,0,[]
75,14,17,46,67,40,50,14,94,20,91,16,13,68,46,50,49,89,72,91,73,0,0,0,0,[]
76,18,17,36,62,43,53,25,93,31,90,18,13,60,36,47,42,87,73,90,74,0,0,0,0,[]
77,23,11,44,58,51,50,36,92,40,86,24,10,49,33,40,38,89,78,81,77,0,0,0,0,[]
