,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
257,47,51,83,66,36,36,27,10,36,36,90,67,46,28,45,32,49,32,41,31,0,3,0,0,[]
258,49,48,79,78,41,38,33,8,41,38,85,80,54,31,51,26,59,37,46,24,0,3,0,0,[]
259,41,42,84,82,41,31,27,14,40,33,87,67,49,25,44,14,59,39,59,36,0,3,0,0,[]
260,32,34,85,83,46,24,37,15,38,27,76,62,54,31,42,8,60,38,58,40,0,3,0,0,[]
261,37,38,77,75,45,23,41,17,44,23,71,64,54,31,47,6,54,31,53,32,0,3,0,0,[]
262,42,43,68,65,46,24,43,18,46,24,69,63,54,31,49,7,56,31,54,30,0,3,0,0,[]
263,48,49,79,65,46,24,43,9,46,24,84,56,55,31,50,8,55,31,56,32,0,3,0,0,[]
264,50,44,83,61,46,24,45,9,46,24,81,54,55,32,57,7,61,37,54,32,0,3,0,0,[]
265,40,38,81,56,52,30,49,20,52,30,88,52,59,27,58,8,60,36,59,38,0,3,0,0,[]
266,40,38,88,61,54,32,52,31,54,32,91,60,61,24,46,8,62,33,60,38,0,3,0,0,[]
267,45,45,91,55,43,39,41,39,43,39,91,49,57,29,44,7,65,30,55,32,0,3,0,0,[]
268,49,48,89,61,45,43,42,41,45,43,93,48,48,22,47,9,65,30,47,26,0,3,0,0,[]
269,49,49,84,65,45,43,2,96,45,43,84,50,40,23,47,9,86,17,44,23,0,3,0,0,[]
270,50,49,84,65,3,95,7,79,2,96,74,44,49,24,89,7,74,28,44,24,0,3,0,0,[]
271,44,51,4,96,9,83,9,63,9,83,77,46,54,31,72,10,65,35,95,4,0,3,0,0,[]
272,44,51,24,93,16,69,11,49,16,69,73,62,54,31,59,12,65,35,94,4,0,3,0,0,[]
273,8,87,41,92,18,56,11,34,18,56,80,75,84,9,49,21,57,40,81,18,0,3,0,0,[]
274,19,76,55,91,24,46,14,21,22,45,87,81,69,17,37,24,56,42,70,31,0,3,0,0,[]
275,28,67,69,89,23,42,24,11,24,38,86,86,59,27,47,21,50,49,59,41,0,3,0,0,[]
276,37,59,80,87,31,34,33,9,31,34,88,77,53,20,43,14,54,45,60,48,0,3,0,0,[]
277,39,56,84,80,34,30,27,16,32,33,90,64,48,17,39,11,58,34,49,39,0,3,0,0,[]
278,42,51,87,74,40,36,31,16,32,39,91,56,43,16,39,11,49,25,51,26,0,3,0,0,[]
279,47,46,83,62,41,31,31,17,43,34,92,57,44,16,39,9,48,22,49,23,0,3,0,0,[]
280,50,46,91,56,47,38,28,22,47,38,93,54,43,15,48,16,57,27,48,22,0,3,0,0,[]
281,53,46,93,54,52,48,20,15,55,45,90,45,51,24,58,25,56,35,56,32,0,3,0,0,[]
282,45,44,92,55,48,45,29,9,48,45,92,42,57,32,55,31,59,36,60,40,0,3,0,0,[]
283,35,36,87,53,41,34,31,8,41,34,91,48,52,27,55,22,61,37,61,39,0,3,0,0,[]
284,40,36,81,51,43,24,32,16,41,24,90,40,52,29,46,12,61,36,59,34,0,3,0,0,[]
285,37,36,75,40,41,27,34,17,41,27,89,23,55,31,45,7,56,32,50,34,0,3,0,0,[]
286,44,44,74,43,41,27,37,24,41,27,94,10,55,31,48,6,55,32,52,27,0,3,0,0,[]
287,51,46,75,44,41,30,40,29,41,30,94,5,55,31,53,9,59,35,55,32,0,3,0,0,[]
288,47,40,73,44,40,31,41,31,40,31,93,25,53,29,55,11,57,34,58,33,0,3,0,0,[]
289,39,36,67,48,42,37,41,30,42,37,92,40,53,29,55,12,59,37,49,32,0,3,0,0,[]
290,43,34,56,43,43,33,41,29,43,33,91,55,54,30,55,19,56,32,54,32,0,3,0,0,[]
291,42,24,51,43,43,24,45,24,43,24,92,64,51,29,54,21,56,29,52,27,0,3,0,0,[]
292,43,24,54,54,42,25,43,23,42,25,88,70,53,27,56,23,56,23,53,28,0,3,0,0,[]
293,38,25,55,57,41,27,40,23,41,27,78,65,46,23,50,22,59,34,53,30,0,3,0,0,[]
294,40,35,58,68,41,35,27,23,41,35,70,64,57,28,57,24,58,38,55,32,0,3,0,0,[]
295,44,47,67,66,33,43,13,17,44,47,71,66,47,32,59,36,55,44,54,44,0,3,0,0,[]
296,46,55,61,63,39,49,17,17,46,55,62,63,46,39,54,48,54,54,55,55,0,3,0,0,[]
297,49,61,47,66,47,59,25,28,49,61,48,65,50,45,54,58,56,61,55,63,0,3,0,0,[]
298,44,58,47,66,41,59,32,43,42,58,45,58,46,58,46,57,52,62,51,61,0,3,0,0,[]
299,44,58,47,66,40,61,40,54,41,59,49,53,51,51,49,54,52,60,49,58,0,3,0,0,[]
300,44,58,47,66,41,57,42,57,40,58,60,58,48,49,43,46,51,53,45,47,0,3,0,0,[]
301,44,58,47,66,29,59,35,59,35,59,71,69,58,57,33,36,61,58,37,38,0,3,0,0,[]
302,44,58,47,66,21,51,24,57,21,51,83,84,67,64,39,26,68,66,42,26,0,3,0,0,[]
303,44,58,47,66,15,43,37,58,19,49,81,86,69,67,45,21,70,64,45,23,0,3,0,0,[]
304,44,58,47,66,18,44,49,49,2,96,72,88,69,67,46,12,70,64,51,21,0,3,0,0,[]
305,44,58,47,66,26,36,52,47,10,83,71,92,70,67,42,6,66,53,51,21,0,3,0,1,[]
306,4,92,47,66,34,31,49,46,21,74,70,90,95,4,37,6,65,39,89,6,0,3,0,1,[]
307,16,79,19,94,33,43,41,45,30,65,70,88,83,9,37,6,62,37,73,20,0,3,0,1,[]
308,27,70,35,93,32,44,40,45,31,53,70,88,68,18,90,6,68,40,65,34,0,3,0,1,[]
309,39,67,47,89,40,54,40,45,40,54,92,7,58,28,68,7,67,41,50,32,0,3,0,1,[]
310,46,73,50,91,45,66,5,95,45,68,87,19,44,32,46,12,68,40,45,34,0,3,0,1,[]
311,42,68,56,83,49,74,11,83,42,68,81,34,46,33,40,16,68,40,54,32,0,3,0,1,[]
312,41,57,61,83,56,82,23,72,41,57,80,49,43,32,36,17,89,7,52,27,0,3,0,1,[]
313,47,52,74,87,54,83,32,61,47,52,83,56,42,26,24,14,79,22,56,32,0,3,0,1,[]
314,43,51,80,85,58,71,22,53,48,51,75,53,52,33,21,12,68,32,57,34,0,3,0,1,[]
315,37,48,74,73,55,58,15,39,51,56,75,53,51,34,25,23,59,35,51,30,0,3,0,1,[]
316,32,45,69,67,45,49,8,29,45,49,84,52,43,34,17,23,49,33,47,33,0,3,0,1,[]
317,42,52,66,55,43,42,10,31,43,42,91,58,42,35,31,32,52,32,50,34,0,3,0,1,[]
318,48,52,65,58,43,44,10,29,43,44,88,70,45,34,35,30,60,38,49,32,0,3,0,1,[]
319,45,49,57,68,42,45,14,15,42,45,84,81,47,35,34,35,58,40,59,35,0,3,0,1,[]
320,40,51,59,82,40,40,12,17,39,40,82,82,53,33,41,25,57,41,56,43,0,3,0,1,[]
321,39,53,55,89,34,41,12,17,31,37,70,88,51,29,43,10,54,32,53,46,0,3,0,1,[]
322,41,52,54,93,39,43,7,90,39,43,59,85,41,25,47,10,55,32,59,36,0,3,0,1,[]
323,45,52,58,92,34,38,19,76,34,38,60,86,44,24,45,8,50,26,49,33,0,3,0,1,[]
324,43,51,55,94,33,38,30,66,33,38,57,93,42,25,45,15,59,36,56,32,0,3,0,1,[]
325,42,46,48,91,29,35,31,58,29,35,67,91,43,24,50,26,58,39,62,39,0,3,0,1,[]
326,38,36,52,93,41,36,33,44,41,36,64,90,43,24,49,34,58,40,59,35,0,3,0,1,[]
327,42,36,50,93,42,32,41,41,42,36,57,83,46,22,52,33,54,32,58,34,0,3,0,1,[]
328,32,44,51,92,42,45,44,49,44,49,50,78,44,23,49,22,55,32,95,4,0,3,0,1,[]
329,41,51,47,91,44,43,49,50,49,50,61,75,43,23,39,14,59,35,90,5,0,3,0,1,[]
330,45,47,47,91,42,40,44,45,42,40,74,78,38,23,27,11,63,36,76,19,0,3,0,1,[]
331,41,36,41,81,41,27,41,32,41,27,76,88,30,19,26,11,65,36,66,33,0,3,0,1,[]
332,42,25,41,78,48,20,43,23,48,20,77,87,39,14,43,8,62,35,59,34,0,3,0,1,[]
333,47,16,43,81,41,10,44,15,41,10,77,87,57,7,52,8,57,27,51,25,0,3,0,1,[]
334,33,18,48,90,28,12,30,18,28,12,95,4,56,17,48,8,61,24,58,33,0,3,0,1,[]
335,27,22,53,92,24,14,26,30,24,14,93,5,46,22,43,16,54,32,53,31,0,3,0,1,[]
336,29,34,49,91,27,20,30,31,27,21,76,15,41,32,42,14,55,41,50,31,0,3,0,1,[]
337,31,46,49,91,27,20,23,44,27,20,62,23,44,32,52,21,52,48,45,39,0,3,0,1,[]
338,32,59,15,88,4,94,22,55,2,97,50,32,41,32,52,30,46,37,42,35,0,3,0,1,[]
339,40,56,25,75,12,78,22,52,5,90,41,32,41,32,43,19,48,35,39,37,0,3,0,1,[]
340,37,57,31,63,17,65,14,44,16,77,49,47,92,5,31,11,95,4,48,35,0,3,0,1,[]
341,37,57,31,50,19,51,22,47,26,69,57,59,76,20,31,6,83,20,48,35,0,3,0,1,[]
342,10,84,31,36,24,39,22,38,32,58,62,75,65,30,32,7,72,31,81,14,0,3,0,1,[]
343,22,73,41,42,36,39,38,42,35,49,74,76,53,29,41,15,70,39,68,27,0,3,0,1,[]
344,32,65,46,45,40,42,46,46,47,48,78,87,46,23,47,16,62,41,58,39,0,3,0,1,[]
345,42,53,41,38,40,36,41,38,40,36,78,81,54,32,49,18,59,39,57,42,0,3,0,1,[]
346,43,44,42,25,41,31,33,32,39,29,68,67,53,34,53,17,57,33,58,34,0,3,0,1,[]
347,46,50,41,33,46,39,35,37,46,39,56,57,54,32,57,15,56,34,51,31,0,3,0,1,[]
348,48,46,44,47,50,46,41,40,50,46,58,55,62,37,95,4,61,36,53,32,0,3,0,1,[]
349,38,39,37,40,45,37,31,30,45,37,71,62,56,42,81,10,59,39,58,41,0,3,0,1,[]
350,32,33,33,32,43,35,31,30,43,35,83,56,56,33,71,24,59,37,59,38,0,3,0,1,[]
351,32,33,34,30,44,33,31,30,44,33,79,52,52,31,61,33,54,32,52,30,0,3,0,1,[]
352,32,33,34,30,38,30,33,31,38,32,73,48,42,32,47,33,46,36,41,26,0,3,0,1,[]
353,26,36,27,34,30,32,27,35,30,32,19,16,39,36,39,37,41,40,41,34,0,3,0,1,[]
354,21,47,22,46,24,45,21,47,22,46,18,15,40,43,43,46,47,49,32,44,0,3,0,1,[]
355,29,53,29,51,34,59,29,52,34,59,14,16,50,52,46,50,48,53,43,51,0,3,0,1,[]
356,37,58,33,49,42,58,39,58,44,58,11,23,58,58,50,51,51,51,51,48,0,3,0,1,[]
357,41,58,19,50,45,65,41,62,41,61,8,26,71,66,57,48,58,40,57,45,0,3,0,2,[]
358,2,96,9,44,44,68,7,93,4,94,8,25,74,68,56,48,53,29,55,40,0,3,0,2,[]
359,16,87,9,40,3,96,11,91,11,91,95,5,76,62,50,45,49,33,52,46,0,3,0,2,[]
360,27,76,11,26,5,95,24,78,25,77,84,22,76,62,49,43,53,41,56,43,0,3,0,2,[]
361,35,66,13,19,23,87,33,66,35,66,80,37,90,13,52,47,58,41,95,4,0,3,0,2,[]
362,39,58,17,22,32,77,40,56,39,58,79,49,78,26,56,44,58,41,90,12,0,3,0,2,[]
363,44,56,26,32,36,65,45,54,45,54,67,44,67,36,56,44,94,5,76,27,0,3,0,2,[]
364,50,52,39,42,46,58,52,52,50,52,57,43,66,47,94,5,88,15,66,38,0,3,0,2,[]
365,51,53,50,49,50,51,52,52,57,55,59,44,66,55,94,5,60,40,66,54,0,3,0,2,[]
366,57,48,60,49,60,50,58,46,60,49,62,37,67,48,95,4,62,38,73,49,0,3,0,2,[]
367,65,53,66,57,66,59,59,57,66,57,57,41,66,46,94,5,59,39,76,60,0,3,0,2,[]
368,67,63,70,62,64,63,67,67,64,63,55,32,65,40,95,6,59,39,88,66,0,3,0,2,[]
369,65,65,74,70,66,67,67,67,65,65,48,19,65,34,82,23,55,33,93,54,0,3,0,2,[]
370,53,65,68,67,57,58,57,58,53,65,49,9,55,32,61,35,59,35,93,54,0,3,0,2,[]
371,46,73,57,65,52,50,48,50,57,65,48,9,54,32,59,35,62,34,87,8,0,3,0,2,[]
372,52,65,60,73,59,56,56,47,53,66,33,10,55,32,60,35,62,35,73,23,0,3,0,2,[]
373,55,54,57,62,67,50,60,49,55,54,19,12,56,34,59,37,61,35,61,36,0,3,0,2,[]
374,57,43,51,52,66,48,60,49,57,43,16,14,51,27,60,35,62,34,61,37,0,3,0,2,[]
375,60,41,50,43,69,42,57,44,57,40,11,27,43,20,66,31,66,31,71,33,0,3,0,2,[]
376,60,39,42,53,67,45,61,39,60,39,10,41,46,16,70,32,68,30,73,34,0,3,0,2,[]
377,67,40,50,47,69,39,59,39,67,40,7,48,58,23,72,34,66,28,65,31,0,3,0,2,[]
378,69,41,60,39,68,43,58,38,69,41,9,42,66,32,70,35,68,30,67,32,0,3,0,2,[]
379,64,36,63,33,59,34,63,34,64,36,9,48,73,28,63,25,73,27,73,29,0,3,0,2,[]
380,63,38,63,37,63,32,58,34,63,38,8,56,72,27,68,27,71,27,71,30,0,4,0,2,[]
381,62,39,66,44,53,33,50,34,62,39,8,57,68,28,68,28,67,29,69,32,0,4,0,3,[]
382,52,46,66,46,42,35,38,39,52,46,7,62,68,35,69,31,66,33,65,26,0,4,0,3,[]
383,41,51,6,81,28,37,25,37,41,51,8,51,73,43,64,39,64,40,56,33,0,4,0,3,[]
384,32,45,9,68,19,35,15,34,32,45,5,36,68,50,54,41,55,44,53,37,0,4,0,3,[]
385,32,41,8,67,19,33,9,26,32,41,12,22,59,56,49,47,51,47,41,36,0,4,0,3,[]
386,31,53,17,66,24,44,10,26,31,53,22,12,41,57,43,55,45,55,40,43,0,4,0,3,[]
387,37,57,2,96,31,56,13,36,37,57,22,12,47,56,43,56,45,55,50,51,0,4,0,4,[]
388,35,63,15,94,26,59,16,45,35,62,95,4,57,57,57,50,55,49,65,50,0,4,0,4,[]
389,6,94,35,92,40,65,4,95,7,89,85,16,77,53,73,50,61,40,73,43,0,4,0,4,[]
390,21,82,48,90,45,66,19,83,21,82,71,25,90,51,80,54,52,49,73,43,0,4,0,4,[]
391,31,71,57,83,44,69,30,72,31,71,56,30,90,55,81,44,60,38,88,5,0,4,0,4,[]
392,38,61,56,82,2,96,39,59,38,61,46,32,89,53,81,43,63,35,67,19,0,4,0,4,[]
393,43,53,62,83,14,90,46,49,46,49,48,32,89,53,88,54,57,33,55,30,0,4,0,4,[]
394,47,50,68,82,26,77,48,46,47,50,40,34,80,11,91,52,59,36,55,32,0,4,0,4,[]
395,54,45,3,94,35,67,55,45,55,45,29,36,70,25,89,45,63,32,66,34,0,4,0,4,[]
396,44,43,18,82,43,56,43,43,43,43,34,29,64,31,89,45,66,33,68,32,0,4,0,4,[]
397,36,41,30,74,43,44,30,38,31,40,35,31,67,32,93,5,68,32,68,33,0,4,0,4,[]
398,43,44,43,79,43,36,18,34,43,44,28,32,65,35,94,4,67,34,66,32,0,4,0,4,[]
399,39,51,56,84,37,38,10,26,39,51,23,25,62,34,86,9,64,34,58,33,0,4,0,4,[]
400,31,54,69,88,25,37,12,22,37,50,19,23,47,33,73,22,57,41,46,34,0,4,0,4,[]
401,40,55,65,78,24,34,12,35,33,41,20,24,45,35,63,33,51,50,42,32,0,4,0,4,[]
402,40,58,56,68,24,47,19,46,31,46,26,33,40,39,59,46,51,49,50,44,0,4,0,4,[]
403,38,60,57,68,23,50,30,54,31,58,39,36,50,33,67,57,59,45,54,45,0,4,0,4,[]
404,36,58,58,70,32,44,37,62,37,57,35,23,55,32,74,67,59,44,59,42,0,4,0,4,[]
405,39,49,52,63,36,39,37,62,37,62,22,11,60,33,85,78,94,6,59,42,0,4,0,4,[]
406,40,56,59,75,44,43,4,94,4,94,20,16,60,33,89,73,83,18,87,4,0,4,0,4,[]
407,47,51,65,88,47,49,10,84,10,84,32,12,58,31,87,69,72,29,73,20,0,4,0,4,[]
408,49,50,74,90,46,53,23,72,23,72,42,18,68,40,87,69,62,36,63,33,0,4,0,4,[]
409,38,56,79,87,34,47,34,63,33,62,43,17,74,42,88,15,64,35,63,35,0,4,0,4,[]
410,38,56,81,85,35,42,41,54,41,54,43,18,68,39,74,28,63,32,55,31,0,4,0,4,[]
411,3,93,70,82,24,37,35,49,35,49,94,7,60,33,61,33,53,32,49,33,0,4,0,4,[]
412,17,78,60,73,13,34,41,55,41,55,92,28,61,35,57,38,56,33,50,31,0,4,0,4,[]
413,28,67,52,62,8,29,46,53,47,53,93,44,52,45,50,47,53,43,39,29,0,4,0,4,[]
414,40,59,47,66,14,36,41,57,41,57,92,60,54,47,49,47,50,45,41,30,0,4,0,4,[]
415,45,54,53,62,18,24,40,51,46,52,88,69,60,35,59,37,59,35,93,4,0,4,0,4,[]
416,40,44,61,74,15,16,42,45,40,42,88,76,52,28,52,25,52,27,78,23,0,4,0,4,[]
417,34,37,60,76,13,19,42,45,34,36,88,76,61,33,43,15,55,32,65,33,0,4,0,4,[]
418,32,46,51,79,13,20,4,94,33,44,88,76,56,34,44,9,54,32,56,33,0,4,0,4,[]
419,35,49,57,89,2,96,16,78,33,44,88,7,54,32,38,8,55,32,57,34,0,4,0,4,[]
420,42,54,65,89,16,82,27,67,11,91,70,17,59,36,44,15,57,38,57,41,0,4,0,4,[]
421,40,56,65,91,26,71,27,59,20,77,54,24,51,46,46,15,52,46,46,40,0,4,0,4,[]
422,42,55,65,91,34,62,31,59,29,67,46,24,54,41,46,15,53,44,46,36,0,4,0,4,[]
423,38,50,11,83,43,54,32,47,37,58,33,31,55,33,94,4,57,43,54,45,0,4,0,4,[]
424,33,47,24,71,44,48,34,42,44,48,25,28,41,32,94,4,57,39,57,44,0,4,0,4,[]
425,45,51,35,62,43,41,34,39,42,45,16,16,41,30,94,5,53,42,57,41,0,4,0,4,[]
426,46,48,31,51,41,31,31,37,41,35,25,15,44,24,94,4,60,35,53,32,0,4,0,4,[]
427,36,38,32,38,40,36,35,38,39,38,35,22,54,31,92,12,59,41,58,40,0,4,0,4,[]
428,34,48,33,43,33,38,32,45,32,42,30,21,58,41,69,33,57,42,57,42,0,4,0,4,[]
429,40,50,40,51,44,43,39,53,44,43,34,23,55,44,55,48,58,47,53,47,0,4,0,4,[]
430,39,51,44,56,45,42,40,50,42,46,53,30,52,47,54,50,57,46,54,47,0,4,0,4,[]
431,41,54,43,59,43,44,41,53,41,54,54,41,52,48,53,51,52,50,51,51,0,4,0,4,[]
432,37,59,40,58,35,43,42,55,42,55,47,40,46,46,49,49,52,47,51,49,0,4,0,4,[]
433,39,52,44,49,35,47,43,51,44,50,42,39,37,39,37,38,44,39,38,41,0,4,0,4,[]
434,45,55,50,50,47,53,47,52,45,55,42,35,37,38,34,37,48,39,46,39,0,4,0,4,[]
435,44,51,45,47,41,43,46,54,44,51,33,32,31,31,33,33,40,34,37,37,0,4,0,4,[]
436,38,40,35,40,42,34,41,42,38,40,31,31,33,32,29,33,36,24,32,37,0,4,0,4,[]
437,35,40,32,43,37,40,37,40,35,40,24,35,31,30,28,35,25,27,26,35,0,4,0,4,[]
438,37,39,40,42,38,42,35,42,37,39,21,48,28,37,25,36,26,37,29,38,0,4,0,4,[]
439,47,46,50,49,45,43,48,51,47,46,33,49,39,39,36,38,37,36,39,38,0,4,0,4,[]
440,56,39,56,41,48,42,55,41,56,39,43,51,51,35,49,34,50,31,44,43,0,4,0,4,[]
441,49,46,46,41,44,45,49,44,49,46,47,47,47,37,47,36,49,35,37,42,0,4,0,4,[]
442,50,51,50,47,51,51,52,49,50,51,51,48,51,48,48,42,49,42,49,48,0,4,0,4,[]
443,50,53,51,45,52,50,48,48,50,53,52,52,51,47,49,43,54,46,49,48,0,4,0,4,"['36:54 DMONatural(ÎäÆ÷´óÊ¦) »÷É±ÁË RWZWuJi(ÄæÓð)', '36:54 RWHuaTian(¼²·ç½£ºÀ) »÷É±ÁË DMOMark(¸¥À×¶û×¿µÂÖ®ÐÄ)']"
444,50,53,51,45,55,48,54,48,55,48,49,58,51,47,51,47,59,49,49,48,0,4,0,4,[]
445,50,53,51,45,56,48,53,47,52,48,53,47,51,47,54,50,55,50,49,48,0,4,0,4,[]
446,50,53,51,45,56,48,53,47,52,48,43,55,51,47,44,56,45,56,49,48,0,4,0,4,[]
447,50,53,51,45,56,48,53,47,52,48,33,66,51,47,32,63,34,64,49,48,0,4,0,4,[]
448,50,53,51,45,56,48,53,47,52,48,30,69,51,47,31,67,30,70,49,48,0,4,0,5,[]
449,50,53,51,45,56,48,53,47,52,48,23,75,51,47,22,73,25,76,49,48,0,4,0,5,[]
450,50,53,51,45,56,48,53,47,52,48,18,79,51,47,16,80,19,80,49,48,0,4,0,6,[]
451,50,53,51,45,56,48,53,47,52,48,12,85,51,47,14,81,14,83,49,48,0,4,0,6,[]
452,50,53,51,45,56,48,53,47,52,48,12,86,51,47,13,84,15,88,49,48,0,4,0,8,[]
453,50,53,51,45,56,48,53,47,52,48,12,88,96,6,11,86,15,88,94,5,0,4,0,8,[]
454,50,53,51,45,56,48,53,47,52,48,12,88,96,6,11,86,15,88,94,5,0,4,0,8,[]
