,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,84,82,17,15,2,96,15,20,85,83,18,21,19,10,38,40,86,76,90,78,0,0,0,0,[]
59,85,81,24,25,9,93,23,26,89,78,26,29,95,4,30,33,88,74,90,73,0,0,0,0,[]
60,88,75,20,19,20,90,23,27,88,75,38,36,86,8,36,39,93,70,91,70,0,0,0,0,[]
61,88,76,23,12,31,89,2,96,88,76,41,35,84,19,42,46,91,70,89,68,0,0,0,0,[]
62,85,79,24,11,43,89,8,93,85,80,41,35,81,29,46,50,88,66,87,66,0,0,0,0,[]
63,84,80,24,12,54,86,18,85,88,78,89,4,80,41,47,45,89,71,87,67,0,0,0,0,[]
64,84,78,27,9,57,82,26,74,81,77,87,4,77,46,46,47,89,71,91,73,0,0,0,0,[]
65,85,78,19,9,58,83,34,65,89,75,75,6,75,44,46,51,91,68,92,70,0,0,0,0,[]
66,88,78,17,9,58,84,44,56,90,77,62,7,77,47,47,51,91,71,93,72,0,0,0,0,[]
67,85,81,2,96,61,83,47,52,89,81,50,8,77,48,48,49,89,75,89,73,0,0,0,0,[]
68,85,85,5,86,68,82,47,51,88,84,38,9,82,55,53,46,87,77,91,80,0,0,0,0,[]
69,83,84,9,75,64,76,49,50,83,84,25,10,83,56,55,43,88,79,89,79,0,0,0,0,[]
70,83,82,9,63,58,68,51,48,83,82,24,9,81,55,59,42,90,81,90,79,0,0,0,0,[]
71,82,85,11,52,63,62,53,50,82,85,26,11,77,59,57,41,87,80,89,79,0,0,0,0,[]
72,83,84,11,41,61,62,52,50,82,79,24,11,78,66,54,45,89,76,90,77,0,0,0,0,[]
73,85,79,11,30,50,65,52,45,88,79,21,12,78,66,56,42,90,72,91,74,0,0,0,0,[]
74,86,82,15,19,47,65,53,49,87,81,17,13,89,6,55,43,89,74,89,74,0,0,0,0,[]
75,85,79,16,16,49,65,54,47,85,79,18,12,76,12,55,41,92,74,91,74,0,0,0,0,[]
76,86,84,14,17,48,60,46,38,86,84,16,14,67,18,57,41,87,76,91,75,0,0,0,0,[]
77,85,87,13,21,42,47,47,35,87,75,17,18,57,28,51,43,92,68,87,67,0,0,0,0,[]
78,2,96,13,20,38,40,41,36,2,96,23,29,49,34,45,37,91,72,84,65,0,0,0,0,[]
79,5,96,17,23,32,47,32,44,5,96,30,37,38,38,41,42,91,68,95,4,0,0,0,0,[]
80,12,95,26,30,34,42,35,40,13,95,34,41,35,42,40,42,91,68,95,6,0,0,0,0,[]
81,33,43,34,38,30,45,31,44,30,45,30,45,43,43,37,43,95,4,84,11,0,0,0,0,[]
82,42,39,45,39,39,41,31,44,41,39,30,46,45,42,50,45,47,40,76,19,0,0,0,0,[]
83,49,43,43,39,48,41,31,44,48,42,30,46,54,47,55,42,49,41,69,29,0,0,0,0,[]
84,41,40,33,36,37,39,31,44,40,41,30,46,56,39,52,49,49,41,63,39,0,0,0,0,[]
85,44,50,23,38,32,45,11,91,44,50,87,5,53,35,52,49,49,41,51,49,0,0,0,0,[]
86,45,58,11,33,25,55,19,81,45,58,74,6,52,31,49,50,95,10,57,55,0,0,0,0,[]
87,44,58,11,24,23,57,29,73,45,52,61,7,46,23,56,46,94,15,66,63,0,0,0,0,[]
88,39,65,11,25,22,55,38,63,39,63,48,9,43,17,58,42,92,26,69,66,0,0,0,0,[]
89,45,74,10,25,18,47,42,58,45,74,35,11,44,15,58,42,91,37,78,72,0,0,0,0,[]
90,53,77,9,25,14,42,46,51,53,77,22,14,41,17,58,41,90,48,69,65,0,0,0,0,[]
91,63,82,9,25,15,42,47,50,63,82,18,24,45,16,58,41,89,59,72,64,0,0,0,0,[]
92,72,86,10,25,14,37,44,48,73,86,11,24,47,16,57,42,87,70,79,74,0,0,0,0,[]
93,80,88,9,24,15,34,35,39,83,88,12,23,46,24,57,43,84,79,81,80,0,0,0,0,[]
94,80,88,9,24,13,34,40,35,80,87,12,24,44,23,62,42,85,80,84,79,0,0,0,0,[]
95,76,88,10,24,15,33,32,44,76,88,18,24,42,23,62,42,84,79,81,78,0,0,0,0,[]
96,75,88,20,24,20,26,32,43,76,89,21,25,31,22,94,6,83,79,80,75,0,0,0,0,[]
97,74,87,18,23,23,34,28,36,77,88,20,15,27,21,86,15,87,76,86,78,0,0,0,0,[]
98,83,86,19,26,23,44,38,43,85,87,24,14,27,21,66,30,86,79,88,81,0,0,0,0,[]
99,81,85,14,17,23,46,50,49,83,82,25,13,94,6,55,41,89,76,91,78,0,0,0,0,[]
100,83,84,15,16,23,46,48,52,87,80,26,10,87,19,54,48,90,73,91,71,0,0,0,0,[]
101,79,78,24,11,22,46,42,54,79,75,27,8,82,29,50,53,90,72,91,73,0,0,0,0,[]
102,82,81,24,10,21,46,47,51,85,79,29,8,78,39,53,54,91,70,92,71,0,0,0,0,[]
103,86,87,22,12,21,46,41,54,89,83,25,8,76,44,48,51,87,74,87,71,0,0,0,0,[]
104,84,87,21,13,7,94,43,54,87,86,31,10,76,46,51,52,87,79,90,80,0,0,0,0,[]
105,79,86,21,14,20,91,43,55,79,86,33,11,73,53,59,50,87,81,88,84,0,0,0,0,[]
106,78,88,21,12,32,89,43,55,78,87,31,8,73,54,71,50,85,79,89,83,0,0,0,0,[]
107,77,89,28,9,41,84,49,60,79,84,27,7,76,57,61,50,87,81,88,84,0,0,0,0,[]
108,78,86,24,12,50,74,50,66,79,83,25,8,82,56,48,52,85,80,86,83,0,0,0,0,[]
109,80,86,24,10,52,76,50,65,80,86,26,8,81,56,52,49,84,82,86,86,0,0,0,0,[]
110,77,89,21,11,53,76,45,56,80,91,32,7,74,61,51,44,83,83,86,85,0,0,0,0,[]
111,80,87,22,11,60,73,46,55,81,90,32,7,73,69,45,34,83,81,88,84,0,0,0,0,[]
112,77,89,22,12,57,81,54,65,77,89,28,9,78,73,42,32,83,81,86,85,0,0,0,0,[]
113,76,88,16,10,58,83,56,67,76,88,25,8,71,64,46,36,86,78,86,83,0,0,0,0,[]
114,74,88,16,10,58,83,48,57,74,88,26,8,61,61,52,45,84,78,81,78,0,0,0,0,[]
115,73,89,17,9,63,83,45,51,73,89,26,8,56,57,51,51,82,79,84,80,0,0,0,0,[]
116,73,88,20,12,70,79,48,50,70,79,88,5,55,56,53,48,87,83,81,78,0,0,0,0,[]
117,75,87,18,13,70,78,46,53,70,78,73,10,57,55,54,52,87,85,80,75,0,0,0,0,[]
118,76,87,18,13,66,78,45,51,66,78,60,9,55,50,49,51,87,85,83,82,0,0,0,0,[]
119,79,85,5,92,76,74,39,55,76,74,44,9,48,41,45,52,87,76,85,77,0,0,0,0,[]
120,78,75,9,80,73,70,44,56,73,70,31,10,36,38,49,50,89,72,89,70,0,0,0,0,[]
121,71,69,9,65,65,64,47,54,65,65,22,11,37,38,52,50,91,75,81,66,0,0,0,0,[]
122,77,79,9,52,56,56,51,49,56,56,13,17,47,35,55,43,88,77,74,64,0,0,0,0,[]
123,81,81,9,39,53,63,50,52,57,63,13,17,53,35,53,44,89,77,79,64,0,0,0,0,[]
124,79,83,15,34,46,64,48,49,61,74,15,20,59,35,56,43,88,76,79,64,0,0,0,0,[]
125,80,81,22,35,47,65,47,51,70,78,20,27,66,44,49,43,88,76,84,8,0,0,0,0,[]
126,83,80,10,31,54,62,46,50,83,80,29,33,66,56,55,42,90,75,71,15,0,0,0,0,[]
127,82,80,7,28,56,63,50,48,82,80,24,40,63,57,56,43,89,78,68,29,0,0,0,0,[]
128,82,82,10,23,56,65,49,58,82,82,30,38,55,57,52,48,88,75,67,43,0,0,0,0,[]
129,85,77,10,22,66,64,60,63,86,77,36,49,59,62,56,55,91,70,64,57,0,0,0,0,[]
130,78,77,11,21,70,68,60,74,78,77,45,50,59,62,62,62,88,72,63,62,0,0,0,0,[]
131,75,72,19,15,73,76,51,76,75,72,41,38,66,55,62,60,91,69,76,62,0,0,0,0,[]
132,82,79,25,10,80,75,41,77,80,75,38,18,66,55,53,53,87,66,90,63,0,0,0,0,[]
133,85,82,23,9,80,75,33,69,84,80,27,13,92,6,49,52,88,66,87,69,0,0,0,0,[]
134,85,80,21,11,78,71,40,58,78,71,28,10,91,11,50,49,90,68,89,71,0,0,0,0,[]
135,79,76,23,10,70,64,46,52,70,64,27,9,83,22,51,48,90,72,89,71,0,0,0,0,[]
136,75,68,25,11,67,68,49,52,69,68,28,8,81,34,55,50,89,71,90,70,0,0,0,0,[]
137,71,68,23,10,67,66,52,57,69,68,25,8,80,47,60,51,88,68,83,66,0,0,0,0,[]
138,69,67,17,15,67,67,57,67,68,69,25,12,75,59,65,57,80,65,79,65,0,0,0,0,[]
139,67,72,12,24,65,68,63,63,67,72,30,19,68,71,69,64,74,65,72,69,0,0,0,0,[]
140,66,73,74,71,65,68,68,63,65,72,68,69,67,64,66,64,73,67,72,70,0,0,0,0,[]
141,60,77,76,60,69,61,75,62,69,61,68,78,77,63,74,58,76,66,75,62,0,0,0,0,[]
142,60,77,75,66,72,64,75,59,72,64,74,68,81,66,74,58,77,69,80,64,0,0,0,0,[]
143,60,77,74,59,76,58,77,52,76,58,76,58,76,57,74,58,76,67,80,65,0,0,0,0,[]
144,60,77,82,64,79,63,79,64,79,63,83,66,76,56,74,58,79,72,86,65,0,0,0,0,[]
145,4,96,86,66,83,67,83,65,86,66,90,68,76,56,74,58,82,77,88,71,0,0,0,0,[]
146,13,94,78,61,74,62,73,63,72,63,90,68,76,56,74,58,85,81,84,82,0,0,0,0,[]
147,23,94,68,62,63,62,62,61,62,61,90,68,76,56,95,4,86,83,86,83,0,0,0,0,[]
148,34,93,57,55,56,57,62,61,62,61,90,68,91,13,92,10,84,84,81,77,0,0,0,0,[]
149,45,93,54,57,56,57,5,93,2,96,90,68,85,24,60,42,83,80,79,74,0,0,0,0,[]
150,56,92,54,57,5,95,7,94,6,94,90,68,81,37,53,47,85,78,70,66,0,0,0,0,[]
151,66,94,5,86,6,91,16,87,17,92,86,5,79,50,53,48,95,4,69,64,0,0,0,0,[]
152,72,89,8,74,12,79,26,77,27,92,74,10,73,61,54,48,94,9,69,64,0,0,0,0,[]
153,73,88,9,61,16,68,33,66,34,87,61,9,69,64,61,51,93,19,93,10,0,0,0,0,[]
154,79,86,11,48,18,57,42,55,33,77,48,9,75,63,59,45,92,31,92,24,0,0,0,0,[]
155,71,88,13,36,21,46,46,52,32,66,35,11,83,56,54,44,90,43,90,39,0,0,0,0,[]
156,61,86,23,28,27,36,50,50,36,57,20,12,81,55,56,44,90,55,89,53,0,0,0,0,[]
157,61,85,22,26,34,32,50,48,44,50,18,12,78,52,58,46,89,66,87,65,0,0,0,0,[]
158,58,83,16,15,30,32,39,40,39,40,17,13,74,61,57,46,86,77,87,74,0,0,0,0,[]
159,54,83,17,14,32,32,31,35,30,36,28,12,66,69,57,45,88,81,86,81,0,0,0,0,[]
160,57,85,19,14,29,33,30,34,32,33,27,11,66,72,57,46,83,84,83,80,0,0,0,0,[]
161,51,83,24,13,30,33,33,36,32,33,29,8,64,71,95,4,75,88,72,78,0,0,0,0,[]
162,42,77,28,9,25,28,43,45,43,45,33,7,64,71,86,14,71,90,68,82,0,0,0,0,[]
163,43,69,27,9,29,17,47,53,47,53,38,7,66,65,69,32,72,89,71,92,0,0,0,0,[]
164,43,67,29,8,33,22,38,58,46,52,44,16,60,63,56,44,73,90,71,91,0,0,0,0,[]
165,39,65,27,8,40,33,49,48,47,49,48,18,58,66,55,51,73,90,70,91,0,0,0,0,[]
166,45,54,27,9,43,36,46,47,46,46,48,26,55,51,51,52,73,90,70,83,0,0,0,0,[]
167,46,52,28,15,45,45,49,49,49,49,48,26,53,42,53,55,70,81,60,72,0,1,0,0,[]
168,50,46,36,25,52,44,52,45,52,45,51,31,59,38,59,41,71,69,55,56,0,1,0,0,[]
169,50,42,42,34,47,46,48,46,50,42,49,41,52,43,55,44,60,59,50,47,0,1,0,0,[]
170,48,42,50,42,47,47,46,49,44,49,51,49,49,42,54,41,51,50,49,48,0,1,0,0,[]
171,45,40,51,45,48,45,44,48,48,45,58,45,49,42,54,41,52,46,54,50,0,1,0,0,[]
172,45,40,60,50,57,49,56,49,60,50,67,44,49,42,61,43,52,46,64,53,0,1,0,0,[]
173,45,40,61,51,68,49,65,50,61,52,60,35,49,42,60,44,52,46,66,58,0,1,0,0,[]
174,45,40,53,47,65,41,53,47,53,47,51,24,49,42,59,42,52,46,66,58,0,1,0,0,[]
175,45,40,50,42,60,36,60,34,59,36,53,27,49,42,60,34,52,46,66,58,0,1,0,0,[]
176,45,40,53,34,60,36,61,34,56,34,57,34,92,6,62,35,52,46,66,58,0,1,0,0,[]
177,7,94,49,34,60,36,61,34,49,34,59,34,81,13,62,35,94,4,95,4,0,1,0,0,[]
178,17,88,41,35,60,36,61,34,41,35,59,45,71,24,62,35,93,17,91,15,0,1,0,0,[]
179,24,79,35,24,60,36,61,34,35,25,57,44,59,23,62,35,92,31,82,28,0,1,0,0,[]
180,31,69,28,16,60,36,61,34,30,22,57,42,47,22,62,35,90,45,80,44,0,1,0,0,[]
181,41,67,27,9,9,93,61,34,30,22,57,42,42,16,62,35,89,59,76,58,0,1,0,0,[]
182,43,58,23,13,21,85,61,34,3,92,88,4,43,15,62,35,87,72,73,73,0,1,0,0,[]
183,50,50,19,14,32,80,7,95,10,84,74,6,43,16,92,9,84,80,84,81,0,1,0,0,[]
184,49,55,19,14,43,78,16,87,19,77,58,10,47,17,84,19,86,80,79,75,0,1,0,0,[]
185,53,55,5,95,52,73,25,77,28,73,48,9,52,30,75,27,84,78,77,76,0,1,0,0,[]
186,51,52,13,93,51,74,37,75,36,66,44,8,53,34,65,36,81,80,82,81,0,1,0,0,[]
187,47,49,26,90,53,76,49,82,43,58,43,7,59,35,55,44,78,86,78,90,0,1,0,0,[]
188,51,47,38,90,66,70,60,85,51,47,27,10,61,41,57,43,80,83,81,83,0,1,0,0,[]
189,50,54,43,82,63,62,70,91,54,55,24,10,68,41,61,43,76,71,74,73,0,1,0,0,[]
190,58,59,41,70,63,62,68,89,63,62,26,9,68,46,68,47,75,58,73,63,0,1,0,0,[]
191,51,50,41,61,67,64,58,83,67,63,26,8,73,43,77,50,80,54,79,54,0,1,0,0,[]
192,52,50,50,52,63,62,58,83,64,58,95,4,66,41,77,49,80,53,73,49,0,1,0,0,[]
193,57,47,58,44,56,54,58,83,55,52,85,13,58,41,67,42,73,49,64,41,0,1,0,0,[]
194,56,48,54,45,55,51,65,88,56,48,76,25,62,39,61,41,67,40,61,40,0,2,0,0,[]
195,53,50,43,46,58,57,78,86,53,50,80,37,53,33,56,33,60,38,57,40,0,2,0,0,[]
196,52,53,32,39,69,62,83,79,52,53,84,50,49,23,47,24,59,35,50,33,0,2,0,0,[]
197,51,52,20,37,74,62,89,74,51,52,91,63,40,17,41,30,56,41,53,32,0,2,0,0,[]
198,50,53,10,30,82,66,86,76,50,53,91,71,40,17,37,37,58,42,66,39,0,2,0,0,[]
199,54,53,12,19,83,66,88,76,54,53,90,68,95,5,31,36,59,42,74,43,0,2,0,0,[]
200,65,59,10,19,84,65,87,74,65,59,93,61,90,16,33,29,62,36,85,52,0,2,0,0,[]
201,75,62,14,15,90,69,91,70,74,62,93,59,89,30,32,17,68,33,93,54,0,2,0,0,[]
202,75,66,19,21,89,72,92,72,81,66,93,69,90,44,31,10,80,34,92,59,0,2,0,0,[]
203,76,70,29,21,83,78,89,72,76,70,93,69,89,58,33,8,89,43,94,60,0,2,0,0,[]
204,67,63,23,22,73,70,84,78,67,63,91,72,83,59,40,7,87,50,84,62,0,2,0,0,[]
205,57,57,22,12,78,72,88,76,58,58,88,67,80,55,45,14,87,50,76,47,0,2,0,0,[]
206,50,51,23,13,74,69,83,78,67,63,91,69,84,63,44,10,91,10,65,39,0,2,0,0,[]
207,48,57,29,20,62,64,78,78,65,67,91,72,80,50,38,8,82,21,55,32,0,2,0,0,[]
208,42,58,27,21,51,65,78,78,64,62,87,68,80,45,40,8,72,30,55,32,0,2,0,0,[]
209,31,59,23,32,44,67,10,94,64,62,88,72,80,45,38,8,62,35,55,32,0,2,0,0,[]
210,28,60,19,24,32,59,26,92,5,92,88,72,91,6,35,16,59,37,89,13,0,2,0,0,[]
211,32,60,15,16,25,48,40,91,13,81,90,81,80,15,29,10,59,35,76,20,0,2,0,0,[]
212,32,60,15,17,23,44,53,90,21,75,84,83,70,26,31,9,59,35,68,34,0,2,0,0,[]
213,5,89,21,20,22,43,67,91,30,68,82,85,57,22,26,10,55,44,67,51,0,2,0,0,[]
214,13,81,28,21,22,43,76,89,38,61,87,85,42,18,30,10,54,44,66,55,0,2,0,0,[]
215,22,73,28,15,3,96,75,90,40,58,87,85,44,15,39,9,57,41,57,45,0,2,0,0,[]
216,31,66,25,10,7,94,72,88,35,63,88,84,44,14,40,10,57,43,68,43,0,2,0,0,[]
217,40,58,27,14,17,89,71,88,40,58,84,84,47,16,39,7,59,39,77,52,0,2,0,0,[]
218,44,55,33,16,28,85,71,89,44,55,81,85,51,28,40,7,54,32,75,44,0,2,0,0,[]
219,48,55,36,16,37,76,74,88,48,55,85,78,47,34,39,8,58,34,61,36,0,2,0,0,[]
220,50,51,30,16,47,69,78,80,52,50,86,65,39,26,42,8,53,30,48,32,0,2,0,0,[]
221,52,49,16,9,59,63,75,71,53,47,81,66,48,25,43,8,59,35,58,34,0,2,0,0,[]
222,53,51,17,9,65,57,78,79,56,49,88,61,47,35,94,5,60,38,61,40,0,2,0,0,[]
223,63,57,19,11,67,48,87,80,67,48,87,54,47,35,94,10,60,38,60,40,0,2,0,0,[]
224,67,55,20,10,66,53,85,79,67,53,90,51,95,4,75,14,61,36,59,38,0,2,0,0,[]
225,66,64,20,10,67,62,75,72,67,62,88,56,82,8,52,9,65,38,51,33,0,2,0,0,[]
226,57,59,2,96,64,62,73,70,57,59,92,72,71,16,39,11,66,38,42,35,0,2,0,0,[]
227,50,51,13,92,66,68,67,69,50,51,91,72,61,25,28,12,57,33,33,41,0,2,0,0,[]
228,51,51,15,80,67,69,67,71,51,51,84,62,50,33,14,21,59,36,24,35,0,2,0,0,[]
229,58,56,10,68,73,71,75,74,58,56,83,56,36,37,11,23,59,37,18,36,0,2,0,0,[]
230,48,55,10,54,80,75,85,84,48,55,79,51,31,37,10,28,52,27,18,35,0,2,0,0,[]
231,37,59,7,40,81,77,90,81,37,59,88,57,26,34,10,30,51,24,18,35,0,2,0,0,[]
232,35,58,8,29,85,77,91,71,35,58,93,69,27,24,11,26,57,23,18,35,0,2,0,0,[]
233,46,53,15,34,86,75,90,65,46,53,87,53,40,24,16,22,57,23,90,5,0,3,0,0,[]
234,48,51,25,37,87,72,91,60,48,51,73,44,52,28,16,22,93,7,79,16,0,3,0,0,[]
235,48,54,23,36,86,75,87,71,51,47,74,43,63,35,13,21,86,14,69,29,0,3,0,0,[]
236,48,54,18,24,77,85,87,74,48,54,78,47,59,35,22,12,77,24,61,37,0,3,0,0,[]
237,4,95,10,27,65,84,2,96,3,95,90,51,55,32,34,6,66,33,61,37,0,3,0,0,[]
238,12,90,9,27,56,83,7,91,12,90,91,59,59,36,40,6,62,37,60,37,0,3,0,0,[]
