,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,10,22,30,65,43,53,83,81,82,85,43,45,84,6,12,16,88,80,89,79,0,0,0,0,[]
59,11,20,44,67,47,51,86,83,84,81,45,42,73,7,12,14,90,76,88,75,0,0,0,0,[]
60,14,20,51,62,48,52,86,77,90,78,48,50,61,8,18,13,91,71,87,68,0,0,0,0,[]
61,16,19,52,63,48,53,87,75,86,77,52,45,50,10,16,13,94,68,84,66,0,0,0,0,[]
62,17,21,47,66,48,54,83,80,80,76,51,45,43,16,15,13,90,73,84,66,0,0,0,0,[]
63,15,19,46,66,48,53,83,80,78,74,50,47,42,18,13,15,87,74,91,11,0,0,0,0,[]
64,12,19,47,72,52,55,83,79,78,74,54,44,43,17,17,13,89,74,83,18,0,0,0,0,[]
65,11,19,55,81,59,60,81,77,4,95,54,44,45,15,17,14,91,71,75,27,0,0,0,0,[]
66,11,14,55,84,52,51,81,77,12,90,53,44,50,24,17,9,91,72,68,35,0,0,0,0,[]
67,8,17,55,84,51,50,6,96,20,83,55,45,52,33,16,9,92,71,62,39,0,0,0,0,[]
68,8,18,56,83,49,51,13,95,28,75,55,45,51,34,16,9,92,71,66,45,0,0,0,0,[]
69,8,18,52,76,50,49,24,94,35,67,54,45,60,36,95,4,94,6,65,53,0,0,0,0,[]
70,7,22,48,67,49,53,35,93,43,59,49,51,67,45,10,19,93,16,61,52,0,0,0,0,[]
71,5,32,49,57,49,48,46,91,49,54,52,48,65,57,10,18,92,27,53,50,0,0,0,0,[]
72,5,32,46,53,46,51,57,90,48,52,52,46,54,54,12,15,91,38,57,50,0,0,0,0,[]
73,2,96,44,53,44,51,68,88,46,53,49,49,54,54,12,18,90,49,52,48,0,0,0,0,[]
74,2,96,38,50,49,48,78,85,48,53,58,49,63,61,10,19,89,60,63,52,0,0,0,0,[]
75,9,24,37,58,51,50,81,85,49,57,66,55,73,61,12,17,87,71,68,61,0,0,0,0,[]
76,7,30,43,67,52,53,80,87,57,62,68,62,69,67,16,19,84,79,66,69,0,0,0,0,[]
77,8,30,54,68,61,59,79,88,65,64,72,70,68,68,22,28,83,81,65,69,0,0,0,0,[]
78,8,29,58,63,63,60,78,81,63,64,66,64,66,62,31,36,77,74,69,66,0,0,0,0,[]
79,9,25,57,65,54,61,73,72,58,67,64,59,60,62,39,43,72,65,65,59,0,0,0,0,[]
