,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGHope, ,EDGMeiko, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,21,11,41,36,42,44,80,87,68,82,93,4,82,24,55,48,85,79,82,79,0,0,0,0,[]
59,26,11,38,28,38,28,79,87,66,88,29,8,81,38,56,47,85,83,81,79,0,0,0,0,[]
60,24,11,31,20,29,18,77,88,75,87,27,7,79,50,52,49,83,82,80,81,0,0,0,0,[]
61,28,8,29,8,29,10,75,88,74,88,27,7,74,61,51,48,80,86,76,79,0,0,0,0,[]
62,23,8,27,13,31,11,72,91,73,88,31,6,69,71,47,51,79,86,79,85,0,0,0,0,[]
63,27,10,32,10,32,6,67,91,68,90,28,6,67,71,42,41,79,85,77,79,0,0,0,0,[]
64,24,11,39,10,44,12,69,94,70,92,32,8,67,70,40,30,75,75,71,70,0,0,0,0,[]
65,24,14,41,15,43,16,72,93,70,91,33,9,67,69,42,22,70,68,65,71,0,0,0,0,[]
66,34,17,39,15,45,16,71,91,73,90,41,11,67,69,43,17,70,68,65,72,0,0,0,0,"['5:28 WExiye(Íò»¨Í¨Áé) »÷É±ÁË EDGJiejie(Ã¤É®),»ñµÃÒ»Ñª']"
67,41,17,39,15,42,19,77,90,74,89,43,18,57,68,42,18,74,72,69,68,0,0,0,0,"['5:32 EDGJinoo(°µÒá½£Ä§) »÷É±ÁË WExiye(Íò»¨Í¨Áé)', '5:34 EDGJinoo(°µÒá½£Ä§) »÷É±ÁË WEPoss(ÎÞË«½£¼§)', '5:34 WEPoss(ÎÞË«½£¼§) »÷É±ÁË EDGScout(ÑÒÈ¸)', '5:32 WE »÷É±ÁË»ðÁú']"
68,30,16,6,95,42,19,77,88,77,88,43,18,47,64,42,18,80,80,77,77,0,0,0,0,[]
69,19,10,17,93,42,19,79,90,76,87,43,18,49,66,42,18,82,86,81,83,0,0,0,0,[]
70,15,10,28,92,5,92,77,90,76,89,91,4,52,66,90,12,84,87,80,83,0,0,0,0,[]
71,14,14,40,91,14,81,77,91,76,88,77,6,61,62,82,20,80,85,80,84,0,0,0,0,[]
72,14,11,51,89,23,73,79,91,76,88,65,7,67,52,74,28,82,85,81,83,0,0,0,0,[]
73,14,11,57,83,32,62,80,90,77,87,51,9,73,44,66,37,83,82,82,81,0,0,0,0,[]
74,4,85,57,83,43,52,78,88,71,84,41,15,73,43,58,45,84,81,81,81,0,0,0,0,[]
75,5,73,58,85,43,52,78,87,71,78,36,16,70,40,50,50,84,82,83,80,0,0,0,0,[]
76,7,61,58,85,43,56,79,85,78,77,24,14,62,35,50,50,88,79,85,79,0,0,0,0,[]
77,9,48,61,85,39,63,79,86,78,85,15,17,52,28,46,52,85,81,86,84,0,0,0,0,[]
78,10,37,58,84,44,59,81,84,83,86,17,18,43,19,49,51,88,79,89,81,0,0,0,0,[]
79,10,27,49,79,48,53,85,80,88,81,14,20,43,17,52,49,87,71,91,74,0,0,0,0,[]
80,9,24,44,69,46,54,85,80,86,80,15,18,43,15,49,49,89,73,91,75,0,0,0,0,[]
81,9,23,35,62,44,54,82,78,79,75,10,20,46,16,44,45,90,70,92,71,0,0,0,0,[]
82,12,24,31,53,37,49,79,75,79,75,15,21,48,21,49,48,90,70,91,73,0,0,0,0,[]
83,12,23,34,42,36,40,79,75,5,94,22,27,37,29,44,44,90,70,91,72,0,0,0,0,[]
84,17,23,35,38,32,41,12,95,13,93,30,37,31,40,36,43,89,72,89,75,0,0,0,0,[]
85,23,32,21,29,32,41,23,94,26,94,28,36,28,37,33,38,87,76,85,80,0,0,0,0,['7:2 WEPoss(ÎÞË«½£¼§) »÷É±ÁË EDGScout(ÑÒÈ¸)']
86,24,32,22,38,32,41,34,94,39,94,32,35,33,39,35,39,83,83,83,84,0,0,0,0,[]
87,20,21,16,44,32,41,45,92,51,92,38,27,39,41,44,46,83,83,81,87,0,0,0,0,[]
88,18,13,16,45,6,94,56,91,64,91,29,18,52,36,48,48,82,83,84,87,0,0,0,0,[]
89,18,13,23,56,15,85,67,91,75,89,23,11,52,34,45,54,95,5,95,4,0,0,0,0,[]
90,19,17,24,57,25,76,71,91,79,81,25,10,54,31,45,54,93,12,94,7,0,0,0,0,[]
91,19,25,25,57,36,66,76,87,87,83,26,9,54,31,42,55,92,24,92,21,0,0,0,0,[]
92,18,19,30,60,39,58,79,86,79,75,22,9,93,5,48,53,91,36,91,35,0,0,0,0,[]
93,15,20,40,66,43,54,83,85,73,77,24,10,90,12,58,59,90,48,89,50,0,0,0,0,[]
