,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,3,97,2,99,0,97,2,95,96,3,96,4,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,98,2,98,1,97,2,95,93,6,95,5,94,2,96,4,93,4,2500,0,2500,0,[]
2,4,95,4,95,2,96,4,97,3,94,93,6,92,5,94,4,95,6,94,5,2500,0,2500,0,[]
3,3,94,4,95,4,94,5,95,3,94,93,6,92,5,94,5,95,7,94,6,2500,0,2500,0,[]
4,13,74,17,77,22,80,28,93,24,86,76,17,71,16,81,23,84,27,81,24,2500,0,2500,0,[]
5,18,52,32,60,35,63,50,88,41,71,58,28,58,34,63,38,79,49,66,39,2500,0,2500,0,[]
6,22,33,34,43,45,53,69,80,58,69,55,47,55,50,51,50,66,59,65,58,2500,0,2500,0,[]
7,20,28,34,42,42,54,76,75,57,69,56,57,54,58,49,52,69,65,61,64,2500,0,2500,0,[]
8,20,28,34,40,41,54,74,75,60,73,56,65,57,67,50,54,59,63,58,69,2500,0,2500,0,[]
9,20,28,40,36,43,53,74,75,62,77,57,70,47,68,52,51,54,68,57,69,2500,0,2500,0,[]
10,30,22,41,36,43,53,76,75,68,79,56,75,52,75,51,56,47,73,54,76,2500,0,2500,0,[]
11,22,25,33,44,44,52,77,73,69,80,50,81,50,80,56,56,50,81,50,81,2500,0,2500,0,[]
12,26,23,31,54,44,53,76,74,70,84,57,88,54,84,56,56,57,84,59,84,2500,0,2500,0,[]
13,34,17,33,43,45,50,77,84,72,88,60,86,59,84,57,56,67,82,68,81,2500,0,2500,0,[]
14,41,16,41,35,45,48,71,87,67,90,60,86,64,82,55,57,61,77,68,79,2500,0,2500,0,[]
15,48,21,43,24,43,45,71,85,71,86,86,5,67,78,57,62,67,78,66,79,2500,0,2500,0,[]
16,46,24,46,24,43,48,71,84,70,85,73,7,65,78,55,56,63,77,65,79,2500,0,2500,0,[]
17,46,24,46,24,43,52,74,87,72,86,62,11,54,76,49,52,52,76,55,76,2500,0,2500,0,[]
18,47,25,47,25,47,52,84,83,81,83,53,17,50,72,53,50,53,76,51,75,2500,0,2500,0,[]
19,48,27,47,26,46,56,86,81,85,80,48,18,50,74,52,51,55,76,55,77,2500,0,2521,0,[]
20,41,24,47,25,45,51,82,85,83,85,39,16,50,77,51,50,63,77,65,77,2684,0,2642,0,[]
21,32,23,52,27,46,52,84,84,85,83,29,15,54,84,52,50,74,78,76,78,2740,0,2656,0,[]
22,22,22,50,34,43,52,80,82,83,85,19,16,56,83,50,51,83,79,83,80,2826,0,2888,0,[]
23,15,17,48,34,42,53,83,78,88,83,16,13,56,83,47,53,90,74,89,74,2933,0,3022,0,[]
24,13,17,49,33,44,54,90,75,88,78,18,12,58,84,51,50,94,70,93,70,3090,0,3152,0,[]
25,14,13,51,28,41,53,89,78,89,80,16,12,64,84,47,53,90,72,93,73,3186,0,3258,0,[]
26,15,15,47,17,45,54,86,84,84,85,20,10,65,83,48,51,88,79,86,78,3255,0,3348,0,[]
27,13,14,41,17,43,58,83,90,78,92,17,13,75,88,48,53,82,84,82,84,3339,0,3413,0,[]
28,17,16,40,17,42,59,75,93,73,90,22,12,80,90,45,54,78,90,78,89,3485,0,3498,0,[]
29,13,17,39,15,40,57,80,88,79,86,23,14,80,78,46,55,86,84,83,81,3564,0,3584,0,[]
30,13,16,39,16,45,51,77,92,75,90,25,12,76,67,50,51,83,83,80,85,3710,0,3649,0,[]
31,13,15,43,17,48,53,77,91,75,91,36,13,74,55,49,48,82,87,82,86,3806,0,3749,0,[]
32,14,18,47,18,45,56,77,87,79,91,37,13,75,53,50,51,81,82,86,87,3900,0,3799,0,[]
33,15,16,51,28,44,52,77,92,74,92,26,12,78,54,50,51,82,86,82,90,4046,0,3885,0,[]
34,14,16,46,37,45,54,78,87,77,89,17,11,80,55,53,51,84,84,84,85,4181,0,4120,0,[]
35,18,17,38,40,47,54,77,88,75,90,19,12,81,55,53,48,85,85,81,83,4255,0,4380,0,[]
36,15,14,26,47,45,50,75,89,72,89,20,12,82,55,51,52,83,87,81,84,4334,0,4559,0,[]
37,16,15,23,43,50,51,76,91,73,90,22,11,75,44,54,46,81,88,78,86,4506,0,4614,0,[]
38,17,16,24,41,47,48,76,92,72,91,20,12,75,45,52,48,79,85,82,87,4720,0,4836,0,[]
39,17,17,25,38,45,49,73,92,71,90,19,14,75,47,52,49,77,86,80,89,4806,0,4936,0,[]
40,17,16,32,38,45,48,72,94,68,91,20,12,73,48,53,45,76,89,75,87,4913,0,5129,0,[]
41,19,13,34,41,49,48,70,94,68,90,26,8,66,58,57,44,76,92,75,89,5094,0,5214,0,[]
42,26,10,34,40,49,46,70,94,69,89,29,6,71,66,54,47,74,87,74,89,5287,0,5304,0,[]
43,25,11,39,36,49,46,71,94,70,91,27,6,72,65,56,46,75,87,74,88,5387,0,5481,0,[]
44,23,11,38,38,51,48,74,93,71,91,26,8,64,64,57,45,78,88,77,88,5484,0,5602,0,[]
45,22,12,32,44,51,48,75,92,74,89,29,8,52,60,56,44,78,86,80,88,5567,0,5708,0,[]
46,22,11,42,44,48,46,72,93,72,91,28,8,47,55,52,45,77,87,76,86,5681,0,5801,0,[]
47,21,13,43,43,42,46,73,92,72,88,24,9,51,63,52,47,79,85,77,79,5821,0,5915,0,[]
48,21,13,46,43,42,46,79,89,74,89,25,9,48,66,53,50,79,80,74,78,5872,0,6000,0,[]
49,20,13,46,43,2,96,80,89,73,85,25,10,50,65,52,50,82,80,79,83,5923,0,6193,0,[]
