,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,97,2,98,1,97,1,95,94,4,96,6,94,2,96,4,93,3,2500,0,2500,0,[]
2,3,95,4,95,4,95,4,96,2,95,92,4,96,6,94,6,94,6,93,5,2500,0,2500,0,[]
3,3,95,4,95,5,95,5,96,5,96,92,4,95,6,94,6,94,6,93,5,2500,0,2500,0,[]
4,16,75,19,79,21,80,26,89,23,85,72,15,84,26,84,25,83,27,84,26,2500,0,2500,0,[]
5,18,52,32,60,36,63,46,82,40,71,54,31,80,49,80,46,80,48,80,47,2500,0,2500,0,[]
6,23,34,34,41,47,52,68,82,53,66,39,28,76,67,75,65,73,66,75,65,2500,0,2500,0,[]
7,18,23,35,39,46,53,71,78,52,66,31,21,79,75,75,66,71,69,77,71,2500,0,2500,0,[]
8,18,23,40,36,47,52,70,80,51,65,30,19,79,75,67,71,72,70,72,71,2500,0,2500,0,[]
9,18,24,48,32,47,51,65,79,53,66,30,19,73,78,67,71,72,75,71,76,2500,0,2500,0,[]
10,18,24,47,25,50,61,56,77,51,68,30,19,71,76,67,62,68,80,70,78,2500,0,2500,0,[]
11,19,24,46,24,46,56,51,83,47,76,30,20,69,67,64,57,63,83,68,79,2500,0,2500,0,[]
12,18,23,2,96,44,52,59,88,51,84,30,19,59,63,60,62,62,85,64,83,2500,0,2533,0,[]
13,18,23,8,87,46,57,62,87,54,88,30,20,51,68,56,67,61,87,62,85,2500,0,3053,0,"['1:5 RNGUzi(战争女神) 击杀了 WEMystic(虚空之女),获得一血']"
14,18,23,15,76,46,54,63,88,56,92,30,19,47,74,47,69,62,83,63,83,2500,0,3053,0,[]
15,21,29,18,65,43,53,12,94,67,93,30,19,47,67,54,63,51,83,60,84,2500,0,3053,0,[]
16,23,40,18,53,43,53,23,93,68,93,30,18,48,66,53,54,49,81,62,84,2500,0,3053,0,[]
17,23,45,23,47,43,53,34,92,68,93,26,14,48,66,48,53,58,77,62,85,2500,0,3053,0,[]
18,25,46,23,46,43,52,45,91,68,91,34,21,48,65,51,50,68,80,62,85,2500,0,3053,0,[]
19,24,44,23,46,44,51,56,90,67,89,28,17,47,64,51,52,63,83,62,85,2500,0,3208,0,[]
20,23,36,21,45,46,51,62,88,69,88,19,10,46,66,52,50,62,83,64,83,2542,0,3229,0,[]
21,19,25,18,44,45,53,71,87,76,87,16,9,49,74,51,50,72,78,73,77,2642,0,3243,0,[]
22,17,17,16,43,43,53,82,88,83,86,17,11,48,73,50,51,82,81,83,80,2860,0,3385,0,[]
23,12,16,18,45,41,55,83,87,84,87,18,14,48,74,48,53,84,81,87,82,2932,0,3478,0,[]
24,15,13,18,45,45,51,82,88,81,86,19,13,50,75,48,54,85,80,86,83,3011,0,3650,0,[]
25,15,11,18,47,39,58,82,85,83,87,17,16,54,83,46,53,85,82,86,83,3161,0,3729,0,[]
26,15,13,25,56,40,56,82,87,82,87,18,14,56,82,45,53,82,81,84,83,3216,0,3896,0,[]
27,14,14,22,54,40,55,82,87,80,87,20,13,54,81,45,54,86,84,84,84,3339,0,3992,0,[]
