,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,23,12,51,51,50,51,80,86,73,87,28,9,56,44,56,46,87,78,87,84,0,0,0,0,[]
59,26,12,47,64,43,56,80,85,69,88,29,8,55,55,47,52,86,79,82,78,0,0,0,0,[]
60,27,12,43,68,42,53,79,85,69,88,29,8,52,65,47,52,83,80,80,78,0,0,0,0,[]
61,25,12,42,69,41,53,76,88,9,94,27,8,56,64,47,52,83,84,76,79,0,0,0,0,[]
62,22,10,44,69,39,56,76,86,24,93,28,6,60,75,50,54,81,84,82,84,0,0,0,0,[]
63,20,16,49,79,42,53,74,90,35,91,24,8,60,83,54,57,81,85,76,79,0,0,0,0,[]
64,20,13,56,85,44,54,76,91,46,91,20,8,59,85,54,57,81,84,67,83,0,0,0,0,[]
65,18,13,54,85,55,58,67,89,55,89,22,10,63,83,86,9,79,86,66,83,0,0,0,0,[]
66,18,16,54,85,56,57,69,91,65,89,22,10,69,79,80,17,76,88,73,87,0,0,0,0,[]
67,17,16,55,83,52,53,71,92,72,89,29,6,71,69,75,27,76,88,77,87,0,0,0,0,[]
68,16,18,56,85,49,50,72,92,71,88,29,6,75,60,67,34,78,88,79,88,0,0,0,0,[]
69,16,17,62,84,48,53,72,91,71,89,92,4,80,56,59,41,79,87,78,86,0,0,0,0,[]
70,14,15,69,79,50,51,69,89,74,91,81,5,81,56,55,46,76,88,78,88,0,0,0,0,[]
71,17,16,75,79,51,51,72,88,75,90,69,7,75,58,55,46,79,87,79,85,0,0,0,0,[]
72,18,17,76,79,52,51,72,86,74,87,58,7,75,69,55,46,79,83,78,80,0,0,0,0,[]
73,2,96,62,84,53,47,70,91,71,90,47,8,69,65,57,43,77,90,82,85,0,0,0,0,[]
74,4,91,62,84,51,49,75,91,74,88,35,9,71,65,56,45,79,87,78,83,0,0,0,0,[]
75,5,81,2,95,59,58,74,92,72,88,26,8,74,59,60,41,78,87,78,85,0,0,0,0,[]
76,6,70,9,83,69,66,77,89,76,87,23,11,77,48,59,44,80,84,80,84,0,0,0,0,[]
77,7,58,14,72,75,72,77,87,80,83,20,12,75,43,52,48,84,81,86,78,0,0,0,0,[]
78,9,44,17,61,66,64,73,88,72,90,18,14,75,43,51,48,89,82,84,81,0,0,0,0,[]
79,10,33,18,49,56,56,74,87,76,88,12,20,77,47,52,46,89,82,84,81,0,0,0,0,[]
80,11,26,16,44,50,50,72,85,73,85,11,21,77,54,55,44,94,6,86,85,0,0,0,0,[]
81,12,20,18,45,50,49,72,85,73,85,12,19,71,64,55,45,82,84,85,85,0,0,0,0,[]
82,14,20,23,55,41,61,7,95,68,88,13,20,71,65,53,48,80,85,80,88,0,0,0,0,[]
83,18,20,24,56,42,61,18,94,68,92,13,16,67,68,49,51,73,90,74,91,0,0,0,0,[]
84,13,22,23,53,48,53,29,94,70,91,15,14,68,69,55,46,74,92,75,89,0,0,0,0,[]
85,6,24,31,45,51,54,40,93,66,92,13,17,69,67,57,46,76,90,75,88,0,0,0,0,[]
86,9,27,29,35,54,55,51,92,65,93,13,17,70,68,55,46,78,86,77,86,0,0,0,0,[]
87,9,24,22,23,49,51,64,90,2,96,12,18,68,68,55,47,77,89,78,84,0,0,0,0,[]
88,7,24,15,16,50,52,68,91,6,95,12,19,69,68,55,49,77,89,77,87,0,0,0,0,[]
89,11,21,13,20,47,54,66,93,20,95,12,17,69,67,53,46,72,90,72,92,0,0,0,0,[]
90,11,30,21,28,47,54,65,91,32,94,11,28,94,4,50,50,73,90,71,91,0,0,0,0,[]
91,11,27,31,35,46,51,68,93,43,93,95,4,88,5,51,49,74,88,76,89,0,0,0,0,[]
