,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
251,49,65,33,64,28,51,32,67,31,70,45,70,46,73,45,58,42,57,39,64,0,1,0,3,[]
252,49,65,34,66,31,52,31,65,31,70,43,68,45,69,50,65,38,60,36,59,0,1,0,3,[]
253,49,65,29,69,31,52,27,68,31,70,34,65,38,66,37,66,37,66,34,62,0,1,0,3,[]
254,49,65,32,62,31,55,31,65,33,68,38,60,39,61,42,67,40,67,39,59,0,1,0,3,[]
255,49,65,31,56,32,41,29,66,31,64,50,59,47,50,55,65,51,64,49,60,0,1,0,3,[]
256,49,65,23,56,25,26,29,66,31,64,64,62,49,43,55,65,43,55,44,55,0,1,0,3,[]
257,11,94,28,51,30,20,12,91,10,91,75,71,49,43,90,5,48,53,47,54,0,1,0,3,[]
258,28,89,34,42,30,18,25,78,24,77,86,77,94,4,76,12,51,51,51,56,0,1,0,3,[]
259,42,88,41,35,36,9,30,69,31,65,84,80,93,4,68,19,95,4,51,56,0,1,0,3,[]
260,53,87,41,32,37,9,34,63,36,66,84,80,93,4,57,10,84,15,85,10,0,1,0,3,[]
261,52,85,45,36,37,14,41,66,43,67,85,82,82,10,47,8,71,24,77,24,0,1,0,3,[]
262,56,85,45,36,42,25,53,66,56,66,82,80,68,19,52,8,61,35,66,33,0,1,0,3,[]
263,57,85,43,37,42,33,55,66,48,58,82,78,56,29,51,8,51,46,56,44,0,1,0,3,[]
264,65,89,41,39,38,39,48,56,49,54,82,78,48,34,46,13,50,47,51,47,0,1,0,3,[]
265,67,89,33,41,34,42,45,55,44,53,88,17,45,36,47,24,51,45,42,39,0,1,0,3,[]
266,78,88,32,45,31,43,39,49,43,48,75,27,36,39,46,34,40,37,38,40,0,1,0,3,[]
267,73,87,36,47,38,47,39,50,42,52,63,36,39,41,45,45,36,41,42,42,0,1,0,3,[]
268,65,77,39,50,33,49,39,55,43,56,57,43,42,44,48,46,41,43,44,43,0,1,0,3,[]
269,53,66,38,49,31,51,44,53,48,59,61,50,50,48,50,48,45,45,50,48,0,1,0,3,[]
270,54,61,43,52,40,50,42,55,48,56,67,60,60,44,52,48,48,49,50,48,0,1,0,3,[]
271,52,61,49,52,45,55,45,54,44,52,75,71,71,41,65,50,58,48,59,50,0,1,0,3,[]
272,51,59,57,55,55,59,48,48,43,43,83,81,68,45,76,50,55,41,56,43,0,1,0,3,[]
273,54,61,63,61,56,56,47,51,43,44,83,83,66,54,72,50,60,44,60,49,0,1,0,3,[]
274,56,61,59,63,57,56,51,59,44,45,80,78,62,62,66,59,67,54,67,58,0,1,0,3,[]
275,54,64,49,66,56,59,55,62,57,55,70,77,63,62,63,61,62,57,61,58,0,1,0,3,[]
276,50,60,46,64,44,59,47,63,44,57,57,68,52,59,53,56,52,56,53,62,0,1,0,3,[]
277,55,54,52,64,45,67,50,65,42,59,51,54,54,55,55,55,52,56,50,61,0,1,0,3,[]
278,55,54,53,65,52,68,51,65,42,60,47,64,59,61,55,55,47,55,54,62,0,1,0,3,[]
279,55,54,53,65,52,68,49,61,50,60,52,63,61,62,55,55,52,60,52,57,0,1,0,3,[]
280,55,54,53,65,54,63,52,57,50,60,48,57,54,55,55,55,52,57,52,56,0,1,0,3,['23:16 IGJackeyLove(探险家) 击杀了 WEMissing(河流之王)']
281,55,54,53,65,54,76,52,57,50,60,59,57,64,53,55,55,52,57,52,56,0,1,0,3,[]
282,55,54,53,65,52,90,52,57,50,60,61,63,66,61,55,55,52,57,52,56,0,1,0,3,[]
283,55,54,53,65,56,85,52,57,50,60,58,68,68,66,55,55,52,57,52,56,0,1,0,3,[]
284,55,54,53,65,66,90,52,57,50,60,66,65,69,67,55,55,52,57,52,56,0,1,0,3,[]
285,55,54,6,95,67,92,52,57,50,60,67,67,69,67,55,55,52,57,52,56,0,1,0,3,[]
286,55,54,21,87,62,93,52,57,16,86,68,67,72,64,76,11,52,57,52,56,0,1,0,3,[]
287,22,88,34,78,59,94,52,57,28,70,82,79,72,64,67,20,52,57,92,5,0,1,0,3,[]
288,33,79,43,69,2,96,2,96,38,60,81,85,95,4,54,21,81,13,77,17,0,1,0,3,[]
289,42,69,45,63,13,81,39,58,39,58,81,87,77,12,46,16,70,26,67,28,0,1,0,3,[]
290,41,61,41,66,16,64,43,54,45,53,81,84,63,22,49,18,61,37,58,39,0,1,0,3,[]
291,43,57,31,60,20,50,49,54,49,51,85,81,52,33,51,29,52,45,54,47,0,1,0,3,[]
292,38,49,25,57,24,35,45,51,45,53,85,81,44,35,57,41,53,44,54,46,0,1,0,3,[]
293,33,42,31,53,29,23,43,54,34,47,88,16,41,37,51,49,50,48,50,51,0,1,0,3,[]
294,32,46,32,46,41,28,40,56,35,47,75,27,38,38,50,45,48,47,46,49,0,1,0,3,[]
295,37,38,37,40,41,35,38,48,40,39,65,37,42,37,48,41,46,37,48,42,0,1,0,3,[]
296,39,36,40,40,35,30,37,39,35,37,53,42,41,33,46,40,40,34,41,33,0,1,0,3,[]
297,34,39,39,43,32,41,37,40,33,38,46,36,43,32,48,35,47,34,41,30,0,1,0,3,[]
298,39,42,43,42,35,43,41,45,43,38,55,40,43,32,52,35,53,31,49,33,0,1,0,3,[]
299,42,40,44,41,35,43,45,51,39,41,54,46,43,32,52,35,46,32,43,33,0,1,0,3,[]
300,43,38,42,39,4,92,44,50,43,35,51,41,43,32,89,4,52,35,50,31,0,1,0,3,[]
301,27,37,44,44,11,79,39,49,34,43,51,41,43,32,79,16,51,27,46,40,0,1,0,3,[]
302,19,36,43,44,18,64,44,47,34,43,57,43,43,32,63,32,59,35,57,44,0,1,0,3,[]
303,15,34,40,51,26,51,41,56,6,93,49,46,43,32,51,42,56,43,49,49,0,1,0,3,[]
304,14,36,35,48,32,44,31,57,22,78,40,43,43,32,43,44,46,47,43,48,0,1,0,3,[]
305,15,35,34,43,33,43,32,52,30,65,40,44,84,9,41,45,44,50,40,52,0,1,0,3,[]
306,8,40,29,50,30,48,31,54,31,52,35,39,68,18,38,41,36,42,37,48,0,1,0,3,[]
307,9,42,19,47,22,43,31,63,31,55,31,46,57,29,34,39,43,48,31,51,0,1,0,3,[]
308,2,96,25,48,24,43,33,65,30,57,31,49,43,37,23,28,41,52,37,50,0,1,0,3,[]
309,17,81,22,48,19,32,32,62,28,59,30,49,32,45,14,22,41,55,39,54,0,1,0,3,[]
310,25,70,19,37,18,35,25,55,22,53,22,47,30,49,24,32,40,55,31,51,0,1,0,3,[]
311,32,60,20,36,23,39,21,46,23,42,25,39,33,41,30,35,37,50,32,44,0,1,0,3,[]
312,28,52,19,35,22,41,20,45,19,44,23,40,25,35,20,35,29,39,24,37,0,1,0,3,[]
313,22,48,18,34,22,41,18,45,13,47,19,46,19,33,20,34,21,41,22,38,0,1,0,4,[]
314,20,47,18,34,22,41,14,48,19,50,19,46,23,39,22,42,18,48,24,44,0,1,0,4,[]
315,19,49,18,34,22,41,13,49,17,58,19,46,21,46,20,47,18,48,19,48,0,1,0,4,[]
316,19,49,18,34,22,41,6,55,11,44,19,46,16,43,14,37,18,48,19,51,0,1,0,4,[]
317,19,49,18,34,22,41,6,55,6,49,19,46,22,43,10,36,18,48,11,44,0,1,0,4,[]
318,19,49,18,34,22,41,5,91,8,51,19,46,31,39,15,35,18,48,13,35,0,1,0,4,[]
319,19,49,18,34,22,41,19,79,20,52,19,46,31,31,30,33,18,48,23,37,0,1,0,4,[]
320,19,49,18,34,22,41,18,65,28,52,19,46,32,31,31,34,18,48,32,31,0,1,0,4,[]
321,19,49,2,96,6,88,18,53,32,47,33,32,31,31,30,33,18,48,31,30,0,1,0,4,[]
322,19,49,9,86,15,71,23,41,30,38,33,32,31,29,34,33,18,48,31,31,0,1,0,4,[]
323,19,49,17,72,18,57,28,37,31,35,31,32,32,28,35,31,95,4,32,33,0,1,0,4,[]
324,19,49,18,60,23,42,25,37,31,40,29,34,30,31,32,31,32,35,32,33,0,1,0,4,[]
325,2,96,27,50,32,37,31,38,35,42,39,37,40,36,41,25,42,37,43,35,0,1,0,4,[]
326,43,57,39,40,40,32,41,43,46,40,53,32,53,32,94,4,54,32,57,33,0,1,0,4,[]
327,50,50,54,32,48,32,52,44,51,33,58,29,65,33,81,16,66,39,64,31,0,1,0,4,[]
328,63,57,60,26,46,32,54,43,59,35,68,29,70,29,69,28,68,40,95,4,0,1,0,4,[]
329,66,46,56,29,41,32,53,44,57,46,94,5,95,4,61,39,61,41,85,18,0,1,0,4,[]
330,66,41,59,37,55,34,48,46,54,49,88,15,83,20,54,43,51,48,75,27,0,1,0,4,['27:30 WExiye(英勇投弹手) 击杀了 IGNing(酒桶)']
331,66,59,59,36,54,32,48,46,54,49,76,27,68,33,47,52,45,56,64,53,0,1,0,4,[]
332,73,68,59,36,54,32,48,46,54,49,63,38,56,43,36,61,37,61,69,62,0,1,0,4,[]
333,67,82,59,36,6,94,48,46,54,49,66,35,43,53,29,69,29,68,73,74,0,1,0,4,[]
334,55,85,59,36,19,81,48,46,54,49,60,38,33,64,26,74,24,72,64,83,0,1,0,4,[]
335,42,80,59,36,21,82,48,46,54,49,51,49,36,77,20,75,22,74,49,83,0,1,0,5,[]
336,40,86,59,36,15,85,48,46,54,49,40,59,36,85,13,78,17,78,41,84,0,1,0,5,[]
337,41,84,59,36,20,89,48,46,12,92,30,69,40,86,23,77,21,77,41,84,0,1,0,5,[]
338,48,83,59,36,36,88,48,46,19,82,21,80,46,83,20,77,18,77,44,82,0,1,0,5,[]
339,48,88,12,89,48,79,4,94,15,88,13,83,47,75,20,76,13,80,46,79,0,1,0,5,[]
340,48,88,14,86,53,88,12,86,17,86,13,80,42,69,95,4,15,77,49,82,0,1,0,5,[]
341,43,94,14,90,48,94,13,90,17,83,15,86,29,74,12,83,12,83,53,87,0,1,0,6,[]
342,42,94,11,91,49,93,9,93,12,92,15,90,17,80,10,91,13,88,53,93,0,1,0,7,"['28:27 WEPoss(亡灵战神) 击杀了 IGNing(酒桶)', '28:28 WEMissing(河流之王) 击杀了 IGTheShy(狂暴之心)']"
343,42,94,11,91,54,93,9,93,11,92,11,91,12,86,12,91,12,90,55,94,0,1,0,7,[]
344,42,94,,0,54,93,,0,11,92,11,91,,0,12,91,,0,55,94,0,1,0,7,[]
345,42,94,,0,54,93,,0,11,92,11,91,,0,12,91,,0,55,94,0,1,0,7,[]
