,VGChelizi, ,VGYoudang, ,VGJay, ,VGPuff, ,VGSouthwind, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
241,13,22,25,57,17,60,45,56,29,71,15,16,32,38,87,74,45,45,45,45,0,3,0,1,[]
242,9,31,23,48,20,49,39,58,37,62,15,19,32,37,84,63,37,40,34,42,0,3,0,1,[]
243,11,36,20,50,21,48,42,55,41,55,20,27,25,35,86,65,36,42,29,46,0,3,0,1,[]
244,9,29,31,49,15,49,39,58,39,55,25,34,31,37,87,78,41,39,37,42,0,3,0,1,[]
245,9,31,31,51,28,51,47,53,41,53,39,41,42,46,77,86,50,46,42,46,0,3,0,1,[]
246,3,97,38,49,38,51,45,55,41,52,46,50,42,46,73,88,49,48,42,46,0,3,0,1,[]
247,30,94,39,57,41,52,47,57,44,56,51,51,51,50,73,89,53,49,51,51,0,3,0,1,[]
248,50,90,42,67,40,44,43,47,44,51,57,55,58,61,68,83,55,49,56,56,0,3,0,1,[]
249,54,92,45,65,31,34,34,42,47,48,57,56,57,67,57,82,58,56,55,56,0,3,0,1,[]
250,52,91,42,67,22,23,38,51,42,53,57,56,61,61,61,82,55,50,55,50,0,3,0,1,[]
251,54,91,33,59,22,14,47,49,44,51,84,5,66,72,69,80,53,45,54,44,0,3,0,1,[]
252,55,85,32,47,26,10,47,49,45,51,73,10,66,70,71,69,54,47,54,47,0,3,0,1,[]
253,53,86,38,38,30,12,41,51,44,45,60,9,67,70,67,68,56,44,56,44,0,3,0,1,[]
254,52,89,49,34,40,16,41,51,38,42,47,10,66,69,68,67,53,43,53,43,0,3,0,1,[]
255,46,70,46,36,39,15,45,51,41,40,43,9,64,63,75,57,59,35,61,35,0,3,0,1,['21:11 JDG 击杀了水龙']
256,47,71,39,43,36,15,49,50,44,50,46,11,54,57,74,55,64,39,61,35,0,3,0,1,[]
257,61,58,48,48,31,20,53,54,53,55,47,16,63,51,76,55,68,41,91,10,0,3,0,1,[]
258,65,52,60,50,26,14,50,47,59,50,57,24,67,44,71,52,67,42,81,21,0,3,0,1,[]
259,67,61,50,52,20,13,51,51,53,55,62,35,64,36,73,52,58,41,73,29,0,3,0,1,[]
260,79,77,37,50,20,12,51,51,53,58,55,31,58,33,73,52,60,38,60,36,0,3,0,1,[]
261,77,86,25,50,18,24,2,96,2,96,65,38,44,33,83,5,59,35,59,34,0,3,0,1,[]
262,74,87,17,45,18,24,18,85,15,85,76,45,43,37,68,6,59,35,49,34,0,3,0,1,[]
263,74,87,15,43,5,96,28,74,23,74,86,53,43,43,53,8,92,4,42,44,0,3,0,1,[]
264,13,74,15,44,24,94,38,64,32,66,89,63,31,35,46,9,79,14,34,38,0,3,0,1,[]
265,19,52,3,94,39,92,46,55,40,58,89,70,21,39,38,14,71,24,21,39,0,3,0,1,[]
266,21,51,12,80,54,90,46,52,44,53,89,73,22,32,29,19,64,34,22,32,0,3,0,1,[]
267,21,50,19,70,69,88,35,49,33,48,90,72,36,36,29,9,57,40,36,36,0,3,0,1,[]
268,17,44,18,58,82,84,23,47,20,45,82,78,42,37,28,20,45,40,42,37,0,3,0,1,[]
269,11,34,25,51,78,82,26,50,25,38,79,74,40,34,18,24,50,46,40,34,0,3,0,1,[]
270,10,25,32,47,75,76,38,50,25,38,75,71,95,4,12,19,50,48,96,3,0,3,0,1,[]
271,13,19,40,43,78,76,45,53,29,35,74,71,83,9,19,14,56,47,90,7,0,3,0,1,[]
272,13,15,44,36,78,85,44,50,30,29,83,78,72,17,22,13,66,48,72,17,0,3,0,1,[]
273,8,17,39,38,79,85,44,47,30,30,85,83,60,25,21,12,65,41,60,25,0,3,0,1,[]
274,16,21,39,38,78,77,46,52,3,96,87,79,48,32,24,13,57,34,48,32,0,3,0,1,[]
275,6,21,7,89,77,74,48,52,15,84,87,79,40,36,29,22,47,36,42,34,0,3,0,1,[]
276,11,27,18,77,65,64,51,51,25,72,88,81,28,34,25,24,50,44,31,37,0,3,0,1,[]
277,10,41,27,68,60,59,46,51,33,64,89,82,35,39,20,24,46,36,39,38,0,3,0,1,[]
278,20,44,27,59,64,62,39,54,31,55,95,4,39,38,18,14,57,33,40,39,0,3,0,1,[]
279,9,28,24,56,64,62,39,55,22,50,88,9,41,40,30,20,52,33,41,40,0,3,0,1,[]
280,10,34,29,52,53,56,44,56,29,52,77,19,41,44,38,29,49,42,39,42,0,3,0,1,[]
281,21,50,33,44,47,56,47,53,39,49,68,31,42,46,43,43,50,47,42,46,0,3,0,1,[]
282,34,49,36,49,45,55,49,52,40,50,58,39,42,44,44,43,49,43,42,44,0,3,0,1,[]
283,25,33,42,52,47,52,46,54,43,52,53,45,46,46,45,44,51,44,46,46,0,3,0,1,[]
284,24,28,41,54,40,61,46,57,41,56,47,53,48,57,46,52,53,50,48,57,0,3,0,1,[]
285,27,31,41,59,38,61,39,63,39,58,45,57,46,57,42,60,44,55,46,57,0,3,0,1,[]
286,36,49,38,63,37,64,34,61,40,58,46,55,49,55,49,54,47,52,49,55,0,3,0,1,[]
287,31,54,44,68,37,64,33,61,37,61,45,57,47,55,46,57,44,53,47,57,0,3,0,1,[]
288,37,61,44,68,37,58,2,96,37,62,41,56,42,58,39,52,41,52,40,52,0,3,0,1,[]
289,38,60,40,65,35,59,2,96,39,63,40,57,44,57,39,53,40,53,40,53,0,3,0,1,[]
290,40,59,37,58,38,59,38,58,41,60,42,55,46,56,44,51,47,53,46,53,0,3,0,1,[]
291,38,60,40,66,35,60,41,54,43,56,52,51,54,54,48,49,49,50,52,51,0,3,0,1,[]
292,32,45,47,76,35,60,41,55,42,57,51,52,57,58,52,54,49,49,49,49,0,3,0,1,[]
293,30,35,54,84,2,96,40,54,45,55,49,51,53,57,46,48,49,48,49,48,0,3,0,1,[]
294,32,44,50,81,41,34,42,55,43,57,49,50,49,54,43,44,50,45,49,50,0,3,0,1,[]
295,39,38,58,73,45,33,45,49,44,50,49,41,49,41,44,35,49,39,49,39,0,3,0,1,[]
296,31,36,55,59,45,32,43,46,46,48,49,42,42,39,43,35,48,33,48,33,0,3,0,1,['24:37 JDGimp(虚空之女) 击杀了 VGJay(万花通灵)']
297,22,27,60,56,45,32,49,50,44,50,52,43,43,37,40,41,49,26,47,35,0,3,0,1,[]
298,12,20,53,50,45,32,49,48,43,47,41,39,31,35,34,37,42,26,31,35,0,3,0,1,[]
299,17,23,53,45,45,32,52,46,43,48,42,43,33,37,38,40,44,36,33,37,0,3,0,1,[]
300,30,39,60,50,45,32,55,55,41,55,48,49,42,45,44,47,52,43,42,45,0,3,0,1,[]
301,24,35,60,50,45,32,50,59,40,55,40,43,34,38,35,40,44,39,34,38,0,3,0,1,[]
302,22,41,58,41,45,32,43,55,39,55,32,35,34,32,31,30,32,34,34,32,0,3,0,1,[]
303,23,36,47,39,45,32,37,50,35,48,33,31,34,30,33,32,31,27,34,30,0,3,0,1,[]
304,24,36,45,33,45,32,32,42,32,46,31,31,34,33,32,31,30,30,34,33,0,3,0,1,[]
305,23,40,40,37,2,98,32,45,34,48,32,37,32,42,32,39,31,33,32,42,0,3,0,1,[]
306,21,46,44,48,11,91,35,47,41,54,36,42,38,49,38,44,39,51,38,50,0,3,0,1,"['25:27 JDGimp(虚空之女) 击杀了 VGPuff(圣枪游侠)', '25:30 JDGimp(虚空之女) 击杀了 VGSouthwind(天启者)']"
307,18,48,43,52,17,74,35,47,41,54,38,41,43,47,46,51,45,49,45,49,0,3,0,1,['25:32 JDGLvMao(魔法猫咪) 击杀了 VGYoudang(狂战士)']
308,18,47,43,52,25,66,35,47,41,54,32,32,31,43,42,46,40,43,40,43,0,3,0,1,[]
309,23,56,43,52,37,59,35,47,41,54,31,31,33,31,30,37,32,33,31,31,0,3,0,1,[]
310,24,57,43,52,38,51,35,47,41,54,31,31,32,29,32,33,33,32,29,34,0,3,0,1,[]
311,27,59,43,52,45,51,35,47,41,54,31,31,32,29,31,31,35,29,31,33,0,3,0,1,[]
312,27,59,43,52,53,52,35,47,41,54,31,31,31,29,35,29,35,29,31,29,0,3,0,1,['25:59 JDG 击杀了大龙']
313,12,94,43,52,59,58,35,47,41,54,95,4,95,4,37,13,95,4,95,4,0,3,0,1,[]
314,39,91,43,52,71,68,35,47,14,90,92,21,87,21,32,8,92,6,87,21,0,3,0,1,[]
315,57,85,2,96,69,67,18,89,30,81,91,35,81,36,30,8,86,10,81,36,0,3,0,1,[]
316,73,74,20,94,71,69,31,81,42,70,90,48,77,48,95,4,66,35,71,34,0,3,0,1,[]
317,72,70,34,92,72,69,46,77,56,63,89,61,63,50,89,17,58,43,58,43,0,3,0,1,[]
318,72,70,41,85,72,69,44,70,47,67,87,73,54,50,81,31,50,47,50,47,0,3,0,1,[]
319,73,72,47,76,71,77,41,66,42,64,89,82,49,51,80,46,45,49,45,49,0,3,0,1,['26:32 VG 击杀了土龙']
320,75,75,40,67,69,78,35,65,33,63,84,85,39,52,76,53,39,52,39,50,0,3,0,2,['26:40 JDGimp(虚空之女) 击破了防御塔']
321,69,90,36,63,2,95,36,65,32,65,79,87,41,57,75,58,41,55,45,57,0,3,0,2,[]
322,53,92,33,73,10,81,37,62,35,65,66,90,41,55,65,62,42,57,42,57,0,3,0,2,[]
323,55,93,43,68,24,83,33,65,34,68,58,90,41,59,60,62,40,57,40,57,0,3,0,2,[]
324,54,92,39,72,36,89,32,66,31,70,58,90,32,60,50,65,36,57,36,57,0,3,0,2,[]
325,45,91,31,68,34,75,29,67,27,70,51,90,32,63,43,68,34,63,35,64,0,3,0,2,[]
326,46,91,30,64,32,70,31,66,28,69,51,92,33,59,37,64,38,61,38,61,0,3,0,2,[]
327,47,93,33,69,28,70,27,66,23,72,50,93,27,59,31,59,38,62,37,61,0,3,0,2,[]
328,46,94,31,68,26,72,30,68,23,72,53,91,31,59,33,59,38,61,38,61,0,3,0,2,[]
329,35,93,37,76,14,83,28,70,9,93,47,93,36,59,29,59,39,64,39,64,0,3,0,2,[]
330,35,93,34,81,5,92,26,71,27,85,50,93,38,62,32,61,36,63,36,62,0,3,0,2,[]
331,3,97,34,78,13,87,26,73,30,78,51,92,30,70,24,68,29,67,29,66,0,3,0,3,['27:32 JDGimp(虚空之女) 击破了防御塔']
332,18,75,32,74,20,74,24,76,28,76,52,93,30,70,25,70,26,68,26,68,0,3,0,4,['27:40 JDG 击破了防御塔']
333,27,66,29,68,27,67,26,69,29,71,95,4,30,66,30,64,35,60,35,60,0,3,0,4,[]
334,19,65,21,72,26,66,20,67,22,72,27,67,27,67,26,66,27,69,26,65,0,3,0,4,['27:49 JDGYagao(解脱者) 击杀了 VGJay(万花通灵)']
335,15,76,17,73,26,66,16,70,21,74,20,65,27,68,23,67,24,69,24,69,0,3,0,4,[]
336,9,85,11,83,26,66,10,81,23,78,26,69,32,68,27,68,30,70,30,70,0,3,0,4,[]
337,7,95,5,91,26,66,5,93,21,83,24,77,30,68,28,78,27,75,27,75,0,3,0,4,[]
338,17,85,11,92,26,66,16,87,19,83,20,80,25,78,27,89,25,77,20,80,0,3,0,5,['28:8 JDGimp(虚空之女) 击破了防御塔']
339,16,83,19,84,26,66,16,83,20,84,20,80,23,80,20,82,25,80,25,80,0,3,0,5,['28:13 JDGimp(虚空之女) 击杀了 VGSouthwind(天启者)']
340,15,86,17,86,26,66,15,80,20,84,20,79,22,84,24,82,23,84,24,82,0,3,0,5,[]
341,14,86,18,88,26,66,15,80,20,84,24,84,19,83,27,89,17,81,26,87,0,3,0,6,"['28:25 JDG 击破了防御塔', '28:23 JDGimp(虚空之女) 击杀了 VGPuff(圣枪游侠)']"
342,4,95,8,95,26,66,15,80,20,84,13,90,14,89,12,93,11,81,13,92,0,3,0,6,[]
343,11,93,9,91,26,66,15,80,20,84,15,88,13,89,13,87,15,87,15,88,0,3,0,7,['28:35 JDG 击破了防御塔']
344,7,95,9,94,2,96,15,80,20,84,11,91,10,94,11,94,10,92,11,94,0,3,0,8,"['28:36 JDGimp(虚空之女) 击破了防御塔', '28:39 JDGLvMao(魔法猫咪) 击杀了 VGYoudang(狂战士)']"
345,7,95,9,94,6,94,15,80,20,84,12,92,11,93,10,92,10,93,11,93,0,3,0,8,"['28:42 JDGFlawless(德玛西亚皇子) 击杀了 VGChelizi(德玛西亚之翼)', '28:44 JDGimp(虚空之女) 击杀了 VGJay(万花通灵)']"
346,7,95,9,94,6,94,15,80,2,96,12,92,8,87,7,88,6,90,11,93,0,3,0,8,[]
347,7,95,9,94,6,94,15,80,2,96,12,92,,0,,0,6,90,11,93,0,3,0,8,[]
348,7,95,9,94,6,94,15,80,2,96,12,92,,0,,0,6,90,11,93,0,3,0,8,['29:0 JDG 获胜']
