,LNGFlandre, ,LNGSofM, ,LNGFenfen, ,LNGAsura, ,LNGDuan, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
253,38,74,40,58,6,41,39,65,41,71,68,51,55,56,76,44,46,52,48,58,0,3,0,3,[]
254,47,66,45,58,9,35,42,59,46,63,64,62,58,60,66,54,55,58,57,64,0,3,0,3,[]
255,51,67,47,59,12,34,44,58,50,67,62,63,55,63,65,68,58,62,57,66,0,3,0,3,[]
256,55,67,46,57,19,32,43,56,54,66,65,65,57,57,64,76,56,56,55,57,0,3,0,3,[]
257,53,62,48,56,27,37,46,51,52,61,57,55,55,54,58,69,51,49,50,48,0,3,0,3,[]
258,60,72,54,65,38,43,44,57,59,72,62,61,56,60,61,75,52,53,52,52,0,3,0,3,[]
259,59,72,55,68,44,52,38,64,58,71,66,66,63,62,67,65,59,61,62,61,0,3,0,3,[]
260,55,62,56,62,53,60,42,60,54,62,70,63,64,63,74,63,66,63,60,59,0,3,0,3,[]
261,62,60,62,63,62,63,52,56,62,58,70,65,68,65,74,68,69,63,69,61,0,3,0,3,[]
262,70,62,67,65,72,64,61,60,69,61,73,68,71,66,76,68,75,67,73,64,0,3,0,3,[]
263,75,63,73,68,69,62,67,65,71,62,71,68,74,70,76,71,76,69,76,69,0,3,0,3,[]
264,64,62,61,63,60,60,63,60,67,60,63,62,72,66,71,67,71,63,70,67,0,3,0,3,[]
265,56,63,58,73,52,53,63,60,67,60,63,62,56,67,61,64,65,60,55,65,0,3,0,3,[]
266,53,65,52,76,42,52,63,60,67,60,63,62,55,67,55,67,57,62,59,67,0,3,0,3,[]
267,59,71,52,76,39,50,63,60,67,60,63,62,57,68,59,69,57,66,59,71,0,3,0,3,[]
268,59,71,5,92,2,96,63,60,67,60,63,62,62,62,63,60,55,54,59,71,0,3,0,3,[]
269,59,71,13,76,7,86,63,60,67,60,63,62,66,56,62,61,48,51,59,71,0,3,0,3,[]
270,59,71,18,64,19,76,63,60,67,60,63,62,72,45,61,60,47,49,59,71,0,3,0,3,[]
271,59,71,23,55,31,67,63,60,10,84,63,62,76,45,93,4,47,38,59,71,0,3,0,3,[]
272,59,71,24,52,36,64,5,95,17,70,63,62,82,55,77,11,43,36,59,71,0,3,0,3,[]
273,59,71,30,48,44,55,21,86,18,55,63,62,82,55,64,21,43,35,59,71,0,3,0,3,[]
274,59,71,33,43,49,50,32,89,29,49,80,5,79,52,53,31,51,29,86,9,0,3,0,3,[]
275,59,71,29,37,49,50,44,91,41,36,65,11,78,50,45,32,57,33,74,21,0,3,0,3,[]
276,4,92,38,40,40,51,57,91,45,43,54,17,78,50,57,33,59,42,65,30,0,3,0,3,[]
277,5,74,37,41,28,50,60,86,38,40,45,15,93,4,42,32,54,46,56,40,0,3,0,3,[]
278,6,59,35,39,23,42,51,83,32,29,47,16,88,6,38,25,54,42,49,41,0,3,0,3,[]
279,7,46,36,40,19,44,47,74,33,37,48,15,74,14,44,23,52,43,42,32,0,3,0,3,[]
280,9,37,43,42,18,45,41,66,35,38,48,17,64,22,36,25,49,41,40,29,0,3,0,3,[]
281,11,29,41,45,18,45,44,56,35,38,48,17,55,30,44,36,47,41,45,36,0,3,0,3,[]
282,14,19,34,43,19,48,42,55,4,93,85,9,47,38,50,46,50,47,50,45,0,3,0,3,[]
283,16,15,34,43,19,48,40,57,16,78,70,11,46,45,47,42,48,43,43,46,0,3,0,3,[]
284,15,17,31,51,7,89,39,59,27,67,56,9,35,40,37,37,43,34,33,41,0,3,0,3,[]
285,10,26,34,48,20,75,42,55,36,57,39,9,34,35,33,32,42,38,36,38,0,3,0,3,[]
286,19,35,33,43,29,66,42,53,37,48,36,7,43,42,44,36,51,47,49,44,0,3,0,3,[]
287,30,37,35,36,38,58,42,52,43,51,38,10,43,42,42,38,50,49,50,50,0,3,0,3,[]
288,42,38,40,38,44,49,42,44,43,39,36,12,42,39,47,40,50,45,49,41,0,3,0,3,[]
289,35,37,33,41,38,42,36,42,36,38,34,38,42,38,45,34,47,39,47,40,0,3,0,3,[]
290,32,39,32,47,35,43,32,50,32,46,40,39,42,38,40,43,39,37,38,39,0,3,0,3,[]
291,31,39,34,48,31,48,33,49,33,48,42,45,42,38,40,41,37,43,33,39,0,3,0,3,[]
292,34,39,34,42,27,50,34,48,37,48,46,40,42,38,45,42,46,41,44,38,0,3,0,3,[]
293,33,42,35,39,27,50,32,41,32,45,47,46,42,38,42,45,49,49,49,48,0,3,0,3,[]
294,38,51,35,38,7,88,31,54,31,58,48,46,42,38,49,49,50,46,48,48,0,3,0,3,[]
295,43,57,2,96,14,73,40,58,41,55,57,55,42,38,61,58,49,43,49,43,0,3,0,3,[]
296,51,64,15,82,17,61,43,67,41,52,56,44,42,38,72,67,95,4,49,43,0,3,0,3,[]
297,54,62,25,70,22,46,46,66,32,43,56,43,85,9,83,78,81,14,87,8,0,3,0,3,[]
298,58,66,32,60,24,34,46,66,34,30,52,46,71,18,82,79,71,25,75,20,0,3,0,3,[]
299,56,80,31,47,28,34,2,96,30,29,50,52,58,27,72,69,59,26,66,30,0,3,0,3,[]
300,66,88,34,43,23,25,4,96,30,29,51,50,49,33,58,63,51,34,55,32,0,3,0,3,[]
301,76,87,34,43,21,12,6,95,4,92,49,42,39,28,50,54,41,32,43,36,0,3,0,3,[]
302,80,86,32,45,16,19,32,64,17,77,32,38,30,22,38,43,33,23,32,38,0,3,0,3,[]
303,85,79,32,46,19,25,37,56,18,62,31,34,26,31,41,38,24,27,24,36,0,3,0,3,[]
304,88,67,33,43,12,35,47,52,21,50,25,30,21,37,34,36,27,32,28,36,0,3,0,3,[]
305,91,61,33,43,11,44,51,52,35,48,30,18,32,37,48,40,39,37,41,37,0,3,0,3,[]
306,90,61,34,39,21,50,53,50,44,51,43,14,44,35,64,41,49,43,51,45,0,3,0,3,[]
307,80,66,33,32,31,46,40,51,43,51,48,10,53,35,79,39,50,47,52,48,0,3,0,3,[]
308,72,67,25,32,32,42,42,52,41,43,48,10,54,31,89,44,48,45,53,47,0,3,0,3,[]
309,68,67,24,40,24,35,43,53,35,40,94,5,45,23,90,47,50,46,49,44,0,3,0,3,[]
310,60,59,31,38,24,34,43,56,38,42,83,8,42,18,89,47,50,48,51,49,0,3,0,3,[]
311,57,55,44,39,32,37,46,48,44,44,66,10,42,18,89,47,53,48,52,42,0,3,0,3,[]
312,53,52,46,36,43,43,48,47,46,40,53,9,49,21,89,47,54,49,56,45,0,3,0,3,[]
313,43,52,46,40,52,46,56,48,54,46,41,9,57,33,90,12,61,42,59,45,0,3,0,3,[]
314,43,52,55,45,59,47,60,50,53,47,34,17,58,44,77,25,62,42,60,44,0,3,0,3,[]
315,2,96,58,41,58,46,67,43,58,42,36,25,61,35,67,37,67,31,60,44,0,3,0,3,[]
316,58,48,55,47,56,48,74,55,57,48,45,32,66,40,67,42,66,35,60,44,0,4,0,3,[]
317,64,52,55,47,55,46,74,62,57,46,58,34,65,38,59,37,66,35,60,44,0,4,0,3,[]
318,66,56,55,57,56,56,63,63,63,51,61,38,68,39,59,38,87,8,60,44,0,4,0,3,[]
319,74,69,55,58,56,56,62,62,69,62,60,39,67,35,56,32,75,20,60,44,0,4,0,3,[]
320,83,78,55,58,5,93,4,95,75,66,51,32,67,35,49,21,66,31,60,44,0,4,0,3,[]
321,86,77,52,50,15,78,19,83,75,66,44,33,87,8,41,9,62,35,60,44,0,4,0,3,[]
322,77,73,55,44,26,70,30,73,12,89,43,24,71,15,34,8,60,38,95,4,0,4,0,3,[]
323,68,67,51,48,32,60,39,63,25,76,54,31,62,24,28,11,59,37,58,40,0,4,0,3,[]
324,67,68,51,50,34,49,50,55,36,67,57,41,51,33,16,17,57,39,56,44,0,4,0,3,[]
325,67,69,47,49,45,50,60,61,50,65,58,40,41,37,16,19,55,41,58,41,0,4,0,3,[]
326,78,63,36,48,43,52,66,65,48,53,58,43,43,39,14,18,55,43,55,43,0,4,0,3,[]
327,88,67,33,49,31,50,60,62,39,53,68,45,42,45,24,26,51,47,48,47,0,4,0,3,[]
328,83,66,34,49,27,59,48,66,41,53,79,50,38,42,34,31,50,45,38,43,0,4,0,3,[]
329,69,62,35,48,25,52,39,65,35,47,91,57,38,42,35,41,55,40,46,40,0,4,0,3,[]
330,56,56,32,45,15,48,45,55,38,48,88,54,41,40,40,37,55,41,57,40,0,4,0,3,[]
331,58,56,35,39,9,43,48,53,33,47,80,54,46,39,42,32,54,43,57,41,0,4,0,3,[]
332,65,63,39,43,8,36,36,58,31,34,79,52,47,38,42,32,52,42,52,44,0,4,0,3,[]
333,75,71,32,35,9,35,26,60,29,33,68,45,46,34,80,12,50,40,49,42,0,4,0,3,[]
334,86,77,34,43,14,36,37,59,26,34,59,37,47,36,65,21,51,30,46,39,0,4,0,3,[]
335,89,69,34,43,14,36,38,56,2,96,52,48,43,39,53,31,52,27,42,40,0,4,0,3,[]
336,90,66,33,43,22,40,39,58,2,95,48,51,41,40,40,30,46,35,41,44,0,4,0,3,[]
337,88,65,31,50,25,46,41,58,9,85,48,42,33,41,35,30,36,39,33,42,0,4,0,3,[]
338,78,62,33,43,22,47,39,63,21,72,35,36,26,35,24,31,31,34,29,36,0,4,0,3,[]
339,66,60,32,47,24,45,39,53,31,62,37,36,25,37,16,35,30,33,34,37,0,4,0,3,[]
340,55,54,39,49,35,49,47,53,39,52,49,35,36,38,18,35,38,36,42,39,0,4,0,3,[]
341,51,45,44,44,44,51,53,50,41,51,55,32,47,39,30,38,47,38,54,41,0,4,0,3,[]
342,59,40,44,42,50,45,56,45,51,43,60,36,53,35,30,32,56,33,60,35,0,4,0,3,[]
343,58,44,39,37,44,37,55,44,53,44,65,35,61,33,43,24,63,36,66,30,0,4,0,3,[]
344,46,39,35,38,40,38,47,46,40,39,70,34,54,31,43,24,59,34,66,30,0,4,0,3,[]
345,40,43,30,39,46,43,45,47,29,37,66,34,55,31,32,20,55,32,95,4,0,4,0,3,[]
346,34,42,31,33,46,43,53,46,27,36,95,4,55,31,22,11,59,36,89,5,0,4,0,3,[]
347,25,45,33,35,47,45,52,48,35,29,62,32,55,32,29,10,57,42,63,32,0,4,0,3,[]
348,24,38,34,36,38,39,46,46,35,38,57,43,56,41,38,14,56,43,54,42,0,4,0,3,[]
349,34,38,44,43,44,44,41,46,45,42,53,41,51,41,27,21,54,41,55,42,0,4,0,3,[]
350,45,42,46,43,45,43,45,49,43,43,53,42,47,37,23,28,56,41,52,42,0,4,0,3,[]
351,41,39,45,44,45,43,49,50,44,42,57,44,47,36,23,27,58,42,54,41,0,4,0,3,[]
352,44,41,43,43,47,45,47,50,45,43,57,44,52,36,32,22,58,44,56,40,0,4,0,3,[]
353,48,42,45,43,50,46,50,49,46,43,59,45,56,47,41,26,58,43,58,39,0,4,0,3,[]
354,44,39,37,37,39,40,43,45,40,41,55,47,54,49,52,30,56,46,55,45,0,4,0,3,[]
355,34,38,33,32,32,37,33,36,32,34,48,46,45,45,48,33,47,46,45,40,0,4,0,3,[]
356,34,39,32,33,30,45,30,38,35,39,45,45,41,39,41,33,46,45,42,39,0,4,0,3,[]
357,35,38,32,32,32,46,33,38,35,39,47,52,39,43,42,40,46,46,40,44,0,4,0,3,[]
358,39,43,40,39,43,45,39,38,39,40,47,47,39,43,46,40,46,47,49,43,0,4,0,3,[]
359,41,40,41,41,41,44,38,40,37,38,50,48,39,43,48,48,51,51,50,50,0,4,0,3,[]
360,39,31,32,33,33,36,30,33,32,31,46,46,39,43,37,48,45,49,42,46,0,4,0,3,[]
361,30,29,31,31,29,33,29,32,30,34,34,43,39,43,30,39,36,42,33,39,0,4,0,3,[]
362,30,34,26,35,29,35,23,34,29,32,29,37,39,43,32,42,34,39,34,38,0,4,0,3,[]
363,28,34,25,37,27,35,23,38,22,39,41,43,39,43,36,40,38,42,32,46,0,4,0,3,[]
364,23,33,23,48,23,39,18,45,19,36,46,53,39,43,39,36,42,45,38,51,0,4,0,3,[]
365,23,33,23,48,23,39,21,55,19,36,59,58,39,43,37,25,42,45,38,51,0,4,0,3,[]
366,5,94,2,96,2,96,28,60,10,84,69,64,39,43,25,26,93,4,90,6,0,4,0,3,[]
367,18,80,13,81,2,94,39,59,24,71,75,66,39,43,28,21,92,5,75,17,0,4,0,3,[]
368,28,70,25,70,9,82,42,66,32,60,80,76,77,12,37,11,85,10,68,29,0,4,0,3,[]
369,40,67,31,56,17,69,46,70,35,48,90,75,65,20,36,8,79,21,59,39,0,4,0,3,[]
370,47,73,35,48,22,56,48,77,33,43,87,69,57,29,37,8,70,31,61,37,0,4,0,3,[]
371,57,82,36,41,17,45,46,79,32,34,82,59,46,32,37,8,63,39,57,40,0,4,0,3,[]
372,63,87,41,44,15,33,46,79,33,37,77,46,38,26,94,4,55,43,55,45,0,4,0,3,[]
373,75,88,46,51,26,36,14,85,40,43,75,43,42,19,75,15,58,38,53,41,0,4,0,3,[]
374,76,89,47,51,33,31,24,73,47,52,75,43,45,16,61,24,54,31,57,43,0,4,0,3,[]
375,73,85,50,53,32,32,33,62,44,49,78,52,46,16,50,26,58,39,59,36,0,4,0,3,[]
376,73,74,48,48,34,38,44,51,44,43,77,52,51,26,46,24,59,37,60,35,0,4,0,3,[]
377,65,64,43,43,44,43,48,48,45,43,77,52,57,34,40,23,60,37,57,40,0,4,0,3,[]
378,55,56,34,35,39,40,48,46,38,39,80,52,56,40,54,21,59,39,58,39,0,4,0,3,[]
379,46,47,35,28,29,32,38,39,34,28,83,51,55,32,57,29,57,39,58,40,0,4,0,3,[]
380,43,44,33,36,20,27,34,37,36,38,83,51,48,34,49,42,56,42,55,44,0,4,0,3,[]
381,42,45,39,42,18,24,33,43,38,42,80,12,44,33,52,43,54,41,47,39,0,4,0,3,[]
382,44,36,43,35,23,29,40,38,46,36,70,25,47,32,52,43,50,40,47,36,0,4,0,3,[]
383,40,35,40,37,34,35,41,30,42,32,58,28,48,32,46,33,47,39,49,34,0,4,0,3,[]
384,39,37,42,39,43,35,38,40,42,32,47,33,50,34,39,27,46,37,48,34,0,4,0,3,[]
385,44,44,40,44,41,36,32,45,42,32,39,39,48,33,41,35,44,35,45,34,0,4,0,3,[]
386,42,40,50,49,41,36,34,48,42,32,33,36,41,32,34,38,38,36,39,37,0,4,0,3,[]
387,42,36,43,45,41,36,35,48,42,32,34,36,38,27,34,37,28,36,30,38,0,4,0,3,[]
388,36,38,36,42,41,36,44,48,42,32,32,34,29,32,31,36,29,35,27,37,0,4,0,3,[]
389,38,38,33,43,41,36,38,41,42,32,31,36,31,39,28,38,33,37,30,39,0,4,0,3,[]
390,42,43,43,44,41,36,46,45,42,32,36,39,34,40,36,42,37,38,35,40,0,4,0,3,[]
391,41,33,41,45,41,36,42,43,4,93,31,32,32,32,32,40,30,33,31,31,0,4,0,3,[]
392,39,32,35,39,41,36,41,42,17,76,33,33,31,31,36,39,33,32,35,29,0,4,0,3,[]
393,40,40,38,48,41,36,41,44,28,67,35,39,32,33,32,40,32,34,31,32,0,4,0,3,[]
394,34,39,34,42,41,36,32,41,31,54,32,35,32,31,34,38,31,33,31,30,0,4,0,3,[]
395,40,41,35,42,41,36,36,43,33,41,40,37,26,32,33,36,32,37,30,36,0,4,0,3,[]
396,39,37,38,39,2,96,39,42,33,39,34,38,31,33,35,36,33,35,32,36,0,4,0,3,[]
397,41,34,42,35,36,39,42,38,43,47,36,41,41,39,35,36,39,39,35,38,0,4,0,3,[]
398,44,37,42,35,36,39,42,38,41,53,36,42,43,38,29,38,39,40,35,39,0,4,0,3,[]
399,42,40,42,35,36,39,42,38,43,47,35,40,43,38,33,44,31,36,31,36,0,4,0,3,[]
400,44,50,42,35,36,39,42,38,46,51,29,35,43,38,32,45,25,26,26,33,0,4,0,3,[]
401,46,54,42,35,36,39,42,38,46,54,95,8,43,38,31,51,95,4,95,4,0,4,0,3,[]
402,46,52,42,35,36,39,42,38,50,52,82,14,43,38,95,4,65,33,65,33,0,4,0,3,[]
403,46,63,42,35,36,39,42,38,51,59,68,11,43,38,94,4,54,44,57,44,0,4,0,3,[]
404,43,67,42,35,36,39,42,38,57,67,55,9,43,38,94,4,52,49,54,52,0,4,0,3,[]
405,32,61,42,35,36,39,42,38,50,77,43,8,43,38,92,7,61,58,57,63,0,4,0,3,[]
406,22,54,5,92,36,39,42,38,47,79,43,15,43,38,81,27,67,65,68,65,0,4,0,3,[]
407,22,44,17,86,36,39,42,38,2,96,40,15,43,38,82,44,67,66,67,69,0,4,0,3,[]
408,24,39,26,76,36,39,5,91,16,87,39,15,91,11,88,59,59,58,59,58,0,4,0,3,[]
409,23,47,33,65,2,96,19,77,27,74,93,4,79,24,87,72,51,53,49,53,0,4,0,3,[]
410,20,46,39,59,15,81,30,67,40,71,93,4,70,33,88,77,49,42,53,48,0,4,0,3,[]
411,15,43,39,64,27,77,38,59,39,59,94,4,72,42,84,77,46,33,54,48,0,4,0,3,[]
412,15,41,51,67,39,86,42,57,40,55,94,3,73,48,73,68,51,27,54,43,0,4,0,3,[]
413,15,41,56,68,51,90,41,67,41,66,82,20,67,54,65,67,49,34,52,44,0,4,0,3,[]
414,14,86,54,83,62,92,38,61,52,76,71,31,58,63,56,67,50,45,52,50,0,4,0,3,[]
415,24,73,55,84,57,92,33,64,47,78,61,40,51,62,50,61,43,52,46,53,0,4,0,3,[]
416,33,65,53,85,57,92,32,64,36,74,50,50,44,68,51,68,40,57,40,58,0,4,0,3,[]
417,30,67,50,88,11,91,31,68,34,74,41,60,36,67,50,73,35,64,28,60,0,4,0,3,[]
418,27,71,36,87,24,79,27,74,33,76,30,64,40,68,41,71,33,64,33,62,0,4,0,4,[]
419,26,73,35,80,27,76,23,74,27,75,34,69,39,73,40,74,29,65,30,65,0,4,0,4,[]
420,31,80,33,81,30,79,25,78,30,79,34,67,38,76,37,76,30,67,30,65,0,4,0,4,[]
421,27,77,36,81,26,76,22,76,29,80,29,68,38,66,35,74,26,70,27,67,0,4,0,4,[]
422,25,75,29,78,25,76,22,73,26,76,30,70,33,72,31,73,26,68,27,68,0,4,0,4,[]
423,26,76,30,79,16,80,22,73,21,75,31,68,31,70,33,72,29,67,28,68,0,4,0,4,[]
424,27,75,33,79,7,88,22,75,19,70,35,68,34,67,29,66,26,69,30,70,0,4,0,4,[]
425,27,77,32,79,9,93,21,75,25,78,28,66,38,67,28,67,28,68,29,67,0,4,0,4,[]
426,27,77,33,77,24,81,24,78,25,77,31,66,39,74,32,69,27,69,28,66,0,4,0,4,[]
427,28,75,31,76,27,78,23,76,25,73,24,69,37,76,30,69,25,69,27,67,0,4,0,4,[]
428,30,73,22,67,26,71,20,75,19,70,28,70,30,72,31,69,27,68,28,68,0,4,0,4,[]
429,31,75,25,74,21,75,27,78,28,77,27,78,33,73,34,75,31,70,26,71,0,4,0,4,[]
430,31,76,24,77,15,82,28,82,25,80,29,71,31,73,34,75,27,68,28,72,0,4,0,4,[]
431,31,76,17,83,7,90,22,89,15,88,24,79,24,82,32,75,22,75,23,78,0,4,0,5,[]
432,31,76,13,82,7,92,9,95,10,93,19,78,19,93,21,81,20,83,22,83,0,4,0,5,[]
433,31,76,12,80,14,84,11,91,12,90,14,76,24,80,23,78,22,79,19,78,0,4,0,5,[]
434,31,76,17,79,19,83,20,80,28,88,29,71,39,77,38,76,33,74,31,74,0,4,0,5,[]
435,31,76,18,78,26,81,21,76,33,80,40,72,51,78,51,74,46,80,45,81,0,4,0,5,[]
436,31,76,12,89,34,89,29,70,38,74,49,65,59,85,49,78,54,89,54,89,0,4,0,5,[]
437,31,76,3,95,44,91,37,63,43,69,60,62,51,85,46,79,50,89,49,93,0,4,0,5,[]
438,31,76,14,90,41,91,39,58,41,67,73,62,52,86,53,84,52,88,49,90,0,4,0,6,[]
439,31,76,29,82,36,92,40,55,31,56,78,54,95,4,55,81,64,83,60,84,0,4,0,6,[]
440,31,76,39,75,38,91,40,54,33,47,77,53,78,10,95,4,69,80,68,80,0,4,0,6,[]
441,31,76,40,73,43,91,26,60,43,51,77,52,63,11,72,7,69,80,68,80,0,4,0,6,[]
442,22,93,45,73,42,90,22,54,31,51,95,4,53,17,54,9,82,11,94,4,0,4,0,6,[]
443,37,93,44,68,41,89,18,45,31,51,93,23,51,27,38,9,71,25,93,3,0,4,0,6,[]
444,52,91,51,66,35,80,25,37,3,93,91,39,52,36,32,6,63,35,93,4,0,4,0,6,[]
445,64,90,39,65,40,69,32,42,17,76,88,51,61,36,32,6,63,39,77,16,0,4,0,6,[]
446,76,88,44,55,39,58,40,52,30,66,91,54,62,37,94,6,66,40,68,28,0,4,0,6,[]
447,78,89,47,58,32,59,40,58,37,62,93,54,51,41,78,25,56,42,59,36,0,4,0,6,[]
448,81,90,43,59,31,53,39,63,48,67,93,60,41,34,67,40,53,43,48,41,0,4,0,6,[]
449,81,90,40,58,31,53,43,69,42,67,91,64,38,38,64,53,48,50,49,49,0,4,0,6,[]
450,15,88,40,58,37,61,41,60,37,60,88,74,35,42,55,57,44,46,40,45,0,4,0,6,[]
451,27,75,36,60,33,59,39,63,40,57,86,80,30,32,53,52,34,37,31,44,0,4,0,6,[]
452,33,65,32,50,34,49,47,74,31,54,84,83,25,32,43,42,25,28,25,33,0,4,0,6,[]
453,39,63,38,48,40,54,51,84,29,50,86,75,29,32,45,42,17,19,18,23,0,4,0,6,[]
454,42,68,31,44,38,58,49,84,21,46,82,80,32,35,45,42,9,27,11,28,0,4,0,6,[]
455,38,59,32,45,42,55,54,92,22,50,86,82,24,38,36,37,8,36,15,37,0,4,0,6,[]
456,26,66,32,44,49,51,43,90,22,54,81,91,22,47,22,39,7,44,22,42,0,4,0,6,[]
457,14,63,29,57,40,59,33,82,26,59,76,90,19,50,16,49,6,52,20,48,0,4,0,6,[]
458,7,60,18,63,29,66,23,73,26,59,76,86,22,52,12,49,8,52,14,50,0,4,0,7,[]
459,11,63,18,62,18,68,15,65,8,84,69,82,31,52,23,48,20,48,23,45,0,4,0,7,[]
460,15,64,4,93,18,75,6,56,19,71,73,74,32,49,34,38,21,47,25,37,0,4,0,7,[]
461,25,65,17,77,18,80,10,60,18,57,67,63,36,43,47,45,93,4,28,37,0,4,0,7,[]
462,36,64,27,67,7,91,20,70,20,51,74,61,42,45,52,47,77,18,38,40,0,4,0,7,[]
463,44,56,31,56,5,94,33,74,21,50,74,61,42,44,48,43,65,25,39,42,0,4,0,7,[]
464,40,58,34,47,22,79,41,83,24,38,84,11,31,44,36,39,55,31,32,40,0,4,0,7,[]
465,31,60,31,44,29,69,50,91,22,42,72,24,23,43,22,40,40,36,23,41,0,4,0,7,[]
466,32,58,35,47,36,59,52,94,22,42,61,33,28,35,28,34,33,35,31,33,0,4,0,7,[]
467,45,58,50,55,47,53,52,94,22,42,54,45,34,31,31,36,30,33,31,32,0,4,0,7,[]
468,58,62,61,62,52,56,2,96,22,42,50,49,33,32,45,45,31,33,32,32,0,4,0,7,[]
469,65,67,67,66,63,62,63,64,22,42,60,51,35,30,55,53,31,33,32,33,0,4,0,7,[]
470,64,71,66,68,66,69,69,68,22,42,67,61,41,39,67,64,55,59,54,59,0,4,0,7,[]
471,59,74,61,73,57,75,76,71,22,42,63,72,47,54,70,68,66,66,62,63,0,4,0,7,[]
472,47,79,48,78,47,79,76,71,22,42,56,61,46,67,60,63,59,63,50,67,0,4,0,7,[]
473,37,89,39,85,40,90,76,71,22,42,46,54,36,77,45,68,51,65,39,73,0,4,0,7,[]
474,30,89,24,90,28,88,76,71,22,42,41,59,34,76,32,72,39,66,31,72,0,4,0,7,[]
475,30,89,11,91,16,87,76,71,15,88,30,68,24,77,18,76,27,72,20,74,0,4,0,7,[]
476,15,89,12,90,6,93,76,71,13,86,19,77,20,82,12,76,19,78,18,79,0,4,0,7,[]
477,13,85,12,85,12,85,76,71,14,85,14,79,15,85,14,78,13,78,13,78,0,4,0,7,[]
478,17,84,16,86,13,85,76,71,15,88,14,80,18,79,16,79,9,81,12,79,0,4,0,7,[]
479,13,88,14,89,12,89,76,71,15,89,20,75,19,84,15,81,11,82,13,83,0,4,0,8,[]
480,11,92,4,94,10,91,76,71,15,90,95,4,21,85,19,82,10,82,16,81,0,4,0,8,[]
481,3,97,11,91,4,96,76,71,17,87,95,4,24,73,21,79,14,79,17,77,0,4,0,8,[]
482,11,91,14,86,12,86,76,71,16,88,95,4,21,82,22,83,18,79,16,78,0,4,0,8,[]
483,13,88,16,88,13,89,2,96,15,89,11,83,21,85,21,84,13,81,16,82,0,4,0,8,[]
484,11,86,18,86,11,86,9,83,12,83,19,80,19,82,17,85,11,80,16,81,0,4,0,8,[]
485,8,81,18,88,13,89,12,74,12,83,12,78,20,84,19,87,13,78,13,76,0,4,0,8,[]
486,17,79,22,86,19,86,20,79,12,83,23,82,22,84,23,89,13,78,19,81,0,4,0,8,[]
487,24,78,22,88,24,88,23,78,12,83,23,82,22,84,22,89,13,78,19,81,0,4,0,8,['40:32 LNGFenfen(±ùËªÅ®Î×) »÷É±ÁË VGAix(¾ÆÍ°)']
488,90,67,34,89,25,85,33,69,12,83,23,82,22,84,22,89,13,78,19,81,0,4,0,8,[]
489,91,54,48,80,91,52,46,66,12,83,23,82,22,84,22,89,13,78,19,81,0,4,0,8,[]
490,90,44,59,74,91,39,59,60,12,83,23,82,22,84,22,89,13,78,19,81,0,5,0,8,[]
491,92,36,73,62,89,38,68,51,12,83,23,82,22,84,22,89,13,78,19,81,0,5,0,8,[]
492,91,28,79,50,88,26,80,47,12,83,23,82,22,84,22,89,13,78,19,81,0,6,0,8,[]
493,90,22,81,38,88,21,85,35,12,83,23,82,22,84,22,89,13,78,19,81,0,6,0,8,[]
494,89,16,85,22,87,18,87,22,12,83,23,82,22,84,22,89,13,78,19,81,0,7,0,8,[]
495,86,10,85,14,84,11,85,15,15,85,23,82,22,84,22,89,13,78,19,81,0,8,0,8,[]
496,89,9,89,14,84,11,83,13,25,76,23,82,22,84,22,89,13,78,19,81,0,8,0,8,[]
497,89,9,89,14,84,11,83,13,25,76,23,82,22,84,22,89,13,78,19,81,0,8,0,8,[]
