,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
241,50,92,13,81,15,17,35,59,3,94,44,46,37,38,42,39,65,56,51,42,0,2,0,3,[]
242,57,90,23,72,10,30,40,59,17,77,43,51,31,32,32,45,53,55,45,54,0,2,0,3,[]
243,62,93,33,65,9,31,37,62,29,68,46,54,33,35,37,50,45,57,45,57,0,2,0,3,['20:15 RNGLangx(海洋之灾) 击杀了 LNGAsura(惩戒之箭)']
244,56,89,39,64,3,94,37,62,33,63,46,56,31,48,31,52,45,55,45,53,0,2,0,3,[]
245,48,77,39,64,13,81,37,62,36,58,45,55,32,53,32,50,45,55,46,55,0,2,0,3,[]
246,40,66,38,64,33,64,37,62,38,63,44,57,40,52,40,53,40,53,40,58,0,2,0,3,[]
247,39,62,38,63,34,61,37,62,37,62,52,51,45,50,43,48,41,54,44,54,0,2,0,4,['20:32 RNGMing(河流之王) 击破了防御塔']
248,40,65,38,56,41,58,37,62,42,57,66,50,55,53,41,34,51,49,50,45,0,2,0,4,[]
249,40,65,39,52,44,54,37,62,37,49,78,51,57,56,47,22,55,48,54,45,0,2,0,4,[]
250,9,85,39,54,41,59,37,62,39,51,84,63,68,62,43,11,51,45,54,44,0,2,0,4,[]
251,23,78,40,50,48,53,15,88,48,52,87,75,65,57,42,7,52,44,55,43,0,2,0,4,[]
252,35,75,39,49,43,53,25,78,44,52,82,85,65,57,40,7,51,46,54,45,0,2,0,4,[]
253,47,81,33,43,31,43,35,75,33,47,82,86,84,8,48,6,51,37,53,50,0,2,0,4,[]
254,57,89,33,41,24,29,42,67,31,36,87,84,69,17,48,6,51,37,50,40,0,2,0,4,[]
255,59,92,31,52,19,15,43,68,30,32,87,84,57,23,91,5,87,7,41,31,0,2,0,4,[]
256,62,84,30,53,20,28,42,67,27,31,85,10,44,24,78,16,76,19,39,25,0,2,0,4,[]
257,62,84,30,45,22,43,42,57,2,96,77,24,42,24,70,28,67,31,43,24,0,2,0,4,[]
258,58,83,23,55,21,47,46,53,12,82,68,35,41,27,62,38,60,39,43,24,0,2,0,4,[]
259,49,78,24,57,23,33,41,56,24,71,72,42,42,24,50,33,53,48,91,6,0,2,0,4,[]
260,43,67,31,59,19,21,39,59,35,62,76,46,44,15,43,39,51,47,77,17,0,2,0,4,[]
261,41,59,40,52,16,19,41,54,41,52,69,50,48,18,40,37,43,43,68,27,0,2,0,4,[]
262,45,51,49,51,15,19,46,51,50,49,60,51,41,27,47,39,47,36,59,36,0,2,0,4,[]
263,44,55,40,54,12,24,41,55,44,56,53,50,41,41,48,47,49,46,52,46,0,2,0,4,[]
264,41,57,34,59,12,24,36,60,38,61,43,57,40,52,41,52,41,53,44,54,0,2,0,4,['22:0 RNGUzi(探险家) 击杀了 LNGFlandre(天启者)']
265,41,57,34,64,8,87,29,67,34,64,39,58,32,48,33,49,39,54,41,57,0,2,0,4,[]
266,41,57,33,68,20,75,31,70,33,69,37,50,34,39,32,45,36,60,33,49,0,2,0,4,[]
267,41,57,40,60,30,65,31,71,37,62,32,40,31,32,31,34,31,47,31,39,0,2,0,4,[]
268,41,57,47,50,39,55,2,96,44,50,31,31,33,32,30,32,31,36,33,32,0,2,0,4,[]
269,41,57,42,37,42,45,2,96,42,36,31,30,36,30,30,32,36,31,34,31,0,2,0,4,[]
270,41,57,46,34,42,43,43,43,44,36,37,37,43,33,39,39,40,33,36,31,0,2,0,4,['22:29 RNGXiaohu(万花通灵) 击杀了 LNGDuan(弗雷尔卓德之心)']
271,41,57,45,33,43,44,39,41,44,36,45,35,46,32,40,40,48,32,35,30,0,2,0,4,"['22:34 LNGSofM(盲僧) 击杀了 RNGKarsa(德玛西亚皇子)', '22:34 LNGPlex(英勇投弹手) 击杀了 RNGXiaohu(万花通灵)', '22:35 RNGUzi(探险家) 击杀了 LNGSofM(盲僧)']"
272,41,57,46,33,42,46,44,47,44,36,48,40,46,32,40,40,42,38,34,38,0,2,0,4,[]
273,2,96,46,33,41,40,42,41,44,36,47,45,46,32,40,40,43,34,41,35,0,2,0,4,[]
274,45,32,46,33,41,34,41,33,44,36,48,40,46,32,40,40,41,26,41,28,0,2,0,4,['22:48 RNGUzi(探险家) 击杀了 LNGPlex(英勇投弹手)']
275,50,26,46,33,41,34,42,32,44,36,52,33,46,32,40,40,45,22,41,27,0,2,0,4,"['22:51 LNGFlandre(天启者) 击杀了 RNGMing(河流之王)', '22:52 LNGFlandre(天启者) 击杀了 RNGUzi(探险家)']"
276,59,35,46,33,41,34,47,36,44,36,64,36,46,32,40,40,45,22,41,27,0,2,0,4,[]
277,54,48,46,33,41,34,50,45,4,94,60,39,46,32,40,40,45,22,41,27,0,2,0,4,[]
278,59,56,46,33,41,34,56,56,19,84,52,43,46,32,40,40,45,22,41,27,0,2,0,4,[]
279,68,65,9,91,41,34,66,65,34,78,49,33,82,12,40,40,45,22,41,27,0,2,0,4,[]
280,71,69,24,84,41,34,67,68,40,67,48,20,67,19,95,4,45,22,41,27,0,2,0,4,[]
281,68,81,29,72,41,34,66,65,39,53,42,11,57,28,77,6,45,22,41,27,0,2,0,4,[]
282,55,86,32,59,41,34,57,61,32,52,46,10,47,33,60,8,45,22,83,10,0,2,0,4,['23:26 LNG 击杀了土龙']
283,63,88,33,43,10,80,48,55,33,43,46,10,41,32,46,8,85,8,69,17,0,2,0,4,[]
284,71,88,27,36,17,66,48,52,31,36,94,18,41,31,32,10,71,18,60,26,0,2,0,4,[]
285,73,88,23,33,19,51,36,49,32,40,92,35,42,32,21,13,61,24,58,37,0,2,0,4,[]
286,72,87,14,44,17,43,37,43,44,42,90,48,41,32,17,9,54,29,59,36,0,2,0,4,[]
287,72,87,16,44,10,35,43,52,33,44,90,65,52,36,17,9,58,37,58,39,0,2,0,4,[]
288,2,96,24,51,11,31,39,63,40,51,88,73,46,37,95,4,54,42,47,41,0,2,0,4,[]
289,13,81,31,52,12,23,41,56,38,49,85,82,43,42,48,42,47,42,40,43,0,2,0,4,[]
290,26,70,26,56,10,24,37,61,31,51,80,84,35,42,37,37,37,37,30,40,0,2,0,4,[]
291,34,63,24,55,9,35,31,58,31,51,69,84,35,41,32,34,46,39,31,34,0,2,0,4,[]
292,40,59,29,50,13,47,36,59,32,59,60,84,41,46,42,44,50,45,40,44,0,2,0,4,[]
293,39,62,38,50,23,56,39,59,39,54,59,85,41,45,39,43,48,49,42,45,0,2,0,4,[]
294,43,58,36,50,36,58,40,57,41,53,55,90,41,40,43,44,47,48,47,49,0,2,0,4,[]
295,36,61,36,57,40,67,40,62,39,59,50,82,42,54,43,52,47,54,43,53,0,2,0,4,[]
296,36,65,39,66,41,68,37,65,37,62,54,76,52,63,45,54,47,59,48,59,0,2,0,4,[]
297,41,70,43,68,48,74,40,72,43,69,54,76,58,72,54,65,53,67,56,68,0,2,0,4,[]
298,34,64,36,60,41,85,36,64,38,60,57,69,51,65,50,60,50,61,51,60,0,2,0,4,[]
299,35,62,32,50,39,89,31,64,31,53,44,68,43,68,44,51,45,54,45,54,0,2,0,4,[]
300,34,62,31,51,42,91,35,62,32,52,43,69,40,69,40,52,39,50,40,52,0,2,0,4,[]
301,32,64,24,56,41,91,33,62,33,62,38,63,34,62,34,60,38,61,37,61,0,2,0,4,"['25:3 LNGAsura(惩戒之箭) 击杀了 RNGKarsa(德玛西亚皇子)', '25:5 RNGXiaohu(万花通灵) 击杀了 LNGAsura(惩戒之箭)', '25:5 RNGLangx(海洋之灾) 击杀了 LNGFlandre(天启者)']"
302,32,64,21,56,29,68,33,62,33,62,31,59,34,62,33,60,34,62,35,63,0,2,0,4,['25:9 RNGUzi(探险家) 击杀了 LNGDuan(弗雷尔卓德之心)']
303,32,64,18,54,25,72,33,62,33,62,33,68,34,62,34,68,33,65,30,67,0,2,0,4,[]
304,32,64,20,66,20,71,33,62,33,62,31,70,34,62,30,73,30,71,27,69,0,2,0,5,['25:16 RNGUzi(探险家) 击破了防御塔']
305,32,64,22,66,19,73,33,62,33,62,24,67,34,62,27,75,26,72,25,76,0,2,0,6,['25:25 RNGXiaohu(万花通灵) 击破了防御塔']
306,32,64,15,65,7,69,33,62,33,62,17,70,34,62,15,74,14,72,17,72,0,2,0,6,[]
307,32,64,14,64,6,69,33,62,33,62,16,70,34,62,19,74,17,74,19,70,0,2,0,6,['25:32 RNGXiaohu(万花通灵) 击杀了 LNGPlex(英勇投弹手)']
308,32,64,17,65,6,69,33,62,33,62,21,73,34,62,22,73,20,74,20,76,0,2,0,6,[]
309,32,64,6,72,6,69,33,62,33,62,23,71,92,5,19,66,12,72,11,66,0,2,0,6,[]
310,32,64,11,73,6,69,6,92,8,86,21,74,72,15,20,66,17,70,20,71,0,2,0,6,[]
311,12,85,20,75,6,69,15,79,20,74,28,69,62,24,27,66,17,58,25,68,0,2,0,6,[]
312,22,76,27,74,6,69,22,74,26,71,40,60,53,33,40,57,21,47,31,58,0,2,0,6,[]
313,31,68,33,66,6,69,30,66,33,65,44,49,47,34,50,47,32,44,32,45,0,2,0,6,[]
314,40,58,41,56,6,69,32,59,40,58,44,44,41,26,61,37,32,44,37,40,0,2,0,6,[]
315,41,57,46,59,6,69,40,60,44,57,51,47,43,16,64,34,95,4,41,32,0,2,0,6,[]
316,34,61,32,58,3,94,36,60,40,53,59,37,44,15,95,4,95,4,41,32,0,2,0,6,[]
317,26,52,33,47,6,72,35,58,32,46,59,35,46,16,93,5,95,4,93,4,0,2,0,6,[]
318,15,49,35,39,8,55,33,61,36,38,95,4,43,24,84,10,69,47,81,17,0,2,0,6,[]
319,18,45,31,32,10,40,37,57,32,33,88,14,41,29,71,23,67,52,70,26,0,2,0,6,[]
320,18,53,37,42,11,33,38,58,42,41,82,29,43,24,62,34,56,49,61,34,0,2,0,6,[]
321,19,64,32,43,10,33,31,64,34,43,80,42,35,30,51,42,48,55,51,41,0,2,0,6,[]
322,30,63,32,43,20,37,33,65,34,43,81,55,45,35,53,53,46,54,46,50,0,2,0,6,[]
323,28,66,31,47,24,51,31,65,32,44,84,62,49,42,53,65,43,55,44,53,0,2,0,6,[]
324,33,63,25,57,35,59,33,63,31,50,86,75,42,45,42,69,45,57,47,56,0,2,0,6,[]
325,32,65,27,59,32,62,23,64,32,53,77,86,46,50,42,69,47,56,44,56,0,2,0,6,[]
326,29,66,23,55,31,59,23,64,32,53,65,89,43,45,43,68,48,66,44,52,0,2,0,6,[]
327,28,69,23,55,32,66,6,94,8,87,57,84,41,46,45,67,45,63,48,60,0,2,0,6,[]
328,30,71,4,92,32,62,21,82,21,74,51,89,44,44,51,64,45,55,45,57,0,2,0,6,[]
329,34,83,17,78,34,61,31,74,32,64,46,92,43,44,50,61,45,55,43,56,0,2,0,6,[]
330,38,90,27,68,36,63,35,64,36,60,50,82,39,43,43,52,44,49,36,50,0,2,0,6,[]
331,29,89,32,59,39,58,35,59,39,58,46,81,30,33,32,46,34,37,31,41,0,2,0,6,[]
332,29,71,31,52,39,54,36,57,39,50,51,89,33,31,25,37,30,32,32,34,0,2,0,6,[]
333,31,57,29,45,42,46,37,50,32,46,51,94,31,31,27,46,30,30,32,31,0,2,0,6,[]
334,34,48,34,43,39,43,36,49,33,43,51,94,31,30,33,47,30,35,32,31,0,2,0,6,[]
335,35,49,32,48,38,44,36,49,31,47,33,41,32,34,32,47,31,39,34,49,0,2,0,6,"['27:55 LNGFlandre(天启者) 击杀了 RNGXiaohu(万花通灵)', '27:53 RNG 击杀了大龙']"
336,35,49,31,53,37,43,33,49,30,52,29,50,31,40,32,47,30,43,37,50,0,2,0,6,['27:57 LNGAsura(惩戒之箭) 击杀了 RNGMing(河流之王)']
337,32,37,32,41,29,37,32,42,31,54,29,51,26,33,32,47,26,37,37,50,0,2,0,6,"['28:2 RNGLangx(海洋之灾) 击杀了 LNGDuan(弗雷尔卓德之心)', '28:2 LNGAsura(惩戒之箭) 击杀了 RNGLangx(海洋之灾)', '28:5 RNGUzi(探险家) 击杀了 LNGPlex(英勇投弹手)']"
338,31,38,24,38,29,37,29,38,31,54,29,51,28,38,32,47,23,39,37,50,0,2,0,6,['28:7 LNGAsura(惩戒之箭) 击杀了 RNGKarsa(德玛西亚皇子)']
339,29,37,23,38,29,37,27,35,31,54,29,51,28,38,32,47,22,43,37,50,0,2,0,6,[]
340,37,41,33,39,29,37,36,40,31,54,29,51,28,38,32,47,24,36,37,50,0,2,0,6,[]
341,42,52,37,40,29,37,44,50,31,54,29,51,28,38,32,47,26,25,37,50,0,2,0,6,[]
342,46,57,47,53,29,37,43,56,31,54,29,51,28,38,32,47,36,15,37,50,0,2,0,6,[]
343,60,63,58,62,29,37,53,61,31,54,29,51,28,38,32,47,33,10,37,50,0,2,0,6,[]
344,67,66,64,69,29,37,65,65,31,54,29,51,28,38,32,47,27,8,37,50,0,2,0,6,[]
345,69,66,65,62,29,37,67,64,2,96,29,51,28,38,95,4,26,13,93,5,0,2,0,6,['28:43 LNG 击杀了火龙']
346,69,66,53,64,29,37,57,66,14,83,29,51,28,38,84,17,13,20,37,37,0,2,0,6,[]
347,2,96,43,69,29,37,57,69,17,78,29,51,93,5,72,27,10,28,34,42,0,2,0,6,[]
348,14,81,42,69,12,82,2,96,20,75,84,5,74,16,58,33,12,36,34,39,0,2,0,6,[]
349,25,73,2,96,24,71,2,96,19,63,66,7,61,25,48,34,23,41,23,40,0,2,0,6,[]
350,19,71,11,78,21,72,5,91,27,72,53,9,50,33,37,37,18,45,23,46,0,2,0,6,[]
351,9,60,15,65,20,70,16,77,22,72,42,15,40,33,24,40,11,50,17,50,0,2,0,6,[]
352,5,60,12,64,3,95,9,65,13,84,33,18,33,43,17,49,7,51,9,54,0,2,0,7,['29:19 RNG 击破了防御塔']
353,6,68,16,66,10,78,9,70,3,94,23,24,31,52,8,53,5,58,11,59,0,2,0,7,[]
354,6,69,11,68,10,71,8,70,8,78,23,38,20,52,8,59,5,62,7,61,0,2,0,7,[]
355,6,67,13,63,9,67,9,68,16,65,19,50,16,55,6,58,7,55,10,57,0,2,0,7,[]
356,16,68,11,68,19,65,13,71,17,63,27,59,16,54,7,47,8,54,10,56,0,2,0,7,[]
357,10,66,9,64,16,63,7,68,15,63,39,65,21,56,8,49,6,55,9,56,0,2,0,7,[]
358,9,66,11,66,12,64,8,65,11,63,49,73,20,52,6,56,8,53,11,55,0,2,0,7,[]
359,5,67,13,68,9,68,10,74,8,68,50,81,17,60,8,60,8,59,10,60,0,2,0,7,[]
360,5,71,13,69,9,72,9,71,13,70,55,91,18,60,6,58,7,60,10,59,0,2,0,7,[]
361,6,69,7,68,17,75,17,79,18,72,45,91,17,59,7,59,7,59,10,59,0,2,0,7,[]
362,14,73,20,76,16,78,20,79,19,76,35,90,17,62,12,63,10,63,12,64,0,2,0,7,[]
363,13,75,22,73,16,74,14,80,14,71,29,91,20,60,9,64,8,63,6,63,0,2,0,7,[]
364,21,81,21,76,14,77,6,91,16,71,35,92,17,61,6,61,9,61,7,63,0,2,0,7,[]
365,12,71,12,68,10,69,6,82,9,69,29,92,17,60,5,61,7,61,9,59,0,2,0,8,['30:25 RNGLangx(海洋之灾) 击破了防御塔']
366,18,78,7,72,11,72,6,72,12,69,25,92,16,59,5,60,10,57,9,61,0,2,0,8,[]
367,29,88,20,81,21,81,16,80,21,77,31,93,20,64,18,63,11,58,10,63,0,2,0,8,[]
368,37,88,32,89,33,89,25,88,30,87,38,92,26,70,10,66,11,66,11,65,0,2,0,8,[]
369,44,92,30,87,28,88,23,87,31,89,38,91,11,69,8,66,8,67,8,69,0,2,0,8,['30:42 LNGPlex(英勇投弹手) 击杀了 RNGLangx(海洋之灾)']
370,43,92,27,74,18,79,14,77,22,82,38,91,8,67,7,65,6,65,8,67,0,2,0,9,['30:49 RNGUzi(探险家) 击破了防御塔']
371,49,92,37,74,12,72,10,75,9,72,38,91,8,55,6,51,11,53,11,55,0,2,0,9,[]
372,64,89,45,66,12,71,18,74,15,72,38,91,6,46,6,45,14,44,11,42,0,2,0,9,[]
373,79,86,47,64,15,66,32,74,20,72,38,91,6,46,6,45,92,7,11,41,0,2,0,9,[]
374,79,86,54,66,9,61,46,73,20,72,38,91,88,18,90,14,76,17,94,5,0,2,0,9,[]
375,83,80,63,62,8,54,39,63,2,96,38,91,75,28,88,35,62,23,80,13,0,2,0,9,[]
376,83,79,64,62,8,54,37,62,13,87,38,91,67,40,89,48,52,28,68,19,0,2,0,9,[]
377,4,95,52,61,7,54,28,68,27,72,38,91,75,43,93,61,47,38,58,27,0,2,0,9,[]
378,19,81,43,57,7,54,37,62,36,62,38,91,80,53,91,70,50,49,48,35,0,2,0,9,[]
379,30,71,41,66,3,96,36,62,41,66,38,91,81,55,83,65,50,52,50,46,0,2,0,9,[]
380,35,62,47,73,3,96,39,61,47,65,90,4,75,52,87,72,61,50,50,53,0,2,0,9,[]
381,30,73,54,82,10,84,31,70,31,65,74,14,74,57,86,79,70,50,47,51,0,2,0,9,[]
382,34,80,55,82,22,74,26,76,32,68,63,23,75,67,84,78,62,57,55,52,0,2,0,9,[]
383,40,88,50,83,34,76,17,86,32,68,53,32,75,72,77,76,52,51,50,50,0,2,0,9,[]
384,33,87,45,83,34,65,6,94,2,96,48,39,65,77,70,84,47,51,46,53,0,2,0,9,[]
385,32,72,45,83,31,66,16,88,10,93,46,50,52,76,69,92,38,56,40,63,0,2,0,9,[]
386,26,74,16,88,23,73,25,77,23,80,37,61,42,78,69,91,32,63,30,64,0,2,0,9,[]
387,31,86,26,80,26,74,24,76,27,76,32,64,40,70,55,89,31,63,32,66,0,2,0,9,[]
388,37,92,29,79,30,84,20,79,29,79,33,64,32,61,48,89,30,64,31,70,0,2,0,9,[]
389,32,91,30,81,27,81,22,80,25,79,30,67,27,59,46,89,25,71,28,71,0,2,0,9,[]
390,30,90,31,81,29,85,20,80,24,79,32,68,31,64,45,80,25,72,31,75,0,2,0,9,[]
391,28,83,29,79,24,81,21,80,24,78,27,73,26,70,35,75,22,72,25,72,0,2,0,9,[]
392,26,81,27,80,19,80,20,82,24,80,28,73,25,73,29,74,21,72,25,75,0,2,0,9,[]
393,25,81,29,78,18,81,22,81,23,80,32,78,27,71,28,72,22,71,25,73,0,2,0,9,[]
394,21,81,18,83,15,78,17,82,19,79,25,76,21,71,25,75,22,73,24,74,0,2,0,9,[]
395,28,76,17,83,17,77,26,78,24,80,29,73,28,70,32,72,22,72,25,71,0,2,0,9,[]
396,23,85,16,87,17,81,22,84,21,82,32,71,32,74,38,76,22,74,24,73,0,2,0,9,[]
397,24,89,5,94,19,78,20,82,15,86,31,60,41,71,41,85,31,68,32,67,0,2,0,9,[]
398,33,93,15,88,18,79,28,93,6,95,32,45,43,69,53,77,35,65,35,65,0,2,0,9,[]
399,31,88,23,78,22,76,27,84,12,90,27,32,95,4,53,77,35,65,95,4,0,2,0,9,[]
400,41,91,33,69,31,65,30,71,21,81,27,19,77,11,93,4,78,12,82,10,0,2,0,9,[]
401,43,93,41,59,31,59,37,59,29,71,32,10,63,22,76,15,65,21,67,19,0,2,0,9,[]
402,43,93,49,52,35,59,43,55,40,59,35,8,53,29,63,23,58,32,58,29,0,2,0,9,[]
403,3,95,49,51,44,51,44,53,44,48,35,8,58,38,59,35,55,43,56,42,0,2,0,9,[]
404,17,79,50,59,39,50,44,56,44,49,85,12,58,50,58,46,47,47,52,48,0,2,0,9,[]
405,30,68,50,59,39,50,42,59,48,58,75,27,64,59,66,55,52,47,50,47,0,2,0,9,[]
406,40,57,47,56,6,88,41,55,48,58,66,37,64,62,69,63,54,51,49,47,0,2,0,9,[]
407,45,51,46,53,29,68,45,51,39,50,66,50,66,66,71,66,55,50,54,49,0,2,0,9,[]
408,41,43,41,43,41,54,40,44,42,44,54,44,66,65,68,65,49,53,50,51,0,2,0,9,['33:59 RNG 击杀了火龙']
409,32,34,31,30,31,45,31,34,35,38,46,44,56,56,57,57,40,53,44,48,0,2,0,9,[]
410,29,33,32,31,30,33,29,32,29,37,36,37,45,47,46,48,36,50,35,40,0,2,0,9,[]
411,24,39,27,34,26,33,24,33,22,38,31,35,33,40,34,43,29,43,28,39,0,2,0,9,['34:11 LNG 击杀了大龙']
412,19,33,22,29,21,28,18,24,16,34,29,37,25,37,24,50,22,45,21,39,0,2,0,9,[]
413,14,21,13,21,15,22,10,24,11,31,23,36,15,32,17,45,15,38,13,34,0,2,0,9,[]
414,9,30,5,32,7,32,7,33,7,34,15,33,17,33,16,37,14,40,13,35,0,2,0,9,[]
415,7,37,7,39,7,37,5,41,7,41,18,35,8,40,8,40,10,43,13,36,0,2,0,9,"['34:34 RNGXiaohu(万花通灵) 击杀了 LNGAsura(惩戒之箭)', '34:35 RNGUzi(探险家) 击杀了 LNGDuan(弗雷尔卓德之心)', '34:35 RNGKarsa(德玛西亚皇子) 击杀了 LNGSofM(盲僧)']"
416,5,44,6,39,13,48,5,41,7,41,11,36,6,44,8,40,9,41,10,44,0,2,0,9,['34:39 LNGFlandre(天启者) 击杀了 RNGXiaohu(万花通灵)']
417,5,45,6,39,17,50,5,41,7,41,11,45,11,48,8,40,10,49,10,44,0,2,0,9,['34:41 RNGUzi(探险家) 击杀了 LNGFlandre(天启者)']
418,5,45,6,39,23,52,5,41,7,41,21,50,24,51,8,40,17,53,18,52,0,2,0,9,[]
419,5,45,6,39,23,52,5,41,7,41,31,57,29,51,8,40,21,57,21,57,0,2,0,9,['34:51 RNGLangx(海洋之灾) 击杀了 LNGPlex(英勇投弹手)']
420,5,45,6,39,23,52,5,41,7,41,30,67,30,64,8,40,19,79,18,80,0,2,0,9,[]
421,5,45,6,39,23,52,5,41,7,41,23,78,21,75,8,40,20,90,21,89,0,2,0,9,[]
422,5,45,6,39,23,52,5,41,7,41,17,81,18,82,8,40,19,92,20,90,0,2,0,9,[]
423,5,45,6,39,23,52,5,41,7,41,12,85,13,84,8,40,16,90,15,87,0,2,0,9,[]
424,5,45,6,39,23,52,5,41,7,41,13,88,12,90,8,40,15,90,13,90,0,2,0,11,"['35:16 RNGLangx(海洋之灾) 击破了防御塔', '35:17 RNGUzi(探险家) 击破了防御塔']"
425,5,45,6,39,23,52,5,41,2,96,13,88,12,89,8,40,15,90,13,90,0,2,0,11,[]
426,5,45,6,39,23,52,5,41,2,96,13,88,12,89,8,40,15,90,13,90,0,2,0,11,['35:30 RNG 获胜']
