,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,16,17,41,31,42,55,78,87,76,87,21,14,84,8,46,51,86,75,88,64,0,0,0,0,[]
56,18,16,45,23,40,56,81,85,73,84,21,12,73,14,45,53,80,80,86,76,0,0,0,0,[]
57,19,16,41,17,40,60,81,88,79,87,21,11,64,22,47,52,80,80,85,85,0,0,0,0,[]
58,19,15,40,16,40,57,80,86,81,88,23,13,55,31,46,55,83,82,85,85,0,0,0,0,[]
59,24,13,39,16,37,57,81,87,84,88,26,8,52,32,46,55,83,81,87,86,0,0,0,0,[]
60,25,11,39,16,35,59,80,86,83,88,28,8,52,31,45,54,80,81,84,84,0,0,0,0,[]
61,23,11,37,17,35,59,80,86,83,87,27,8,46,23,46,54,83,81,86,84,0,0,0,0,[]
62,22,11,26,24,2,96,79,87,80,84,25,8,32,21,49,51,80,80,84,84,0,0,0,0,[]
63,20,19,28,33,41,57,76,89,79,89,23,11,36,25,49,51,78,83,83,89,0,0,0,0,[]
64,17,19,34,39,44,57,73,89,74,86,21,13,46,32,94,4,82,86,79,89,0,0,0,0,[]
65,15,16,27,37,48,49,70,90,70,89,23,11,57,34,91,6,78,85,77,89,0,0,0,0,[]
66,11,14,23,31,47,50,60,85,67,89,24,11,68,40,53,47,82,86,76,79,0,0,0,0,[]
67,11,14,31,40,46,51,64,88,71,87,17,13,76,44,53,47,79,90,69,79,0,0,0,0,[]
68,2,96,36,50,45,50,73,91,76,90,18,14,79,49,52,49,80,86,72,78,0,0,0,0,[]
69,4,93,41,59,44,53,75,90,75,89,18,12,82,56,54,48,81,85,80,86,0,0,0,0,[]
70,7,30,45,67,44,57,74,90,76,88,15,15,80,55,55,56,78,85,77,87,0,0,0,0,[]
71,11,21,43,68,44,53,71,93,71,93,14,15,75,59,52,65,76,86,77,90,0,0,0,0,[]
72,9,22,43,68,46,50,68,93,68,91,14,17,67,65,48,65,73,88,74,92,0,0,0,0,[]
73,10,27,43,67,46,50,70,91,71,91,11,22,67,69,56,62,76,89,75,88,0,0,0,0,[]
74,10,27,40,78,44,52,74,90,72,89,10,21,72,67,51,52,78,88,79,90,0,0,0,0,[]
75,10,26,46,88,46,58,72,90,72,89,11,20,69,67,54,54,80,90,78,86,0,0,0,0,[]
76,9,28,53,87,45,58,71,91,69,90,10,21,70,66,60,61,78,84,76,77,0,0,0,0,[]
77,10,27,53,86,44,55,68,92,71,91,14,19,71,68,66,64,79,75,70,69,0,0,0,0,['6:25 RNG 击杀了火龙']
78,11,21,52,88,47,49,70,91,70,89,24,14,73,66,59,57,79,75,75,68,0,0,0,0,[]
79,10,21,54,85,43,53,70,89,63,83,24,14,95,4,51,52,95,4,79,75,0,0,0,0,[]
80,11,24,54,85,45,52,73,86,73,85,92,4,83,7,50,52,84,87,82,82,0,0,0,0,[]
81,11,24,55,85,46,57,70,89,73,85,89,4,73,14,52,45,81,87,82,83,0,0,0,0,[]
82,12,24,61,86,48,50,70,90,69,88,81,5,62,23,48,38,80,86,75,88,0,0,0,0,[]
83,12,25,61,86,48,50,68,93,69,92,70,6,50,22,51,44,71,85,75,90,0,0,0,0,[]
84,11,26,4,92,46,53,69,94,68,92,58,7,44,23,47,49,68,84,74,89,0,0,0,0,[]
85,12,23,10,82,46,54,69,92,69,92,47,10,44,23,48,48,73,87,75,89,0,0,0,0,[]
86,12,22,15,71,45,53,74,90,73,89,38,15,48,24,49,47,79,85,81,88,0,0,0,0,[]
87,13,22,20,61,44,54,73,88,74,91,27,15,41,30,47,42,78,84,80,89,0,0,0,0,[]
88,12,22,23,54,38,56,67,90,70,91,17,16,42,32,37,39,77,86,80,88,0,0,0,0,[]
89,10,22,22,54,38,52,67,92,69,92,15,17,48,34,35,38,73,87,75,90,0,0,0,0,[]
90,12,22,21,48,29,50,69,93,69,92,15,16,55,32,45,39,73,87,74,92,0,0,0,0,[]
