,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,95,2,96,5,94,5,97,3,93,3,0,0,0,0,[]
1,3,95,3,97,2,99,1,97,2,95,95,2,96,5,94,5,97,3,93,4,0,0,0,0,[]
2,3,94,4,95,3,94,4,95,4,95,93,5,93,6,92,4,92,4,92,5,0,0,0,0,[]
3,3,94,4,94,3,94,5,96,4,95,93,5,93,6,92,4,93,6,92,5,0,0,0,0,[]
4,14,74,17,76,18,79,27,93,24,86,79,23,73,17,70,6,85,27,80,23,0,0,0,0,[]
5,19,51,32,59,36,67,49,89,36,79,63,40,55,30,47,9,80,48,66,40,0,0,0,0,[]
6,23,33,34,41,51,66,68,81,50,81,51,48,46,35,30,19,80,67,61,50,0,0,0,0,[]
7,20,28,34,39,51,63,73,77,58,67,51,47,46,35,30,19,82,63,61,50,0,0,0,0,[]
8,20,27,34,42,45,54,72,77,52,65,52,48,47,35,30,19,79,53,61,50,0,0,0,0,[]
9,20,27,38,40,46,52,71,78,52,66,53,47,48,34,30,19,73,49,61,50,0,0,0,0,[]
10,19,27,36,41,45,51,71,77,51,66,54,46,46,35,30,19,77,52,62,50,0,0,0,0,[]
11,20,27,33,43,45,52,72,77,51,66,54,46,46,35,30,19,76,55,62,50,0,0,0,0,[]
12,20,27,32,45,45,52,69,78,50,66,53,46,46,34,30,19,76,55,62,50,0,0,0,0,[]
13,20,27,30,48,45,53,69,79,55,68,57,48,47,34,31,21,77,55,62,50,0,0,0,0,[]
14,20,28,31,58,45,53,68,79,57,69,61,50,58,34,38,27,79,56,65,50,0,0,0,0,[]
15,20,28,40,66,47,57,68,80,59,72,65,53,67,40,30,20,82,58,76,50,0,0,0,0,[]
16,20,27,48,73,49,61,66,79,66,78,66,54,76,47,29,21,86,66,82,58,0,0,0,0,[]
17,21,22,51,74,50,60,55,77,54,76,56,48,75,53,29,21,88,70,87,68,0,0,0,0,[]
18,20,23,50,74,48,57,53,76,53,77,50,50,73,52,28,19,87,73,89,74,0,0,0,0,[]
19,14,15,51,74,49,52,56,76,58,76,52,47,76,54,20,11,86,77,89,78,0,0,0,0,[]
20,12,13,51,75,49,53,66,79,68,80,50,49,79,55,17,10,84,80,85,87,0,0,0,0,[]
21,11,13,52,76,46,53,74,87,76,87,51,48,81,55,17,10,85,80,85,87,0,0,0,0,[]
22,12,16,54,83,46,52,79,86,84,89,51,48,82,56,15,13,84,81,87,84,0,0,0,0,[]
23,14,16,55,84,47,52,79,85,82,89,51,49,80,54,17,12,84,81,86,86,0,0,0,0,[]
24,8,18,56,84,45,51,76,87,81,90,49,49,80,53,11,14,85,83,84,85,0,0,0,0,[]
25,12,13,56,84,48,50,76,88,81,91,52,47,79,50,16,11,85,88,84,87,0,0,0,0,[]
26,11,13,54,83,44,52,77,87,80,90,49,50,73,43,17,14,83,86,84,88,0,0,0,0,[]
27,14,15,51,83,46,53,77,87,77,89,50,48,71,40,19,13,82,84,84,86,0,0,0,0,[]
28,15,17,48,77,46,52,75,88,77,90,51,48,71,40,16,11,82,87,81,84,0,0,0,0,[]
29,13,19,44,67,46,53,76,87,78,90,50,47,63,37,14,12,84,87,83,85,0,0,0,0,[]
30,12,19,43,69,46,51,72,88,73,92,52,48,54,30,14,13,82,89,78,88,0,0,0,0,[]
31,10,20,44,67,48,51,73,87,71,85,51,45,48,27,13,16,80,79,79,78,0,0,0,0,[]
32,13,18,42,67,49,50,78,86,74,74,53,46,49,26,17,13,85,83,83,80,0,0,0,0,[]
33,15,15,37,63,49,51,82,88,76,78,53,48,53,32,18,10,85,82,84,80,0,0,0,0,[]
34,14,18,30,54,50,50,83,87,80,80,54,45,52,32,17,11,86,81,86,79,0,0,0,0,[]
35,12,20,24,45,45,48,81,86,79,84,52,46,53,32,15,13,83,81,84,81,0,0,0,0,[]
36,13,19,24,42,42,43,82,87,77,86,53,47,50,24,16,13,86,85,83,82,0,0,0,0,[]
37,12,18,24,42,45,49,82,87,79,83,51,47,44,16,14,14,86,85,84,82,0,0,0,0,[]
38,12,16,24,39,48,48,79,87,79,84,54,47,42,17,15,13,85,83,84,83,0,0,0,0,[]
39,14,19,24,28,47,49,85,86,81,82,53,45,37,17,17,12,87,81,86,80,0,0,0,0,[]
40,14,19,27,22,50,46,85,87,81,82,55,44,28,20,14,13,88,81,86,80,0,0,0,0,[]
41,18,22,19,25,42,42,88,82,86,78,54,44,23,23,18,17,91,78,89,75,0,0,0,0,[]
42,11,23,26,32,46,44,88,79,88,75,54,46,34,24,16,17,92,68,91,67,0,0,0,0,[]
43,8,25,31,39,51,47,85,82,85,80,56,45,41,31,10,17,91,67,93,63,0,0,0,0,[]
44,9,23,27,36,49,49,86,82,85,78,53,43,39,39,16,21,95,4,93,63,0,0,0,0,[]
45,9,22,21,44,48,52,87,80,85,77,53,44,42,45,16,20,95,4,93,7,0,0,0,0,[]
46,8,27,16,43,42,53,88,82,86,75,51,48,50,52,12,22,90,71,93,10,0,0,0,0,[]
47,8,30,16,44,40,56,84,88,84,79,45,53,59,59,10,14,90,69,89,17,0,0,0,0,[]
48,9,28,15,44,41,56,84,88,78,84,48,52,66,62,10,14,89,70,84,27,0,0,0,0,[]
49,8,20,20,50,44,55,7,96,78,84,48,49,71,65,92,5,91,72,81,37,0,0,0,0,[]
50,12,13,24,55,43,53,7,96,8,96,48,51,72,65,91,5,88,74,79,49,0,0,0,0,[]
51,13,16,23,56,42,55,16,94,17,94,48,53,72,65,80,6,86,78,77,59,0,0,0,0,[]
52,13,17,23,56,37,56,27,93,28,93,51,56,92,10,69,7,88,78,68,66,0,0,0,0,[]
53,14,18,23,56,38,57,37,92,39,92,43,54,87,20,58,8,87,79,67,66,0,0,0,0,[]
54,13,17,2,96,36,58,48,90,50,91,46,55,82,30,47,9,87,79,77,75,0,0,0,0,[]
55,14,15,12,91,36,57,59,89,60,88,46,54,80,42,37,13,88,80,83,79,0,0,0,0,[]
56,14,15,20,84,41,55,70,88,69,85,48,54,74,49,29,16,87,81,83,81,0,0,0,0,[]
57,17,17,30,80,40,57,78,87,73,85,48,55,65,56,21,11,85,81,82,81,0,0,0,0,[]
58,18,15,41,77,39,58,79,87,79,88,43,57,54,65,20,9,87,82,82,80,0,0,0,0,[]
59,18,15,54,83,34,61,79,87,80,89,45,55,57,64,22,9,87,84,84,83,0,0,0,0,[]
60,20,14,54,85,34,61,73,89,73,90,46,53,68,63,25,12,83,88,79,87,0,0,0,0,[]
61,22,12,52,84,2,96,72,87,75,91,45,53,76,69,28,11,80,89,78,86,0,0,0,0,[]
62,21,13,53,84,43,52,72,89,72,90,48,50,79,75,25,9,79,89,77,87,0,0,0,0,[]
63,23,11,51,83,47,53,71,90,71,87,48,41,76,69,25,9,78,91,78,87,0,0,0,0,[]
64,22,13,54,76,48,55,71,91,69,77,48,42,76,58,27,8,76,91,77,86,0,0,0,0,[]
65,19,15,56,67,51,49,70,90,68,84,94,4,83,57,27,9,79,90,77,85,0,0,0,0,[]
66,16,19,48,65,49,49,71,89,64,78,88,7,82,55,27,10,82,83,80,81,0,0,0,0,[]
67,11,26,45,66,49,49,69,88,67,80,80,13,79,51,24,12,84,87,80,82,0,0,0,0,[]
68,11,28,48,66,47,50,80,86,76,78,73,22,74,44,19,16,87,82,82,80,0,0,0,0,[]
69,2,96,51,67,46,50,82,88,78,80,67,31,73,43,18,16,87,83,83,80,0,0,0,0,[]
70,2,96,44,67,3,94,81,87,78,84,60,40,71,41,16,14,88,84,85,81,0,0,0,0,[]
71,8,20,34,62,10,83,82,87,80,85,56,43,61,36,11,13,86,82,84,82,0,0,0,0,[]
72,7,25,25,57,19,76,78,87,77,85,52,46,53,33,18,19,85,85,82,81,0,0,0,0,[]
73,8,27,21,47,27,69,78,88,76,87,52,46,53,34,12,20,83,86,80,80,0,0,0,0,[]
74,6,28,26,37,35,62,79,86,80,83,51,48,51,31,10,20,87,83,84,80,0,0,0,0,[]
75,9,25,32,27,43,54,78,86,77,87,50,49,49,20,13,21,86,82,84,81,0,0,0,0,[]
76,9,28,29,21,45,53,79,87,78,84,48,49,40,17,21,21,86,83,83,81,0,0,0,0,[]
77,18,22,22,21,43,52,81,86,78,84,49,48,29,19,26,22,85,81,83,80,0,0,0,0,[]
78,9,20,22,30,48,51,79,88,72,88,49,46,36,17,27,20,82,84,82,83,0,0,0,0,[]
79,11,22,23,31,46,51,81,87,82,82,53,50,42,18,30,18,86,84,83,80,0,0,0,0,[]
