,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,11,18,56,83,47,52,80,85,81,84,13,16,74,44,60,39,88,80,87,79,0,0,0,0,[]
59,8,25,59,84,47,53,83,83,83,83,13,20,74,43,52,47,90,81,85,78,0,0,0,0,[]
60,5,28,58,84,48,50,84,82,83,83,20,28,75,42,53,47,90,80,87,77,0,0,0,0,[]
61,6,26,60,85,48,51,88,79,86,80,21,38,75,42,52,46,90,75,88,75,0,0,0,0,[]
62,6,27,68,82,49,49,84,83,85,82,20,28,89,5,55,46,87,74,86,76,0,0,0,0,[]
63,6,27,75,73,50,49,83,83,83,81,13,21,75,6,57,45,89,77,87,76,0,0,0,0,[]
64,2,96,74,63,57,57,86,79,85,77,11,18,63,7,53,47,91,76,89,74,0,0,0,0,[]
65,2,96,68,63,54,54,89,76,87,76,12,18,52,9,53,47,93,70,90,71,0,0,0,0,[]
66,13,19,68,52,48,53,89,75,89,74,15,10,44,16,53,47,89,69,89,69,0,0,0,0,[]
67,14,21,67,55,48,50,87,79,86,77,14,11,45,14,52,46,91,69,92,72,0,0,0,0,[]
68,15,17,57,62,47,52,85,81,85,79,15,13,41,15,53,47,92,66,86,66,0,0,0,0,[]
69,16,17,48,66,48,52,85,78,88,76,19,12,43,16,54,45,92,66,85,66,0,0,0,0,[]
70,15,16,45,67,49,51,85,77,86,75,18,13,48,18,54,46,95,4,84,67,0,0,0,0,[]
71,21,10,37,64,49,49,85,78,83,78,21,10,52,28,54,45,91,68,84,67,0,0,0,0,[]
72,23,12,26,57,51,49,81,81,83,78,28,8,47,18,56,45,88,71,94,5,0,0,0,0,[]
73,23,12,23,54,50,48,77,84,5,95,24,8,46,16,55,46,90,71,89,15,0,0,0,0,[]
74,20,13,24,52,53,45,77,84,13,87,29,6,51,26,58,43,89,73,81,23,0,0,0,0,[]
75,22,11,32,44,45,38,7,95,20,77,29,6,55,32,57,43,89,74,72,30,0,0,0,0,[]
76,26,17,31,37,40,35,11,94,28,69,95,4,55,32,48,39,88,75,65,37,0,0,0,0,[]
77,28,20,34,39,40,45,22,90,37,62,27,9,63,39,49,43,88,74,67,48,0,0,0,0,[]
78,28,20,44,43,47,52,32,89,48,59,26,11,66,49,50,52,88,75,63,58,0,0,0,0,[]
79,23,22,55,47,52,46,43,89,55,47,20,14,60,49,57,46,87,78,57,56,0,0,0,0,[]
80,17,20,53,48,50,49,47,89,48,51,18,16,54,48,54,47,86,80,55,47,0,0,0,0,[]
81,14,17,51,50,53,53,54,54,54,51,20,15,61,43,55,44,83,82,56,44,0,0,0,0,[]
82,14,17,54,58,56,57,57,64,63,58,16,13,56,33,54,46,83,81,58,46,0,0,0,0,[]
83,17,11,55,66,46,53,59,75,57,64,18,13,49,26,52,48,78,76,68,50,0,0,0,0,[]
84,10,13,48,73,47,52,63,88,61,74,16,15,52,28,52,48,79,77,65,54,0,0,0,0,[]
85,12,17,46,72,46,51,70,91,72,77,16,13,52,29,52,48,80,85,63,61,0,0,0,0,[]
86,14,19,46,70,47,51,73,89,74,74,14,15,47,33,53,48,79,78,66,63,0,0,0,0,[]
87,13,14,44,69,45,51,74,87,70,81,12,13,42,40,50,50,79,78,74,72,0,0,0,0,[]
88,12,11,44,69,40,54,75,90,74,89,12,11,40,43,44,52,81,87,79,82,0,0,0,0,[]
89,10,13,5,95,44,55,73,90,72,88,11,12,31,36,42,46,79,90,77,86,0,0,0,0,[]
90,12,13,14,89,46,56,74,90,72,90,10,13,22,28,50,49,78,90,77,86,0,0,0,0,"['7:27 WEPoss(»ÄÄ®ÍÀ·ò) »÷É±ÁË BLGADD(ÌúîøÚ¤»ê),»ñµÃÒ»Ñª']"
91,21,10,25,83,48,52,73,90,76,91,10,13,28,20,54,46,81,90,81,88,0,0,0,0,[]
92,19,11,35,77,47,52,76,88,75,87,10,13,24,11,53,46,81,85,81,81,0,0,0,0,[]
93,16,15,44,69,45,52,77,87,78,88,91,4,28,8,51,47,83,81,83,82,0,0,0,0,[]
94,13,17,54,63,47,52,79,88,83,89,80,5,27,9,51,49,84,79,87,80,0,0,0,0,[]
95,13,17,62,61,46,53,82,88,88,83,69,6,26,7,53,48,87,77,87,78,0,0,0,0,[]
96,2,96,65,57,48,52,85,87,80,82,58,7,26,6,52,47,89,81,88,78,0,0,0,0,[]
97,4,83,73,45,47,50,86,82,82,81,47,8,26,6,50,47,87,75,87,76,0,0,0,0,[]
98,6,71,77,46,50,50,84,85,83,84,36,10,94,7,54,46,89,79,85,78,0,0,0,0,[]
99,7,60,78,51,49,51,83,83,84,83,25,13,88,18,53,48,90,76,89,77,0,0,0,0,[]
100,8,48,79,55,49,53,85,82,84,81,17,15,83,29,54,47,89,75,88,76,0,0,0,0,[]
101,9,35,79,55,45,52,86,81,86,81,19,13,80,40,49,51,90,74,89,74,0,0,0,0,[]
102,12,24,74,61,44,54,89,75,89,75,19,13,77,51,46,51,93,68,91,69,0,0,0,0,[]
103,16,15,63,60,43,54,83,79,82,78,25,14,77,53,48,50,91,71,87,70,0,0,0,0,[]
104,15,15,57,55,46,53,79,75,79,77,24,14,76,50,53,47,89,70,81,69,0,0,0,0,[]
105,14,13,67,64,46,54,82,80,76,69,21,13,66,48,50,49,90,75,78,64,0,0,0,0,[]
106,18,13,68,65,49,53,83,81,73,67,24,11,62,58,58,50,90,75,74,60,0,0,0,0,[]
107,21,21,61,63,42,51,83,81,69,66,28,9,51,53,52,50,90,74,74,61,0,0,0,0,[]
108,30,18,66,64,44,53,84,80,71,65,26,9,51,43,50,49,90,75,79,64,0,0,0,0,[]
109,30,18,75,68,42,54,86,80,79,66,28,9,50,35,48,49,90,72,87,68,0,0,0,0,[]
110,21,20,68,66,43,55,86,80,75,72,37,14,53,34,45,51,92,75,88,74,0,0,0,0,[]
111,19,13,67,68,44,55,85,80,78,75,35,12,55,32,50,45,92,75,89,74,0,0,0,0,[]
112,19,16,67,70,45,56,88,79,88,78,24,10,61,40,55,52,92,74,91,73,0,0,0,0,[]
113,16,16,66,70,50,58,90,76,88,74,28,9,62,51,56,56,88,69,92,72,0,0,0,0,[]
114,16,10,70,67,55,57,89,78,84,78,22,12,65,57,63,62,90,70,92,71,0,0,0,0,[]
115,15,11,67,62,64,57,79,75,75,71,15,19,66,53,69,55,83,66,84,65,0,0,0,0,[]
116,19,20,67,66,62,61,71,69,68,65,19,20,66,52,66,56,75,62,79,63,0,0,0,0,[]
117,21,21,65,68,62,62,65,69,65,67,21,20,69,62,69,61,72,69,71,66,0,0,0,0,[]
118,19,20,65,62,71,67,67,69,68,66,21,21,67,66,71,67,72,70,73,68,0,0,0,0,"['9:50 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË WEMissing(¸¥À×¶û×¿µÂÖ®ÐÄ)', '9:50 BLG »÷É±ÁËÍÁÁú']"
119,21,23,70,67,72,63,72,69,68,66,26,17,70,65,77,69,76,68,75,70,0,0,0,0,['9:55 WEMystic(³Í½äÖ®¼ý) »÷É±ÁË BLGXinMo(ºÓÁ÷Ö®Íõ)']
120,28,34,73,73,74,61,74,72,68,66,24,12,72,71,75,70,76,68,75,70,0,0,0,0,"['9:58 WEMystic(³Í½äÖ®¼ý) »÷É±ÁË BLGKuro(»úÐµ¹«µÐ)', '9:58 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË WExiye(ÔªËØÅ®»Ê)']"
